iteration,accepted,RX_capacity,RXcondturb_capacity,RXBPturb_capacity,RXHX_capacity,RX_storage_capacity,import_rate1_capacity,import_rate2_capacity,import_steam_capacity,mean_NPV,std_NPV,med_NPV,mean_TotalActivity__RX__production__RXheat,mean_TotalActivity__RXcondturb__production__RXheat,mean_TotalActivity__RXcondturb__production__electricity,mean_TotalActivity__RXBPturb__production__RXheat,mean_TotalActivity__RXBPturb__production__electricity,mean_TotalActivity__RXBPturb__production__steam,mean_TotalActivity__RXHX__production__RXheat,mean_TotalActivity__RXHX__production__steam,mean_TotalActivity__RX_storage__level__RXheat,mean_TotalActivity__RX_storage__charge__RXheat,mean_TotalActivity__RX_storage__discharge__RXheat,mean_TotalActivity__steamdemand__production__steam,mean_TotalActivity__electricitydemand__production__electricity,mean_TotalActivity__import_rate1__production__electricity,mean_TotalActivity__import_rate2__production__electricity,mean_TotalActivity__import_steam__production__steam,std_TotalActivity__RX__production__RXheat,std_TotalActivity__RXcondturb__production__RXheat,std_TotalActivity__RXcondturb__production__electricity,std_TotalActivity__RXBPturb__production__RXheat,std_TotalActivity__RXBPturb__production__electricity,std_TotalActivity__RXBPturb__production__steam,std_TotalActivity__RXHX__production__RXheat,std_TotalActivity__RXHX__production__steam,std_TotalActivity__RX_storage__level__RXheat,std_TotalActivity__RX_storage__charge__RXheat,std_TotalActivity__RX_storage__discharge__RXheat,std_TotalActivity__steamdemand__production__steam,std_TotalActivity__electricitydemand__production__electricity,std_TotalActivity__import_rate1__production__electricity,std_TotalActivity__import_rate2__production__electricity,std_TotalActivity__import_steam__production__steam,med_TotalActivity__RX__production__RXheat,med_TotalActivity__RXcondturb__production__RXheat,med_TotalActivity__RXcondturb__production__electricity,med_TotalActivity__RXBPturb__production__RXheat,med_TotalActivity__RXBPturb__production__electricity,med_TotalActivity__RXBPturb__production__steam,med_TotalActivity__RXHX__production__RXheat,med_TotalActivity__RXHX__production__steam,med_TotalActivity__RX_storage__level__RXheat,med_TotalActivity__RX_storage__charge__RXheat,med_TotalActivity__RX_storage__discharge__RXheat,med_TotalActivity__steamdemand__production__steam,med_TotalActivity__electricitydemand__production__electricity,med_TotalActivity__import_rate1__production__electricity,med_TotalActivity__import_rate2__production__electricity,med_TotalActivity__import_steam__production__steam
7.0,accepted,164.58534204,1000.0,1000.0,1000.0,300.0,10.0,1000.0,100.0,835305666.069,6275711.18571,835133648.055,4289258.5989,-193660.219933,73068.0009809,-2280991.91425,418790.115456,687947.161338,-1583583.13245,737981.411382,630994.053389,-23150968.3702,22919945.038,-1425928.57246,-499490.896361,7632.78017833,-0.000254671201021,-0.000260020953872,1.92802090014e-09,17137.3198429,6465.91077674,77133.6452135,14161.7372612,23263.5073964,50857.5479072,23700.6344757,183100.879184,2326926.60679,2303488.5572,8678.15100087,6178.79992325,5474.85798034,7.51404183475e-07,7.45382361267e-08,4289258.5989,-193692.002869,73079.9926825,-2280277.29934,418658.91216,687731.633482,-1576239.16517,734558.975751,680685.692499,-22847805.8443,22618855.2522,-1425461.76835,-499379.578577,6711.60290499,-0.000254295820772,-0.000259984692289
8.0,rejected,152.785102915,1000.0,1000.0,1000.0,300.0,10.0,1000.0,100.0,834022553.589,16849219.6003,842030872.141,3981732.56707,-73369.3431089,27682.253155,-2204871.67512,404814.439553,664989.297217,-1625638.88575,757580.233538,1369161.71988,-7780765.36162,7702912.69854,-1422569.5305,-500766.64802,67250.6168124,1019.33849973,-0.000259965249111,4.82005225035e-10,11176.9777337,4217.07369893,55368.3440992,10165.6279766,16699.0925803,36037.0566491,16793.9891396,370770.295457,2966816.24105,2937700.84892,12182.0033498,4010.79303275,9538.85442316,1512.5956693,3.55818241968e-08,3981732.56707,-70840.4539443,26728.1032732,-2208948.18694,405562.887122,666218.773181,-1626470.10274,757967.597277,1443821.47138,-6973663.04028,6903158.12638,-1425913.07756,-499352.02421,64421.8257331,-0.000253891355911,-0.000259954965829
9.0,accepted,158.292598102,1000.0,1000.0,1000.0,268.408775842,10.0,1000.0,100.0,838127208.54,7274763.62507,840863644.443,4125263.39914,-118311.054018,44638.7606811,-2323436.29496,426582.903754,700748.386559,-1543255.86134,719188.096501,1038485.25685,-14085163.4171,13944903.2283,-1419936.4828,-501140.959633,29849.1482135,70.1469842777,-0.000259998720087,0.0,10976.6444762,4141.48796088,54484.662845,10003.3840983,16432.5743141,33779.5202509,15741.9320273,196528.772441,2002385.58346,1982786.96355,7084.30044128,5296.08696817,3617.38902922,214.743406095,5.98305439754e-08,4125263.39914,-116910.755932,44110.4282133,-2328295.86383,427475.120599,702214.032531,-1544014.9758,719541.859023,1029320.79604,-13607827.5948,13471076.4186,-1423051.78081,-500647.033258,29433.8658299,-0.000253958844096,-0.000259955653558
10.0,rejected,190.0,1000.0,1000.0,1000.0,300.0,10.0,1000.0,100.0,786959210.318,8584731.60635,788548045.908,4951590.0,-698991.764408,263729.592711,-1283856.65955,235716.082694,387211.168522,-2223816.20079,1036342.82589,4902.12873287,-74494816.7358,73749891.3605,-1423553.99416,-499445.675029,-0.000120768522556,-0.00025501926745,-0.000260050932226,0.0,72451.6286204,27335.9994785,163776.329412,30069.33408,49394.9409507,106276.374948,49526.9162534,1724.74254863,3146845.11479,3115371.41864,10683.9306293,5544.83916049,2.3090502274e-05,9.23209522068e-07,9.23200916686e-08,4951590.0,-679112.118493,256229.002307,-1324660.64054,243207.693603,399517.649186,-2196511.20232,1023618.1505,4741.47123937,-74997514.845,74247541.0198,-1424982.89227,-499642.815857,-0.000112497078958,-0.000254687367806,-0.000260017742421
11.0,rejected,162.554150297,1000.0,1000.0,1000.0,185.454476417,10.0,1000.0,100.0,836097305.105,9604068.98404,837405461.682,4236323.71089,-163816.562791,61807.9891409,-2305135.75119,423222.923918,695228.942558,-1557491.35715,725822.122258,594916.693004,-20997028.1938,20787148.1541,-1421051.06456,-501526.077305,16495.1645008,-0.000254648150432,-0.000260020610391,9.6401045007e-10,13834.4506337,5219.73822408,57172.5825936,10496.8861642,17243.2509102,33321.0258818,15528.2644814,132275.559502,3074336.90858,3044143.36172,12556.8121239,4722.88325038,5554.27923427,7.38177970429e-07,7.33770591222e-08,4236323.71089,-158322.773771,59735.1825439,-2328569.0901,427525.284942,702296.437574,-1565576.37978,729589.904507,563860.863728,-20586923.3513,20381131.2542,-1426773.58085,-500716.365515,16240.3662903,-0.000254148687998,-0.000259969548225
12.0,rejected,172.401851999,1000.0,1000.0,1000.0,101.885710399,10.0,1000.0,100.0,822688829.655,5666208.76509,822178715.373,4492964.66495,-331490.581356,125071.396346,-2032516.60483,373170.048646,613007.008016,-1740282.23716,811006.328163,115230.175329,-38895329.3357,38506654.0941,-1424013.33592,-499663.878808,1422.43407129,-0.000254999475877,-0.000260049870255,9.6401045007e-10,12894.9111655,4865.24998274,30371.4665834,5576.20126471,9160.03432155,15853.7129569,7388.14731219,40879.6240037,1983114.42057,1963267.53655,6656.470618,4500.55425373,1820.81194897,7.86472937182e-07,7.86576152146e-08,4492964.66495,-329112.628842,124174.194862,-2031843.06016,373046.385845,612803.866944,-1740991.21198,811336.724606,121091.493475,-38859520.0989,38470924.8979,-1423580.35486,-499239.391233,474.851299412,-0.000254846479323,-0.000260034715237
13.0,rejected,155.170416396,1000.0,1000.0,1000.0,132.795007751,10.0,1000.0,100.0,834830806.147,13257164.4266,838833318.657,4043896.2217,-100824.846309,38041.2145124,-2195235.96389,403045.32297,662083.166709,-1622478.44845,756107.406548,671126.363084,-12565079.3754,12439722.4123,-1418190.573,-501082.838625,59505.9477662,490.353376787,-0.000259999544424,1.92802090014e-09,17908.3118397,6756.80605712,51308.8514621,9420.30512844,15474.749601,29398.8484802,13700.4513688,61291.1673309,3263151.21538,3230823.43107,15422.9532072,5082.10574391,5831.09483588,741.176101564,6.33905167408e-08,4043896.2217,-96386.9367176,36366.7912236,-2200076.07819,403933.967955,663542.945181,-1620611.15729,755237.211521,669065.71813,-12522843.0713,12396277.1224,-1423836.3653,-499811.425419,60159.3286492,-0.000253918957853,-0.000259955436261
14.0,rejected,162.677853464,1000.0,1000.0,1000.0,232.741700377,10.0,1000.0,100.0,834667445.735,8627022.84753,836571258.758,4239547.53913,-168238.880138,63476.529476,-2317799.42786,425547.974955,699048.307442,-1545959.89881,720448.232042,765732.286014,-20825378.2353,20617828.903,-1419496.53922,-500910.888523,11886.3843465,-0.000254446726245,-0.000260000337494,0.0,14891.3057548,5618.48966127,50086.3708767,9195.85769296,15106.0494564,34428.2796476,16044.2668814,174550.245321,2533213.92055,2508258.75073,12534.3910755,5447.41209619,4059.00475286,5.87441586888e-07,5.90660443802e-08,4239547.53913,-164728.92958,62152.2251305,-2301997.16563,422646.67961,694282.345154,-1548179.31456,721482.524173,720849.757267,-20540734.1831,20335248.4835,-1422612.06421,-499273.797298,10934.4546703,-0.000254125879701,-0.000259969299786
15.0,accepted,161.583329047,1000.0,1000.0,1000.0,143.202879734,10.0,1000.0,100.0,839038863.297,7091820.90778,839726396.652,4211023.13829,-150307.713875,56711.1004451,-2312425.11152,424561.250475,697427.413635,-1561102.0295,727504.767787,608299.184013,-18740640.8382,18553452.5548,-1424932.18116,-500774.617326,19502.2666603,-0.00025452564194,-0.00026000932749,9.6401045007e-10,18017.8092822,6798.11944217,67870.219442,12460.9722895,20469.6581837,43181.9237784,20123.6401192,96493.7121574,2362902.83709,2339197.80387,10273.8595429,4894.29680493,6533.76116907,5.49091317035e-07,5.38383932341e-08,4211023.13829,-148477.295371,56020.4835436,-2313815.8848,424816.59645,697846.870856,-1564533.91502,729104.095076,614660.732189,-18339691.18,18155469.0157,-1427106.18334,-500448.908078,18625.3807101,-0.000254584903476,-0.00026001664006
16.0,rejected,157.742500199,1000.0,1000.0,1000.0,164.505062839,10.0,1000.0,100.0,836269092.868,9601308.1313,839679565.897,4110927.29769,-118266.126709,44621.8096072,-2267063.64931,416232.886014,683746.396633,-1578762.9873,735735.127342,712516.205947,-14713512.6443,14566678.11,-1419481.52372,-500400.014926,39274.1090656,271.210239581,-0.000259986760991,4.82005225035e-10,12404.9898815,4680.40268227,57416.421083,10541.6549108,17316.7925986,38986.4354356,18168.4586417,114942.76647,2835923.18257,2807769.71393,12670.6036319,6100.88864065,5179.94229584,415.223299511,5.18029867395e-08,4110927.29769,-114166.00568,43074.833943,-2279894.92858,418588.708888,687616.310461,-1572465.36435,732800.309097,704235.105559,-13927827.8382,13789454.9804,-1421995.99662,-498969.359046,38939.1176909,-0.000253937611358,-0.000259955485649
17.0,rejected,162.333651961,1000.0,1000.0,1000.0,275.600673495,10.0,1000.0,100.0,834071086.346,7497276.30275,835079899.795,4230577.30376,-168472.751064,63564.7689765,-2293650.02997,421114.145502,691764.849038,-1564619.97711,729144.201734,725728.376946,-20456149.425,20252314.8794,-1420909.05051,-497855.392451,13176.4782273,-0.000254632281725,-0.000260018387155,0.0,13782.2245733,5200.03333152,64874.5433552,11910.96616,19566.1622759,38084.4465434,17748.1137781,268580.623648,2399732.32388,2375223.3631,9188.76232823,5931.30174811,4935.87457768,6.75965806897e-07,6.70885241383e-08,4230577.30376,-164135.549635,61928.3428772,-2296621.04734,421659.624292,692660.907879,-1567144.64675,730320.748279,737108.189535,-20002779.991,19803978.4808,-1421568.75451,-497195.004917,11604.8419943,-0.000254165467456,-0.00025997142029
18.0,rejected,150.0,1000.0,1000.0,1000.0,255.037223177,10.0,1000.0,100.0,826081438.905,15539814.3713,824715545.52,3909150.0,-63955.0567702,24130.2429194,-2087938.69791,383345.544937,629722.311291,-1693525.65862,789216.827431,1410794.20256,-6334308.2129,6270577.62621,-1418939.13846,-501213.208993,91795.3787607,1942.04237546,-0.000259959444828,0.0,19784.6511079,7464.74886301,58405.96367,10723.3349298,17615.2386429,34497.7849784,16076.6577556,268795.486326,2368960.1353,2345397.54632,12726.1164427,4807.09099702,8947.76775857,1918.91322439,3.62569006955e-08,3909150.0,-57798.2341093,21807.2737294,-2107713.51336,386976.201053,635686.395629,-1676999.6652,781515.383975,1349745.75211,-5822189.47224,5761757.23157,-1421901.17198,-500035.334568,92337.5019277,1870.90518162,-0.000259952245458
19.0,rejected,157.24955105,1000.0,1000.0,1000.0,224.15707449,10.0,1000.0,100.0,836541179.506,6091268.41197,835797131.469,4098080.54991,-114097.641798,43049.0402504,-2271603.74991,417066.448483,685115.690972,-1576170.74012,734527.088309,985396.500116,-13652992.1961,13516783.778,-1419642.77902,-500705.063335,40350.1435371,239.431064452,-0.000259997673879,9.6401045007e-10,9297.41277925,3507.91384161,53055.6060733,9741.00927505,16001.5707917,32524.5014403,15157.0681612,199032.3562,1970762.84568,1950964.79028,6654.2764866,5471.531583,4783.42506166,498.018499042,6.31673916145e-08,4098080.54991,-113149.066815,42691.1429095,-2287052.72103,419902.879581,689775.100663,-1579059.25828,735873.195544,950675.997914,-13517963.0346,13382374.7291,-1419773.54882,-499432.544159,41548.9734311,-0.000253942101692,-0.000259955500307
20.0,rejected,158.448421087,1000.0,1000.0,1000.0,300.0,10.0,1000.0,100.0,836635239.654,10087976.3576,837693926.621,4129324.30195,-118838.309481,44837.6941672,-2313697.20452,424794.80675,697811.076884,-1550783.71599,722696.227325,1048836.58472,-14618448.0028,14472442.9308,-1420507.30395,-500408.850225,30600.6592302,175.690077015,-0.000259995732588,1.44601567511e-09,16226.1151928,6122.11326226,58342.7269989,10711.724677,17596.1664629,29487.5169639,13741.7726555,286215.502397,3095961.68096,3064809.51477,13923.5875725,5296.13887455,5453.64666934,376.518774942,7.345644774e-08,4129324.30195,-111997.367432,42256.606732,-2308365.86635,423815.973063,696203.145292,-1552879.24112,723672.783948,1109264.47499,-14128598.063,13989106.7012,-1425121.10848,-499454.383102,30089.4846997,-0.000253964611863,-0.000259955892745
21.0,rejected,160.126014185,1000.0,1000.0,1000.0,118.987033319,10.0,1000.0,100.0,837545638.222,6225505.00598,838164825.525,4173044.05568,-146126.310045,55133.4567798,-2254786.87684,413978.870587,680043.722054,-1594133.77352,742898.221138,506764.03067,-17857683.137,17679686.0417,-1422941.94293,-500127.415919,30976.6102363,38.4783159915,-0.000260040101545,4.82005225035e-10,12148.944559,4583.79678211,58767.5687255,10789.725618,17724.2987276,31576.8290777,14715.4338868,56027.015269,2198383.41886,2176902.0283,6415.61184004,4173.7782706,6613.66480465,94.7631843506,1.02447961865e-07,4173044.05568,-144654.457686,54578.1268848,-2251825.64353,413435.188152,679150.614088,-1590793.76018,741341.708118,504457.465505,-17932727.6345,17753796.8948,-1424530.93656,-498821.861434,32448.7304796,-0.000253958421782,-0.00025996924191
22.0,accepted,157.8614907,1000.0,1000.0,1000.0,248.729605012,10.0,1000.0,100.0,839597742.23,6319617.91229,841064364.868,4114028.30913,-114175.696977,43078.4904694,-2302002.64677,422647.685946,694283.998264,-1565143.25778,729388.060991,901441.27283,-13265682.9624,13132976.2548,-1423672.059,-500571.281265,34629.1186389,215.986211051,-0.000259974344767,4.82005225035e-10,10714.9497263,4042.75053175,46200.2262758,8482.36154424,13933.9882448,31087.5100511,14487.401434,170355.279287,1734950.43069,1717919.33397,7246.21110788,5220.06601166,5256.89564611,434.97246176,4.58215586927e-08,4114028.30913,-111604.009906,42108.1929376,-2302425.75049,422725.36779,694411.606347,-1558809.71249,726436.502215,912162.691623,-13355412.3721,13221301.0774,-1422764.49362,-499107.450717,34265.6867996,-0.000253956029458,-0.000259955638194
23.0,final,157.8614907,1000.0,1000.0,1000.0,248.729605012,10.0,1000.0,100.0,839597739.123,6319617.91229,841064364.868,4114028.30913,-114175.696977,43078.4904694,-2302002.64677,422647.685946,694283.998264,-1565143.25778,729388.060991,901441.27283,-13265682.9624,13132976.2548,-1423672.059,-500571.281265,34629.1186389,215.986211051,-0.000259974344767,4.82005225035e-10,10714.9497263,4042.75053175,46200.2262758,8482.36154424,13933.9882448,31087.5100511,14487.401434,170355.279287,1734950.43069,1717919.33397,7246.21110788,5220.06601166,5256.89564611,434.97246176,4.58215586927e-08,4114028.30913,-111604.009906,42108.1929376,-2302425.75049,422725.36779,694411.606347,-1558809.71249,726436.502215,912162.691623,-13355412.3721,13221301.0774,-1422764.49362,-499107.450717,34265.6867996,-0.000253956029458,-0.000259955638194
