Additional_NPP_capacity,turbine_capacity,grid_capacity,NPP_unused_capacity,H2_storage_capacity,ETES_storage_capacity,Hitec_XL_storage_capacity,Dowtherm_A_storage_capacity,Li_ion_storage_capacity,state_label,price_struct_label,strategy_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-Additional_NPP_capacity,prefix,PointProbability
50.0,200.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,NY,Reference,Storage,-24388961390.8,126417749.352,-24380483659.9,-24118629825.0,-24533574802.5,-24533574802.5,-24118629825.0,10.0,1.59814473512e+16,0.5,0.5,2,0.02
0.0,200.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,NY,Reference,Storage,2034577023.83,46826324.0597,2029144867.96,2124309381.47,1965543108.03,1965543108.03,2124309381.47,10.0,2.19270462494e+15,0.5,0.5,1,0.02
