iteration,accepted,turbine_capacity,htse_capacity,ft_capacity,elec_market_capacity,h2_market_capacity,syngas_market_capacity,mean_NPV
0.0,first,5950.0,-5950.0,5000.95,-1e+200,-1e+200,-1.0,144952.427984
1.0,accepted,40244.6059899,-5950.0,5000.95,-1e+200,-1e+200,-1.0,980148.396561
2.0,accepted,74539.2119797,-5950.0,5000.95,-1e+200,-1e+200,-1.0,1815344.36514
3.0,accepted,100000.0,-5950.0,5000.95,-1e+200,-1e+200,-1.0,2435405.36008
4.0,accepted,100000.0,-5950.0,5000.95,-1e+200,-1e+200,-1.0,2435405.36008
