iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,300896243.52,337492.024276,300966927.962
1.0,rejected,203.0,-203.0,-391.166642554,-204.533314151,684.604721913,-203.0,-1e+200,299527669.753,349913.337621,299457951.525
2.0,rerun,203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,300782679.927,254642.545738,300803748.632
3.0,accepted,203.0,-203.0,-405.910413236,-202.155440034,678.378860408,-203.0,-1e+200,301638861.053,299628.837443,301597795.663
4.0,rejected,203.0,-203.0,-405.614113773,-201.476106674,653.021864329,-203.0,-1e+200,301638777.264,330794.491138,301582659.446
5.0,rerun,203.0,-203.0,-405.910413236,-202.155440034,678.378860408,-203.0,-1e+200,301569425.535,301555.200839,301540152.397
6.0,rejected,203.0,-203.0,-409.567876655,-202.50794445,684.87111752,-203.0,-1e+200,301462792.165,379647.749592,301368180.798
7.0,rerun,203.0,-203.0,-405.910413236,-202.155440034,678.378860408,-203.0,-1e+200,301663038.58,436505.993661,301640229.248
8.0,rejected,203.0,-203.0,-408.014434632,-202.069339196,667.899367673,-203.0,-1e+200,301539457.894,331218.647771,301480909.647
9.0,rerun,203.0,-203.0,-405.910413236,-202.155440034,678.378860408,-203.0,-1e+200,301560624.317,328832.544041,301510308.715
10.0,rejected,203.0,-203.0,-407.646574438,-202.271661954,681.739333796,-203.0,-1e+200,301551278.345,341485.659749,301625557.788
11.0,rerun,203.0,-203.0,-405.910413236,-202.155440034,678.378860408,-203.0,-1e+200,301685402.414,347778.956568,301650079.777
12.0,rejected,203.0,-203.0,-406.054974199,-202.007293941,673.876323904,-203.0,-1e+200,301592390.934,409538.714358,301576045.081
13.0,rerun,203.0,-203.0,-405.910413236,-202.155440034,678.378860408,-203.0,-1e+200,301640175.33,325529.438012,301659138.907
14.0,accepted,203.0,-203.0,-406.209466182,-202.268832169,680.265197659,-203.0,-1e+200,301699420.334,337035.184692,301672089.676
15.0,accepted,203.0,-203.0,-406.546068869,-202.348543724,680.507102298,-203.0,-1e+200,301708625.703,351855.686345,301750447.359
16.0,rejected,203.0,-203.0,-407.700267661,-202.328575484,681.891361655,-203.0,-1e+200,301583958.483,377476.106889,301677688.319
17.0,rerun,203.0,-203.0,-406.546068869,-202.348543724,680.507102298,-203.0,-1e+200,301710180.996,464735.2064,301788139.562
