turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_ft_capacity,ProbabilityWeight-turbine_capacity,prefix,PointProbability
1000.0,-985.1,-14.9,-1e+200,-1e+200,-1e+200,high,braidwood,2966429081.05,4.77314711811e-07,2966429081.05,2966429081.05,2966429081.05,2966429081.05,2966429081.05,500.0,2.27829334111e-13,0.135734072022,0.368421052632,0.368421052632,3,1.108033241e-06
300.0,-285.1,-14.9,-1e+200,-1e+200,-1e+200,high,braidwood,339141816.483,0.0,339141816.483,339141816.483,339141816.483,339141816.483,339141816.483,500.0,0.0,0.25,0.5,0.5,5,1.108033241e-06
50.0,-35.1,-14.9,-1e+200,-1e+200,-1e+200,high,braidwood,-599334453.704,1.19328677953e-07,-599334453.704,-599334453.704,-599334453.704,-599334453.704,-599334453.704,500.0,1.4239333382e-14,0.0173130193906,0.131578947368,0.131578947368,7,0.0
