npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,ProbabilityWeight-ft_capacity
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,3639413984.98,9705.61927638,3639412524.68,3639425249.11,3639405641.44,3639405714.41,3639424299.96,4.0,94199045.538,3.76215239928e-13,0.315634218289,0.249987499375,4,0.019326801889,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,3638289510.7,1060.791433,3638289528.71,3638290533.36,3638288452.0,3638288496.9,3638290499.26,4.0,1125278.46433,3.76215239928e-13,0.315634218289,0.0249762488124,1,0.00193094060277,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,3649494573.65,387282.404946,3649602537.37,3649796416.9,3648976802.96,3649043115.58,3649794882.5,4.0,149987661181.0,3.76215239928e-13,0.315634218289,0.475023751188,7,0.0367245960488,0.244938821026
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,3660469304.6,720272.640509,3660767900.56,3660938916.76,3659402500.54,3659592517.3,3660928057.57,4.0,518792676665.0,3.76215239928e-13,0.315634218289,0.250012500625,10,0.0193287347625,0.244938821026
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2681877107.22,3879012.42494,2680923046.75,2687352311.51,2678310023.85,2678618608.88,2686471290.2,4.0,1.50467373929e+13,3.76215239928e-13,0.315634218289,0.0249762488124,13,0.00394167938485,0.5
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2732010595.2,3989203.04546,2732671380.36,2735800198.81,2726899421.26,2727497248.74,2735598842.43,4.0,1.59137409379e+13,3.76215239928e-13,0.315634218289,0.249987499375,16,0.0394523044736,0.5
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2808533885.5,3665916.11678,2809547162.86,2811736312.27,2803304904.0,2804154711.15,2811494471.54,4.0,1.34389409752e+13,3.76215239928e-13,0.315634218289,0.475023751188,19,0.0749668751874,0.5
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2817666573.01,6908026.11743,2818759745.38,2824234820.72,2808911980.54,2809903232.59,2823899472.09,4.0,4.7720824839e+13,3.76215239928e-13,0.315634218289,0.250012500625,22,0.0394562500986,0.5
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1699872395.41,6507859.13988,1698352779.95,1708838222.65,1693945799.08,1694327676.36,1707544576.1,4.0,4.23522305845e+13,3.76215239928e-13,0.315634218289,0.0249762488124,25,0.00201073878208,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2076150827.98,8566673.32683,2075029848.82,2086745329.56,2067798284.72,2068249795.05,2085621231.74,4.0,7.33878918886e+13,3.76215239928e-13,0.5,0.0249762488124,26,0.00318523573423,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2299850620.57,6291784.15728,2299697627.66,2305945842.7,2294061384.24,2294171623.03,2305743808.17,4.0,3.95865478818e+13,3.76215239928e-13,0.184365781711,0.0249762488124,27,0.00117449695215,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,1746184137.45,7411962.17865,1744735262.06,1755565181.25,1739700844.44,1739869509.01,1754527191.45,4.0,5.49371833377e+13,3.76215239928e-13,0.315634218289,0.249987499375,28,0.0201255025846,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2118544035.66,5220236.85891,2117772170.56,2125615313.28,2113016488.25,2113722869.55,2124445812.92,4.0,2.72508728631e+13,3.76215239928e-13,0.5,0.249987499375,29,0.0318810531597,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2332191178.16,10878151.0137,2332339738.88,2343765131.89,2320320102.99,2321173893.6,2343000477.71,4.0,1.18334169477e+14,3.76215239928e-13,0.184365781711,0.249987499375,30,0.0117555505751,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,1819517545.51,3026054.48964,1819533423.59,1823104845.83,1815898489.04,1816313642.82,1822699218.9,4.0,9.15700577424e+12,3.76215239928e-13,0.315634218289,0.475023751188,31,0.0382422791387,0.255061178974
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2167454307.4,1957591.75547,2167775425.61,2169483852.1,2164782526.26,2165212252.82,2169246796.47,4.0,3.83216548107e+12,3.76215239928e-13,0.5,0.475023751188,32,0.0605800590094,0.255061178974
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2356170342.02,7492026.80445,2358388088.22,2362490744.14,2345414447.49,2347179314.63,2362056524.71,4.0,5.61304656385e+13,3.76215239928e-13,0.184365781711,0.475023751188,33,0.0223377798707,0.255061178974
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,1817630808.49,10351374.6615,1813410846.12,1833009112.19,1810692429.54,1810983839.0,1830185725.3,4.0,1.07150957382e+14,3.76215239928e-13,0.315634218289,0.250012500625,34,0.0201275153361,0.255061178974
