SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,ProbabilityWeight,ProbabilityWeight-TES_capacity,PointProbability
203.0,-203.0,-420.0,-203.0,500.0,-203.0,-1e+200,294899369.061,290585.217656,294959442.681,295473103.092,294497672.155,294520565.148,295319867.348,15.0,84439768719.9,1,0.166666666667,0.115384615385,0.00133919005785,0.0696378830084,1.7855867438e-06
203.0,-203.0,-420.0,-203.0,700.0,-203.0,-1e+200,295536794.777,198033.167426,295575859.178,295776684.676,295101566.266,295173594.784,295753646.534,16.0,39217135400.8,3,0.166666666667,0.115384615385,0.00267838011571,0.139275766017,1.7855867438e-06
203.0,-203.0,-420.0,-203.0,900.0,-203.0,-1e+200,294477122.051,283722.128245,294442188.802,294962771.264,294060594.239,294110207.378,294916397.068,18.0,80498246055.9,5,0.166666666667,0.115384615385,0.00267838011571,0.139275766017,1.7855867438e-06
203.0,-203.0,-420.0,-203.0,600.0,-203.0,-1e+200,295420554.232,316233.554755,295374289.197,296089387.152,294814043.77,295010032.803,295961921.95,16.0,100003661153.0,2,0.166666666667,0.115384615385,0.00267838011571,0.139275766017,1.7855867438e-06
203.0,-203.0,-420.0,-203.0,1100.0,-203.0,-1e+200,292872610.462,325027.134175,292860656.092,293517297.185,292283284.424,292396160.903,293407534.23,17.0,105642637950.0,7,0.166666666667,0.115384615385,0.00267838011571,0.139275766017,1.7855867438e-06
203.0,-203.0,-420.0,-203.0,800.0,-203.0,-1e+200,295065295.574,317270.890861,295097513.52,295753153.023,294504973.017,294620835.831,295507459.28,17.0,100660818188.0,4,0.166666666667,0.115384615385,0.00267838011571,0.139275766017,1.7855867438e-06
203.0,-203.0,-420.0,-203.0,1000.0,-203.0,-1e+200,293611189.409,317911.08893,293601760.375,294224823.599,292779954.989,293195251.872,294062938.325,19.0,101067460465.0,6,0.166666666667,0.115384615385,0.00267838011571,0.139275766017,1.7855867438e-06
203.0,-203.0,-420.0,-203.0,1200.0,-203.0,-1e+200,291811134.359,380519.264141,291830454.507,292610225.452,291018387.438,291310496.528,292297417.389,18.0,144794910382.0,8,0.166666666667,0.115384615385,0.00158024426827,0.0821727019499,1.7855867438e-06
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,295289802.319,121257.019202,295279007.929,295484030.833,295097078.951,295136625.29,295453884.32,7.0,14703264705.7,11,0.333333333333,0.115384615385,0.00535676023141,0.139275766017,1.7855867438e-06
203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,295528336.187,379728.978936,295462847.723,296232940.192,294934578.195,295048224.665,296067429.818,8.0,144194097444.0,12,0.333333333333,0.115384615385,0.00535676023141,0.139275766017,1.7855867438e-06
