Additional_NPP_capacity,turbine_capacity,grid_capacity,NPP_unused_capacity,H2_storage_capacity,ETES_storage_capacity,Hitec_XL_storage_capacity,Dowtherm_A_storage_capacity,Li_ion_storage_capacity,state_label,price_struct_label,strategy_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-Additional_NPP_capacity,ProbabilityWeight,PointProbability,prefix
50.0,200.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,NY,CES,Storage,-20942958771.8,747953397.677,-21217988795.5,-19757736578.9,-21739560332.8,-21739560332.8,-19757736578.9,10.0,5.59434285097e+17,0.5,0.5,0.02,2
0.0,200.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,NY,CES,Storage,43054783723.0,517591390.648,43237948854.3,43546742455.9,41877123096.2,41877123096.2,43546742455.9,10.0,2.67900847673e+17,0.5,0.5,0.02,1
