HOUR,E_D
0,21.318257458
1,21.3198904065
2,21.3249882868
3,21.3248748726
4,21.3212028314
5,21.3192438592
6,21.319416252
7,21.3198650272
8,21.3234610896
9,21.32859809
10,21.3437543722
11,21.3388526609
12,21.3360818091
13,21.3345030042
14,21.3339434715
15,21.3429661787
16,21.3496391117
17,21.344846052
18,21.3438159629
19,21.3472901329
20,21.3340279025
21,21.3271277232
22,21.3288192428
23,21.330160293
24,21.3265505582
25,21.3368943209
26,21.3426279786
27,21.3255484686
28,21.3252559803
29,21.3255108026
30,21.3257683732
31,21.3260258212
32,21.3262825865
33,21.3265384711
34,21.3267939161
35,21.3270489332
36,21.327330546
37,21.3275599732
38,21.3278103828
39,21.3280750362
40,21.3284627031
41,21.3292530219
42,21.330816813
43,21.3338410364
44,21.3300384412
45,21.3296940226
46,21.3300603569
47,21.3302132252
48,21.3303885092
49,21.3306424775
50,21.330906214
51,21.3312058458
52,21.3314531529
53,21.331685815
54,21.331914536
55,21.3321667002
56,21.3324183238
57,21.3326692172
58,21.3329193783
59,21.3331688048
60,21.3334174946
61,21.3336654456
62,21.3339126563
63,21.3341591217
64,21.3344048426
65,21.3346498157
66,21.3348940388
67,21.3351375095
68,21.3353802257
69,21.3356221851
70,21.3358633854
71,21.3361038246
72,21.3363434996
73,21.3365824088
74,21.3368205497
75,21.33705792
76,21.3372945173
77,21.3375303393
78,21.3377653836
79,21.337999648
80,21.3382331299
81,21.3384658271
82,21.3386977372
83,21.3389288578
84,21.3391591865
85,21.3393887209
86,21.3396174586
87,21.3398453971
88,21.3400725342
89,21.3402988672
90,21.3405243939
91,21.3407491118
92,21.3409730183
93,21.3411961112
94,21.3414183879
95,21.341639846
96,21.3418604829
97,21.3420802963
98,21.3422992837
99,21.3425174426
100,21.3427347704
101,21.3429512648
102,21.3431669232
103,21.3433817432
104,21.3435957222
105,21.3438088577
106,21.3441862388
107,21.3446777465
108,21.3451672761
109,21.3456548217
110,21.3461403775
111,21.3466239375
112,21.347105496
113,21.347585047
114,21.3480625847
115,21.3485381033
116,21.3490115967
117,21.3494830593
118,21.349952485
119,21.3504198681
120,21.3977897538
121,21.4004130645
122,21.4131422173
123,21.4171586544
124,21.4202757363
125,21.4187786837
126,21.4126488216
127,21.4128082108
128,21.3941864244
129,21.3829334335
130,21.3716142283
131,21.3631940406
132,21.3770238852
133,21.3971555908
134,21.3917896379
135,21.3684330984
136,21.3680784374
137,21.364137819
138,21.3589130549
139,21.3593295033
140,21.3597526267
141,21.3601735801
142,21.3605923579
143,21.3610089522
144,21.3614233571
145,21.3618355685
146,21.3622455805
147,21.3626533822
148,21.3630589678
149,21.3634623393
150,21.3638634869
151,21.3642624048
152,21.3646590873
153,21.3650535287
154,21.3654457233
155,21.3658356653
156,21.3662233492
157,21.3666087692
158,21.3669919198
159,21.3673727953
160,21.3677513901
161,21.3681276986
162,21.3685017152
163,21.3688734343
164,21.3692428505
165,21.3696099582
166,21.3699747518
167,21.3703372259
168,21.370697375
169,21.3710551936
170,21.3714106764
171,21.3717638178
172,21.3721146126
173,21.3724630553
174,21.3728091406
175,21.3731532208
176,21.373494466
177,21.3738335306
178,21.37426292
179,21.384249928
180,21.4530077183
181,21.5648842867
182,21.5718551385
183,21.5741162455
184,21.5762525437
185,21.5783556774
186,21.580442785
187,21.5825142307
188,21.5845695096
189,21.5866087763
190,21.5886319983
191,21.5906391431
192,21.5926301787
193,21.594605073
194,21.5965637941
195,21.5985063105
196,21.6004325907
197,21.6023426032
198,21.6042363057
199,21.60611361
200,21.6079718107
201,21.609196438
202,21.5811894046
203,21.3950022398
204,21.3927212359
205,21.5878663129
206,21.6179168509
207,21.6205196678
208,21.62221667
209,21.5343589287
210,21.3839368133
211,21.384653577
212,21.3941029245
213,21.3966631091
214,21.3830816607
215,21.3826267518
216,21.3827612768
217,21.3828944217
218,21.3830261435
219,21.383156457
220,21.3832921822
221,21.3834129248
222,21.3835387959
223,21.3836672704
224,21.3838005796
225,21.3839095732
226,21.3840288286
227,21.3841486612
228,21.3842668428
229,21.3843812472
230,21.3845155508
231,21.3853343417
232,21.3863481293
233,21.3848933523
234,21.3849397383
235,21.3850459902
