HOUR,E_D
0,21.231272135
1,21.2294026766
2,21.2393269255
3,21.29238662
4,21.326953597
5,21.2989699266
6,21.2759799744
7,21.241719632
8,21.2170110007
9,21.2149414831
10,21.2132236108
11,21.2115251226
12,21.2098452199
13,21.2081843404
14,21.2065422189
15,21.2049211346
16,21.2061071099
17,21.2066028123
18,21.2238154203
19,21.2584787022
20,21.3212200725
21,21.3194536191
22,21.2157034373
23,21.2203978098
24,21.2556491768
25,21.2203828604
26,21.2698081889
27,21.30483279
28,21.3014599377
29,21.2738066072
30,21.226857154
31,21.2366547375
32,21.2710481452
33,21.2580566411
34,21.2098711797
35,21.1765921701
36,21.1750074871
37,21.1738770788
38,21.1834924903
39,21.1725762925
40,21.1741069663
41,21.2416012232
42,21.2517014896
43,21.1990795034
44,21.1816511523
45,21.2144368703
46,21.2602773996
47,21.2604584734
48,21.2552792221
49,21.2541248069
50,21.2651031431
51,21.2639233885
52,21.2047960741
53,21.1611578533
54,21.15553655
55,21.154386287
56,21.1534563002
57,21.1525431552
58,21.1516556139
59,21.1508176294
60,21.1499140306
61,21.1492063154
62,21.1772906574
63,21.253405692
64,21.241481446
65,21.2101403987
66,21.2050870855
67,21.2296785087
68,21.2435142565
69,21.250461982
70,21.2516743291
71,21.2513410845
72,21.2503931948
73,21.2447578066
74,21.2267707531
75,21.2116326159
76,21.2381831565
77,21.2434250741
78,21.2464416245
79,21.2459710086
80,21.2429098719
81,21.2361384749
82,21.1563840776
83,21.1374925893
84,21.1430213915
85,21.1369282191
86,21.1331822515
87,21.1345131555
88,21.1508425808
89,21.2147639692
90,21.2347140629
91,21.2316596995
92,21.2070397055
93,21.1798915746
94,21.1310643962
95,21.1282784157
96,21.1276460158
97,21.1271742818
98,21.1267904613
99,21.1264180589
100,21.1260557431
101,21.1257037408
102,21.1253620304
103,21.1250303635
104,21.1247086263
105,21.1243967094
106,21.1240945049
107,21.1238019053
108,21.1235188043
109,21.12324531
110,21.1229806614
111,21.1227254073
112,21.1224792217
113,21.1222419975
114,21.122013628
115,21.1217940064
116,21.1215830262
117,21.1213805811
118,21.1211865652
119,21.1210012468
120,21.2242621562
121,21.229594801
122,21.232483182
123,21.230771041
124,21.2241751559
125,21.2321509824
126,21.2318847982
127,21.2319356917
128,21.2306265983
129,21.2302662103
130,21.2315953438
131,21.2260619319
132,21.2236843624
133,21.2291024624
134,21.231303413
135,21.2297482283
136,21.2303074686
