HOUR,steam_D
0,60.9833514163
1,62.3121314477
2,56.9205157056
3,60.0420575347
4,61.0683064223
5,61.3146077097
6,59.6022859209
7,59.9728056488
8,60.6022514835
9,59.7790343523
10,60.6616296445
11,60.2437726435
12,62.4317133533
13,59.4403238287
14,61.755956441
15,59.7916735102
16,60.6736169638
17,61.5895012404
18,60.8766250605
19,60.04518611
20,61.051837713
21,60.9509365267
22,61.1830494285
23,61.7379521828
24,60.5260975424
25,60.6061661125
26,61.7754296567
27,61.5403845502
28,61.6676368146
29,62.4185042991
30,62.3271491283
31,61.7524439608
32,61.3497675789
33,62.4985508147
34,60.7095976577
35,60.1104212266
36,58.5188798245
37,59.6476009416
38,60.5853034266
39,58.0538033962
40,61.0571861657
41,59.4161676578
42,61.0432214968
43,61.6014595932
44,60.773946019
45,60.9246406542
46,62.4106594568
47,61.4118902508
48,62.4548955212
49,60.4025047476
50,62.4656108784
51,61.0325444501
52,61.2825802447
53,61.1443338322
54,61.5982613705
55,61.1126214597
56,61.5613033894
57,60.8298202386
58,61.3657640255
59,62.5034927181
60,62.4081892249
61,60.9310153
62,61.5434955496
63,58.9021891408
64,60.629460093
65,59.5677965355
66,58.2161166747
67,57.4446836788
68,57.2736854974
69,59.4461767437
70,59.9584280594
71,56.9989027658
72,57.9503831064
73,58.1528084184
74,59.6507764928
75,59.172856169
76,58.1689865953
77,56.9876082707
78,57.0445007559
79,58.1453532638
80,60.22879449
81,56.9887105425
82,59.946932272
83,57.3817646333
84,57.6294418441
85,56.8818455517
86,56.8852517269
87,59.8898837642
88,57.4046602768
89,59.2073409941
90,61.003474917
91,57.5631379491
92,60.9127686155
93,58.4500972009
94,59.858870094
95,59.4895049089
96,60.6594396329
97,60.74012347
98,57.5293898974
99,57.9502933393
100,58.3204910087
101,56.8419122347
102,58.0605651548
103,59.5662224268
104,60.5356855118
105,62.2929611166
106,60.8033371147
107,61.0596866392
108,60.1403097849
109,59.9878301756
110,60.0254514317
111,61.1409576682
112,60.3383406138
113,60.067017654
114,60.0627903376
115,60.0667709152
116,61.2172584222
117,60.9111206766
118,60.2423349087
119,56.9372831163
120,60.9385696359
121,60.7873290178
122,60.4976335313
123,59.7433802245
124,58.8244852292
125,58.1881783452
126,59.4582352684
127,58.2987087276
128,59.7203450209
129,56.807533881
130,57.9531169299
131,56.826772078
132,57.989315438
133,59.0576625536
134,61.0242669625
135,60.3157479504
136,59.4153100094
137,60.6154389621
138,59.6195613038
139,59.4362394154
140,57.9514281476
141,59.8547701272
142,59.1322155005
143,59.3391134235
144,59.9965393643
145,57.2938505039
146,59.9683248939
147,58.2377207049
148,61.2075964274
149,60.1974206238
150,57.1608294931
151,56.8477206532
152,57.4172424835
153,57.399344085
154,59.1586168448
155,60.1629644088
156,58.477888959
157,59.2213511594
158,60.200873567
159,60.1362925611
160,60.4761342153
161,57.4485468706
162,58.2431674817
163,57.3653195566
164,58.5900136267
165,57.8105601898
166,60.2312265052
167,58.7018606479
168,58.1424659935
169,57.831309183
170,60.211499506
171,58.4280027118
172,59.3361121257
173,59.1855421017
174,57.3446732004
175,59.1829836602
176,59.5023597251
177,60.3748872253
178,60.0291993416
179,59.0398977152
180,57.8349805116
181,57.9490689955
182,57.2137677701
183,57.1478019218
184,60.8112822371
185,59.0598152319
186,59.3339356891
187,59.0549115118
188,57.9189714956
189,56.8669987109
190,56.7751241542
191,56.9398453014
192,56.7333552987
193,58.5868622876
194,57.4058660989
195,59.9593948775
196,59.7525940258
197,57.9815930614
198,60.597841139
199,56.8552765578
200,57.880903336
201,60.5542839261
202,59.5829278827
203,60.8111989196
204,56.8485760196
205,58.7289935359
206,59.5548642735
207,59.6179035767
208,58.0231469982
209,57.8652481678
210,56.7726519582
211,57.0508214704
212,57.7385845419
213,57.010129324
214,59.2651596683
215,56.9242924543
216,57.0890137255
217,56.7170206867
218,57.8374164641
219,58.9834816461
220,59.8113811884
221,57.7400530354
222,59.6871620584
223,60.2669923363
224,57.4280607923
225,57.8274899015
226,57.2168353327
227,58.974469827
228,59.6903713297
229,60.076635708
230,60.5997433751
231,59.1185529505
232,59.2032599487
233,57.3030338884
234,56.8463220039
235,57.071359179
236,57.7639979918
237,57.1518494967
238,58.9538830371
239,57.7775879012
240,59.0808163062
241,58.7532558635
242,59.147567432
243,59.8857547457
244,59.821486733
245,60.5035839659
246,59.676868226
247,60.8954646039
248,58.0380374476
249,59.5027471717
250,60.8044215133
251,61.2900068348
252,60.5130669595
253,62.3390077435
254,59.98047953
255,60.75220244
256,59.1510793428
257,60.2701821134
258,60.5955060662
259,57.1734002096
260,59.0589254336
261,60.6481433075
262,59.0511662215
263,59.225258342
264,62.3571042778
265,60.2229329751
266,59.9257770694
267,62.2482138965
268,62.2686354047
269,62.3475778774
270,61.4458581169
271,61.6632322067
272,62.3755267036
273,60.3651971108
274,62.369942522
275,61.5874800963
276,60.4486531287
277,59.1938465977
278,61.6457869378
279,60.4832816285
280,60.9884899702
281,60.7892063582
282,60.0506515967
283,59.9221971537
284,61.1414734277
285,61.581446006
286,60.4212514316
287,59.8312873305
288,58.8837271162
289,61.0800048464
290,62.3915537824
291,62.2449006141
292,59.1618454352
293,60.8206629571
294,62.4152570384
295,60.8571702581
296,60.7204847849
297,60.8171365235
298,60.3819337468
299,57.8776107067
300,58.4290261285
301,60.8835906723
302,60.3669087009
303,60.7601326012
304,60.8633842827
305,59.373874603
306,61.3715423242
307,60.3826076326
308,62.4507358622
309,57.13877546
310,59.9982693317
311,59.3343937416
312,60.7017149276
313,60.1823545497
314,61.000008816
315,60.8310900517
316,59.9530761286
317,60.3696144872
318,60.5316472177
319,58.3998607355
320,58.5457579995
321,60.7258640248
322,58.4546960611
323,59.292738472
324,56.9847555521
325,58.0923100056
326,59.9832141207
327,60.0125154979
328,61.0830573965
329,58.4591138241
330,59.469419002
331,61.671753832
332,60.7867294788
333,58.6320129622
334,59.5085099824
335,61.8058694372
336,59.4532310006
337,60.2298615893
338,60.317291055
339,59.3144904886
340,60.5181671281
341,60.886706447
342,60.5326068844
343,60.6348102169
344,60.9628924341
345,59.7909708264
346,61.1048179884
347,59.5394591288
348,59.9219730922
349,58.3543450846
350,57.5625731592
351,58.1598301782
352,57.1537208913
353,57.1610466548
354,57.125648879
355,57.2001465099
356,57.4758051685
357,58.424793031
358,59.7145784705
359,57.629763606
360,57.5526529455
361,57.2025161705
362,56.7997417339
363,56.7836849956
364,59.2188750619
365,60.0365299287
366,57.9271588069
367,58.1151069851
368,60.1977191697
369,56.9063086458
370,58.2025390002
371,57.5992379558
372,56.9793273268
373,56.7950114778
374,56.5808668898
375,57.844140962
376,59.5889373011
377,59.2185932182
378,56.6172656792
379,57.1088296378
380,57.8335625299
381,57.0609798195
382,56.9304750798
383,56.7291068749
384,59.5982735735
385,59.3497861139
386,57.4257724735
387,58.4135523172
388,57.58735671
389,59.8646600188
390,59.4162461137
391,60.1972314842
392,59.4802833824
393,59.7229977751
394,61.0669747149
395,58.0949289163
396,60.0616578391
397,59.3167536458
398,61.2282141189
399,60.1460883421
400,61.4087357821
401,60.5680395261
402,64.4218290692
403,58.722925656
404,59.8035267213
405,62.4233801623
406,64.4910351399
407,61.6936541271
408,59.4644759154
409,62.2480340314
410,61.6483123928
411,59.9063611512
412,61.6185245913
413,59.7657315773
414,65.3107300299
415,65.237552554
416,61.9340020159
417,60.959706924
418,61.5461180247
419,60.5004810193
420,60.4265678752
421,58.5104547056
422,59.5842068818
423,60.3148227636
424,59.3128328937
425,59.7037745274
426,57.2599564685
427,60.9006213832
428,61.154479391
429,60.0463298427
430,60.5094163196
431,57.8606546809
432,60.1236395623
433,60.4017266339
434,59.0512944889
435,60.0565936234
436,57.5844242752
437,57.105997369
438,57.0771616858
439,58.7571335154
440,57.1880133026
441,60.6719199815
442,60.3339895253
443,58.3189716875
444,59.5409422934
445,58.7021007317
446,58.351021986
447,57.9512826504
448,62.3597806722
449,60.6059139051
450,62.3456216079
451,62.2055864714
452,60.3596811092
453,61.2341659161
454,61.835549821
455,60.2549660096
456,58.5738566032
457,60.5382078493
458,60.4296944709
459,62.2764838119
460,60.4333907595
461,61.7461333392
462,60.7239742584
463,60.6127193442
464,58.8494356182
465,60.6920347528
466,61.4384616153
467,61.1701471454
468,61.484192838
469,60.5718662863
470,66.0226264549
471,62.2673593623
472,62.2495785585
473,60.4685878123
474,62.7040415552
475,60.4061778895
476,58.5808107809
477,60.3778272292
478,59.8628985808
479,63.3507495635
480,62.2634951683
481,59.3612415847
482,61.6791142554
483,61.0039209202
484,58.6042156246
485,59.3640364017
486,60.6447149155
487,61.0807623311
488,60.6202986883
489,61.1556753703
490,60.789727899
491,59.3057971754
492,61.7833227994
493,62.735804306
494,61.8646339331
495,58.9409421174
496,59.1447210983
497,58.7507881791
498,60.9088268784
499,61.0868478921
500,58.7972711142
501,58.717852256
502,58.0342310794
503,57.8834264077
504,59.1142358448
505,59.4838219647
506,57.9162753745
507,58.0618471104
508,58.1103369024
509,58.9270898943
510,61.7773162365
511,62.2313961908
512,62.5652035855
513,59.4454073261
514,61.1635784935
515,62.5352919044
516,59.1121852808
517,60.2215957443
518,60.7530773676
519,61.7637081424
520,62.7768628327
521,62.857648874
522,62.5778092922
523,61.4449260337
524,62.6080449831
525,61.7469217782
526,58.3614889263
527,59.6830669372
528,61.4385450219
529,61.8225824524
530,60.981347855
531,60.0074430652
532,58.5788111167
533,58.8895068001
534,58.4325564434
535,58.3353908455
536,59.3777584664
537,59.9248716011
538,60.3776427385
539,58.4635542953
540,59.9233028163
541,59.9625929379
542,61.2647830955
543,60.2708104782
544,59.469995407
545,58.9458119557
546,60.8264701284
547,62.3663255003
548,60.0473772123
549,58.6959080764
550,59.2555193075
551,59.4408047232
552,59.5912208977
553,58.7372511239
554,61.284622744
555,60.2351138297
556,59.9762041832
557,60.4748172427
558,62.2021357514
559,59.9576933375
560,60.4885337845
561,62.8898876945
562,62.0992483199
563,61.7825375666
