HOUR,steam_D
0,62.1664219256
1,64.9529529497
2,61.1994498735
3,64.514154826
4,65.5203490749
5,64.8742043014
6,66.1016072837
7,63.7287304407
8,72.97798766
9,67.2855132567
10,60.0704619642
11,64.1453741445
12,66.0230205766
13,63.2026743733
14,64.0649819929
15,64.3088404132
16,61.154483014
17,61.0775662981
18,59.9897746165
19,62.6400618433
20,59.3228806625
21,63.2666515056
22,62.1337471369
23,59.568883303
24,60.7971334249
25,62.1993316814
26,60.1874564626
27,61.065949594
28,61.8303026924
29,61.0592388822
30,60.1669671375
31,58.9787487595
32,59.6403381151
33,58.9195520093
34,58.8760903096
35,59.6728641629
36,59.0831760016
37,60.7055999658
38,60.1396593973
39,58.7852377857
40,60.7878673608
41,69.8249931115
42,61.102146761
43,63.2171458632
44,64.666843355
45,59.7801010619
46,62.9866865763
47,63.1151023144
48,64.5269758153
49,62.8372272019
50,58.7730184164
51,58.6871088892
52,61.8674392281
53,64.4468503317
54,64.4448641688
55,64.1643939302
56,60.1281080537
57,62.5891306149
58,61.5027666948
59,59.4207841093
60,61.9435628494
61,72.3426964624
62,59.309925345
63,62.0659969963
64,59.9055514703
65,64.4780908292
66,58.3434629488
67,62.9706073565
68,59.8259037817
69,61.5533205671
70,60.5633449872
71,64.1719592176
72,62.063611306
73,58.8858827009
74,58.2291661058
75,59.1012489969
76,59.8307935221
77,58.9239965653
78,58.3406161948
79,62.5438653281
80,59.3313581516
81,62.449264562
82,58.4459045965
83,62.2264331594
84,63.8477873918
85,58.0669640216
86,58.8386780907
87,62.281477924
88,62.4738788847
89,62.2058604749
90,64.4821620815
91,60.3302280081
92,61.6969047782
93,69.4431612189
94,72.0358061378
95,69.3745619842
96,64.4255116306
97,72.1700368996
98,63.8342801217
99,68.6381985264
100,62.4308183786
101,58.2767362215
102,58.0808783687
103,63.673013055
104,65.9666277527
105,61.3106006329
106,61.4330362599
107,60.6271727259
108,58.2063319596
109,57.8903856668
110,61.2594114209
111,63.0250929025
112,62.1256978892
113,62.2088675671
114,62.0332819664
115,61.2400832664
116,59.2584069503
117,57.8589611308
118,60.0152039632
119,58.3537064275
120,55.391110455
121,61.3299648936
122,60.8343090949
123,54.29467423
124,59.2112248138
125,51.1510216103
126,53.6199221289
127,54.1413988992
128,46.4703104071
