SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,prefix,ProbabilityWeight,ProbabilityWeight-TES_capacity,PointProbability
203.0,-203.0,-240.0,-203.0,800.0,-203.0,-1e+200,279565166.008,1776167.51863,279615704.044,282539043.669,275976721.154,276693256.797,281878891.134,20.0,3.15477105425e+12,0.04,0.00980392156863,22,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-240.0,-203.0,1000.0,-203.0,-1e+200,280307868.399,1672695.6957,280147286.298,283218649.692,277339493.504,277911762.292,282755905.303,20.0,2.79791089042e+12,0.04,0.00980392156863,24,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-250.0,-203.0,1000.0,-203.0,-1e+200,287620977.14,1983065.55907,287784315.756,291600478.996,284207806.569,285113670.709,291031632.98,17.0,3.93254901158e+12,0.02,0.00980392156863,10,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-250.0,-203.0,1100.0,-203.0,-1e+200,289210633.321,2436651.72007,290131039.442,293051011.059,284103039.352,284982563.675,291724909.436,19.0,5.93727160491e+12,0.02,0.00980392156863,11,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-250.0,-203.0,1200.0,-203.0,-1e+200,289130935.287,2025290.17172,288987599.524,292580524.923,284648676.237,286554315.655,292000510.299,19.0,4.10180027968e+12,0.02,0.00980392156863,12,9.64052287582e-06,0.0491666666667,2.17864923747e-08
203.0,-203.0,-250.0,-203.0,1218.0,-203.0,-1e+200,289337131.155,2480190.03771,289582632.156,293858307.423,285034816.827,285724234.637,293453961.486,19.0,6.15134262314e+12,0.02,0.00980392156863,13,8.16993464052e-06,0.0416666666667,2.17864923747e-08
203.0,-203.0,-250.0,-203.0,1300.0,-203.0,-1e+200,288972716.349,1957007.53452,288973464.17,293269273.097,285549547.476,285608326.084,291173788.373,20.0,3.82987849016e+12,0.02,0.00980392156863,14,6.69934640523e-06,0.0341666666667,2.17864923747e-08
203.0,-203.0,-230.0,-203.0,100.0,-203.0,-1e+200,265229005.032,741555.133262,265333863.036,266385823.364,264215511.939,264319356.793,266309688.629,11.0,549904015667.0,0.04,0.00980392156863,29,1.6339869281e-05,0.0416666666667,2.17864923747e-08
203.0,-203.0,-230.0,-203.0,500.0,-203.0,-1e+200,272636839.002,1526972.12256,272989420.239,274314328.371,270225697.798,270481453.108,274244250.161,8.0,2.33164386309e+12,0.04,0.00980392156863,33,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-240.0,-203.0,1100.0,-203.0,-1e+200,278809931.579,2387332.7522,278732026.49,283460551.23,275738397.447,275985192.875,282898236.486,20.0,5.69935766971e+12,0.04,0.00980392156863,25,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-240.0,-203.0,1200.0,-203.0,-1e+200,278016810.792,2050345.97491,278009757.088,282753492.23,274990131.991,275173203.849,281124692.515,20.0,4.20391861682e+12,0.04,0.00980392156863,26,1.92810457516e-05,0.0491666666667,2.17864923747e-08
203.0,-203.0,-240.0,-203.0,1218.0,-203.0,-1e+200,276420430.146,2819283.75776,277458785.984,281748872.874,272010874.656,272552876.833,280286682.857,19.0,7.94836090678e+12,0.04,0.00980392156863,27,1.6339869281e-05,0.0416666666667,2.17864923747e-08
203.0,-203.0,-240.0,-203.0,1300.0,-203.0,-1e+200,275934031.134,2241363.81385,275794695.313,280581085.46,272614428.357,273073359.98,279904394.645,20.0,5.02371174606e+12,0.04,0.00980392156863,28,1.33986928105e-05,0.0341666666667,2.17864923747e-08
203.0,-203.0,-220.0,-203.0,200.0,-203.0,-1e+200,264424913.206,2307287.02956,263418352.412,267064475.41,262791911.794,262854555.856,266699863.111,3.0,5.3235734368e+12,0.04,0.00980392156863,44,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-220.0,-203.0,100.0,-203.0,-1e+200,262742166.608,2090092.95017,262948647.519,265809812.369,258970954.195,259811690.454,265220953.371,7.0,4.36848854035e+12,0.04,0.00980392156863,43,1.6339869281e-05,0.0416666666667,2.17864923747e-08
203.0,-203.0,-230.0,-203.0,600.0,-203.0,-1e+200,272715239.993,2387160.9432,273009059.658,277938230.363,268542116.523,268677521.308,275847092.168,17.0,5.69853736872e+12,0.04,0.00980392156863,34,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-230.0,-203.0,700.0,-203.0,-1e+200,273780380.957,1775349.08777,273332058.244,278343723.282,271544699.82,272115232.667,277366230.325,19.0,3.15186438346e+12,0.04,0.00980392156863,35,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-230.0,-203.0,800.0,-203.0,-1e+200,272750188.029,1808878.26644,272258691.379,276396149.368,269763330.841,270228268.341,276044344.883,20.0,3.2720405828e+12,0.04,0.00980392156863,36,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-230.0,-203.0,900.0,-203.0,-1e+200,270512296.086,1817475.63929,270417157.983,273862998.978,267358908.289,268257377.862,273805056.207,20.0,3.3032176994e+12,0.04,0.00980392156863,37,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-220.0,-203.0,300.0,-203.0,-1e+200,265219391.495,1671463.3357,265198777.73,268494949.036,262572340.918,263043495.223,267874940.102,13.0,2.79378968258e+12,0.04,0.00980392156863,45,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-230.0,-203.0,1000.0,-203.0,-1e+200,268325116.979,1974462.02917,267736124.65,271544237.995,264931253.961,266074094.384,271438401.305,19.0,3.89850030462e+12,0.04,0.00980392156863,38,3.26797385621e-05,0.0833333333333,2.17864923747e-08
