npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-ft_capacity,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
894.0,-879.0,-22089.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,45000.0,ref,davis_besse,ohio,covid,2359164481.91,94173.7718467,2359204360.14,2359224267.75,2359024939.64,2359049787.39,2359223346.93,4.0,8868699303.84,0.0425105054498,0.308770944013,4,7.2869255798e-13,0.275353016688,0.5
894.0,-879.0,-22089.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,davis_besse,ohio,covid,2357253019.63,1077.46392866,2357252830.38,2357254371.65,2357252046.09,2357252079.19,2357254225.01,4.0,1160928.51756,0.0212528907677,0.308770944013,1,7.2869255798e-13,0.275353016688,0.249972219135
894.0,-450.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,davis_besse,ohio,covid,1777325757.3,4799876.64789,1776454724.45,1783683855.04,1772709725.23,1773014587.42,1782856373.15,4.0,2.3038815835e+13,0.0624930547839,0.5,11,7.2869255798e-13,0.5,0.249972219135
894.0,-879.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,45000.0,ref,davis_besse,ohio,covid,1431398508.01,969144.348761,1431555305.63,1432362143.77,1430121276.99,1430287933.57,1432289565.77,4.0,939240768735.0,0.068838254172,0.5,13,7.2869255798e-13,0.275353016688,0.5
894.0,-879.0,-22089.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,90000.0,ref,davis_besse,ohio,covid,2360759540.81,346980.596343,2360686142.19,2361237689.04,2360428189.82,2360455267.27,2361166572.42,4.0,120395534239.0,0.0212576146821,0.308770944013,7,7.2869255798e-13,0.275353016688,0.250027780865
894.0,-879.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,davis_besse,ohio,covid,1321924159.5,6075597.17845,1320924709.39,1329049280.37,1316797938.83,1316819817.28,1328427731.86,4.0,3.69128810748e+13,0.0344153023136,0.5,10,7.2869255798e-13,0.275353016688,0.249972219135
894.0,-450.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,45000.0,ref,davis_besse,ohio,covid,1802896235.7,3458648.60954,1802556624.94,1807439724.39,1799031968.53,1799530624.0,1806737302.46,4.0,1.19622502043e+13,0.125,0.5,14,7.2869255798e-13,0.5,0.5
894.0,-879.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,90000.0,ref,davis_besse,ohio,covid,1431065915.05,628072.061652,1431151388.19,1431596271.98,1430364611.86,1430415907.17,1431596260.55,4.0,394474514627.0,0.0344229518584,0.5,16,7.2869255798e-13,0.275353016688,0.250027780865
894.0,-450.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,davis_besse,ohio,covid,1156270811.07,7558710.4885,1156340885.08,1164973993.98,1147427480.16,1148321513.22,1164122005.32,4.0,5.7134104249e+13,0.0239009757441,0.191229055987,20,7.2869255798e-13,0.5,0.249972219135
894.0,-100.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,davis_besse,ohio,covid,1555908919.64,7226818.70692,1555415529.7,1563934198.15,1548870421.0,1549162772.06,1563345813.13,4.0,5.22269086227e+13,0.0107385641983,0.191229055987,21,7.2869255798e-13,0.224646983312,0.249972219135
