turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-turbine_capacity,ProbabilityWeight
1193.0,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,3880231407.07,1098631.74763,3879873348.63,3881454878.81,3878784392.24,3878994849.87,3881405450.11,5.0,1.2069917169e+12,0.000838222967309,1,0.5,0.5
2386.0,-1000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,5738621201.7,25235281.7621,5745690880.26,5758230851.99,5695053137.56,5704255889.44,5757197529.94,5.0,6.3681944561e+14,0.000838222967309,2,0.5,0.5
