turbine_capacity,htse_ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,scenario_label,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-turbine_capacity
500.0,-400.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,6290380379.33,733305.210186,6290422931.05,6291603914.14,6289066203.16,6289322205.69,6291303553.24,10.0,537736531285.0,1,0.002,0.5,0.5
1000.0,-400.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,ref,braidwood,8257985639.03,5678945.23975,8258558763.44,8267411052.52,8250140484.8,8251212652.6,8266144220.44,10.0,3.22504190361e+13,2,0.002,0.5,0.5
