npp_capacity,elec_market_capacity,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-npp_capacity,ProbabilityWeight,PointProbability,prefix
522.0,-1e+200,prairie_island,262400619.102,553965.524266,262356496.775,263555392.342,261145780.455,261566157.672,263405761.452,25.0,306877802076.0,0.5,0.5,0.00191570881226,1
1044.0,-1e+200,prairie_island,524837784.047,855524.909142,524795180.006,526288834.619,522871555.954,523377028.088,526038645.075,25.0,731922870163.0,0.5,0.5,0.00191570881226,2
