SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,ProbabilityWeight-TES_capacity,prefix,ProbabilityWeight
203.0,-203.0,-420.0,-203.0,500.0,-203.0,-1e+200,277847794.694,283276.390437,277892150.05,278210808.316,277320885.519,277427347.77,278192871.165,11.0,80245513378.7,1.7855867438e-06,0.166666666667,0.115384615385,0.0696378830084,1,0.00133919005785
203.0,-203.0,-420.0,-203.0,700.0,-203.0,-1e+200,279058661.383,364085.848449,279069396.016,279726148.408,278328211.146,278440526.564,279631014.927,18.0,132558505041.0,1.7855867438e-06,0.166666666667,0.115384615385,0.139275766017,3,0.00267838011571
203.0,-203.0,-420.0,-203.0,800.0,-203.0,-1e+200,278746516.211,320725.487418,278728233.087,279261561.667,278061858.954,278286187.098,279182714.745,19.0,102864838280.0,1.7855867438e-06,0.166666666667,0.115384615385,0.139275766017,4,0.00267838011571
203.0,-203.0,-420.0,-203.0,600.0,-203.0,-1e+200,278864122.913,324357.507559,278744077.047,279385679.121,278485322.219,278498774.402,279365416.781,16.0,105207792710.0,1.7855867438e-06,0.166666666667,0.115384615385,0.139275766017,2,0.00267838011571
203.0,-203.0,-420.0,-203.0,1100.0,-203.0,-1e+200,276911125.506,285351.721172,276898613.992,277494568.356,276487888.908,276545904.364,277360392.948,19.0,81425604775.8,1.7855867438e-06,0.166666666667,0.115384615385,0.139275766017,7,0.00267838011571
203.0,-203.0,-420.0,-203.0,900.0,-203.0,-1e+200,278373367.391,391278.668162,278423481.678,279084676.192,277437532.138,277722869.588,279064222.232,20.0,153098996159.0,1.7855867438e-06,0.166666666667,0.115384615385,0.139275766017,5,0.00267838011571
203.0,-203.0,-420.0,-203.0,1000.0,-203.0,-1e+200,277661199.522,176833.844709,277635618.071,278128253.586,277445459.878,277456612.09,278034483.537,18.0,31270208634.5,1.7855867438e-06,0.166666666667,0.115384615385,0.139275766017,6,0.00267838011571
203.0,-203.0,-420.0,-203.0,1200.0,-203.0,-1e+200,275947242.628,355806.046429,275868642.81,276698218.106,275447634.266,275463879.617,276599997.577,19.0,126597942675.0,1.7855867438e-06,0.166666666667,0.115384615385,0.0821727019499,8,0.00158024426827
203.0,-203.0,-400.0,-203.0,500.0,-203.0,-1e+200,278322346.298,321609.952536,278227320.331,278877945.816,277881486.468,277941991.86,278830981.776,12.0,103432961570.0,1.7855867438e-06,0.333333333333,0.115384615385,0.0696378830084,10,0.00267838011571
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,278841989.133,399526.110421,278818902.113,279602219.734,278108949.761,278344606.622,279548023.044,14.0,159621112908.0,1.7855867438e-06,0.333333333333,0.115384615385,0.139275766017,11,0.00535676023141
