cfYears,Discharger_Discharger_capex_CashFlow,Discharger_Discharger_capex_intcp_CashFlow,Charger_TES_Charger_capex_CashFlow,TES_TES_capex_CashFlow,Grid_grid_sales_CashFlow
0,-36885234.979,15328179.8,-215446.888,-19852877.991,0.0
1,0.0,0.0,0.0,0.0,35699389.9835
2,0.0,0.0,0.0,0.0,24349219.0597
3,0.0,0.0,0.0,0.0,22538988.478
4,0.0,0.0,0.0,0.0,40531617.3885
5,0.0,0.0,0.0,0.0,35658149.9271
6,0.0,0.0,0.0,0.0,24889536.5286
7,0.0,0.0,0.0,0.0,22462553.8074
8,0.0,0.0,0.0,0.0,40935151.7502
9,0.0,0.0,0.0,0.0,35675173.7026
10,0.0,0.0,0.0,0.0,24605930.817
11,0.0,0.0,0.0,0.0,22255591.459
12,0.0,0.0,0.0,0.0,40861699.9706
13,0.0,0.0,0.0,0.0,35541191.462
14,0.0,0.0,0.0,0.0,24616847.113
15,0.0,0.0,0.0,0.0,22402095.4303
16,0.0,0.0,0.0,0.0,40917333.374
17,0.0,0.0,0.0,0.0,35123257.2958
18,0.0,0.0,0.0,0.0,24712453.5478
19,0.0,0.0,0.0,0.0,22427473.721
20,0.0,0.0,0.0,0.0,40975656.066
21,0.0,0.0,0.0,0.0,35319101.79
22,0.0,0.0,0.0,0.0,24850261.3678
23,0.0,0.0,0.0,0.0,22349597.0071
24,0.0,0.0,0.0,0.0,40673779.2132
25,0.0,0.0,0.0,0.0,35414818.231
26,0.0,0.0,0.0,0.0,24864724.0989
27,0.0,0.0,0.0,0.0,22521658.311
28,0.0,0.0,0.0,0.0,40549338.5538
29,0.0,0.0,0.0,0.0,35366320.8816
30,0.0,0.0,0.0,0.0,24602994.5908
