npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,3225794841.74,38344.3597321,3225799416.5,3225834691.14,3225745842.84,3225751810.88,3225831467.95,4.0,1470289923.26,0.249987499375,0.019326801889,3.76215239928e-13,0.315634218289,0.244938821026,4
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,3225675050.01,1403.55687685,3225675194.48,3225676584.74,3225673226.33,3225673475.69,3225676422.06,4.0,1969971.90657,0.0249762488124,0.00193094060277,3.76215239928e-13,0.315634218289,0.244938821026,1
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,3226587674.46,224649.980094,3226587597.16,3226783053.7,3226392449.83,3226392651.88,3226782805.27,4.0,50467613556.2,0.475023751188,0.0367245960488,3.76215239928e-13,0.315634218289,0.244938821026,7
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,3227426298.68,511608.194866,3227529617.32,3227881952.7,3226764007.36,3226842471.31,3227865479.94,4.0,261742945054.0,0.250012500625,0.0193287347625,3.76215239928e-13,0.315634218289,0.244938821026,10
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2345227243.86,5490194.20244,2347389514.89,2349047946.09,2337081999.59,2338589431.63,2348837876.66,4.0,3.01422323805e+13,0.249987499375,0.0394523044736,3.76215239928e-13,0.315634218289,0.5,16
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2306213903.07,2511269.5894,2305549182.35,2309794536.3,2303962711.27,2304160026.85,2309198388.29,4.0,6.30647495065e+12,0.0249762488124,0.00394167938485,3.76215239928e-13,0.315634218289,0.5,13
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2420750878.03,4146596.43426,2420227793.64,2426284884.57,2416263040.26,2416802677.0,2425431397.2,4.0,1.71942619887e+13,0.475023751188,0.0749668751874,3.76215239928e-13,0.315634218289,0.5,19
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2418620734.05,4016626.96271,2417496864.21,2423990526.13,2415498681.64,2415511994.81,2423302891.06,4.0,1.61332921576e+13,0.250012500625,0.0394562500986,3.76215239928e-13,0.315634218289,0.5,22
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1349889548.93,8679707.59578,1348952136.94,1360278574.84,1341375347.0,1341809655.62,1359281819.02,4.0,7.53373239482e+13,0.0249762488124,0.00201073878208,3.76215239928e-13,0.315634218289,0.255061178974,25
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1810804306.23,10852493.8527,1806730694.54,1826762017.76,1802993818.07,1803329625.67,1823982043.15,4.0,1.17776622824e+14,0.0249762488124,0.00318523573423,3.76215239928e-13,0.5,0.255061178974,26
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,1399631191.88,8518086.19709,1402852146.41,1405743350.78,1387077123.91,1389294840.46,1405458206.95,4.0,7.25577924611e+13,0.249987499375,0.0201255025846,3.76215239928e-13,0.315634218289,0.255061178974,28
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2088355529.26,5287346.39319,2086252657.32,2096108547.64,2084808254.76,2084862960.13,2094792119.1,4.0,2.79560318816e+13,0.0249762488124,0.00117449695215,3.76215239928e-13,0.184365781711,0.255061178974,27
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,1887092351.86,4341859.60366,1888086999.9,1891102911.91,1881092495.73,1881974177.05,1890818019.42,4.0,1.88517448179e+13,0.475023751188,0.0605800590094,3.76215239928e-13,0.5,0.255061178974,32
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,1849885991.19,2578630.55231,1850365222.57,1852489653.71,1846323865.9,1846914740.74,1852186317.71,4.0,6.6493355253e+12,0.249987499375,0.0318810531597,3.76215239928e-13,0.5,0.255061178974,29
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2111312294.99,8004346.467,2109212063.95,2122460293.98,2104364758.08,2104742630.96,2120822282.47,4.0,6.40695623638e+13,0.249987499375,0.0117555505751,3.76215239928e-13,0.184365781711,0.255061178974,30
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,1472906613.16,5644569.78152,1471857012.54,1479768662.43,1468143765.12,1468185400.83,1479097266.35,4.0,3.18611680185e+13,0.475023751188,0.0382422791387,3.76215239928e-13,0.315634218289,0.255061178974,31
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,1457642930.26,13572808.8321,1460008570.25,1471023791.1,1439530789.44,1441980599.98,1469993364.56,4.0,1.84221139594e+14,0.250012500625,0.0201275153361,3.76215239928e-13,0.315634218289,0.255061178974,34
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,1886513207.23,5578910.25996,1886334006.43,1892928411.27,1880456404.77,1880920883.26,1892356412.31,4.0,3.11242396887e+13,0.250012500625,0.0318842415839,3.76215239928e-13,0.5,0.255061178974,35
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2120833174.84,13577715.1519,2120958357.57,2134516858.31,2106899125.9,2107618461.66,2133872632.19,4.0,1.84354348746e+14,0.250012500625,0.0117567262477,3.76215239928e-13,0.184365781711,0.255061178974,36
1193.0,-500.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2120633739.26,8001375.79149,2120035801.64,2129633510.46,2112829843.31,2113164840.95,2128939750.24,4.0,6.40220145566e+13,0.475023751188,0.0223377798707,3.76215239928e-13,0.184365781711,0.255061178974,33
