Additional_NPP_capacity,turbine_capacity,grid_capacity,NPP_unused_capacity,H2_storage_capacity,ETES_storage_capacity,Hitec_XL_storage_capacity,Dowtherm_A_storage_capacity,Li_ion_storage_capacity,state_label,price_struct_label,strategy_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-Additional_NPP_capacity,ProbabilityWeight
50.0,200.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,NY,CES,No_Storage,-20601361665.8,419448726.628,-20674962573.7,-19835825217.0,-21184348243.6,-21184348243.6,-19835825217.0,10.0,1.7593723427e+17,0.02,2,0.5,0.5
0.0,200.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,NY,CES,No_Storage,42662581057.1,962595209.15,42611031355.8,44597030246.2,41522738749.0,41522738749.0,44597030246.2,10.0,9.26589536679e+17,0.02,1,0.5,0.5
