npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
769.0,-754.0,-18948.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,cooper,nebraska,covid,1941426492.18,3646.8258982,1941427472.69,1941429446.75,1941421576.58,1941422221.88,1941429389.77,4.0,13299339.1318,1.22768367385e-12,0.302646790386,1,0.00269672137648,0.270642201835,0.0329233855005
769.0,-754.0,-18948.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5000.0,ref,cooper,nebraska,covid,1941099677.15,41419.8086194,1941086611.47,1941159518.29,1941065967.36,1941068068.62,1941149577.63,4.0,1715600546.07,1.22768367385e-12,0.302646790386,4,0.00404778419035,0.270642201835,0.049418067615
769.0,-754.0,-18948.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7500.0,ref,cooper,nebraska,covid,1941023267.29,85042.0843437,1941061094.97,1941074220.92,1940896658.31,1940919792.28,1941073783.55,4.0,7232156109.53,1.22768367385e-12,0.302646790386,7,0.00270212562774,0.270642201835,0.032989364229
769.0,-754.0,-18948.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40000.0,ref,cooper,nebraska,covid,1939183558.58,356140.398501,1939156749.55,1939574871.37,1938845863.85,1938857014.96,1939547634.85,4.0,126835983445.0,1.22768367385e-12,0.302646790386,13,0.03555564986,0.270642201835,0.434087250271
769.0,-754.0,-18948.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,cooper,nebraska,covid,1940876985.73,59487.5468803,1940892309.73,1940930845.98,1940792477.48,1940806370.21,1940926147.65,4.0,3538768233.83,1.22768367385e-12,0.302646790386,10,0.0175638165803,0.270642201835,0.214430867488
769.0,-754.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,cooper,nebraska,covid,887832040.215,14471622.1864,891753586.287,900673066.87,867147921.416,870606349.477,899567566.452,4.0,2.09427848707e+14,1.22768367385e-12,0.5,19,0.00445522877186,0.270642201835,0.0329233855005
769.0,-754.0,-18948.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,75792.0,ref,cooper,nebraska,covid,1937453603.18,639320.192984,1937754393.71,1937809939.1,1936495686.2,1936681765.77,1937804333.84,4.0,408730309156.0,1.22768367385e-12,0.302646790386,16,0.0193428960936,0.270642201835,0.236151064897
769.0,-400.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5000.0,ref,cooper,nebraska,covid,1259749472.98,18550998.4129,1259026730.19,1282961569.37,1237982862.18,1240679708.32,1279831077.56,4.0,3.44139542116e+14,1.22768367385e-12,0.5,23,0.0123545169038,0.5,0.049418067615
769.0,-400.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,cooper,nebraska,covid,1264775674.28,6054670.55761,1265105935.79,1271405252.54,1257485573.0,1258251204.09,1270837778.35,4.0,3.66590355612e+13,1.22768367385e-12,0.5,20,0.00823084637513,0.5,0.0329233855005
769.0,-754.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5000.0,ref,cooper,nebraska,covid,913129050.828,14895527.4393,912317698.062,930926355.996,896954451.19,898275597.654,929118397.873,4.0,2.21876737694e+14,1.22768367385e-12,0.5,22,0.00668730731487,0.270642201835,0.049418067615
