SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-TES_capacity,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,PointProbability
203.0,-203.0,-400.0,-203.0,200.0,-203.0,-1e+200,383313395.799,20703594.7556,377017102.139,433688140.768,352728786.404,358310389.864,415062510.476,18.0,4.28638835804e+14,2.93381317478e-05,1,0.0454545454545,0.0357142857143,0.0180722891566,3.9117508997e-08
203.0,-203.0,-400.0,-203.0,500.0,-203.0,-1e+200,423682526.983,17026189.1724,416991515.625,458646719.203,400561760.849,402413978.412,450822726.901,17.0,2.89891117736e+14,5.86762634955e-05,4,0.0909090909091,0.0357142857143,0.0180722891566,3.9117508997e-08
203.0,-203.0,-400.0,-203.0,300.0,-203.0,-1e+200,397463099.771,22134476.668,390672871.485,449064185.222,372331191.816,373579447.779,435975217.88,13.0,4.89935057366e+14,5.86762634955e-05,2,0.0909090909091,0.0357142857143,0.0180722891566,3.9117508997e-08
203.0,-203.0,-400.0,-203.0,400.0,-203.0,-1e+200,410875174.482,26724952.9282,412567168.887,456198352.801,369239421.423,373333149.209,447324336.85,16.0,7.14223109012e+14,5.86762634955e-05,3,0.0909090909091,0.0357142857143,0.0180722891566,3.9117508997e-08
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,423723948.955,25216742.8273,423445650.645,469700741.786,386468504.168,389805327.502,457975512.198,15.0,6.3588411882e+14,5.86762634955e-05,5,0.0909090909091,0.0357142857143,0.0180722891566,3.9117508997e-08
203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,419750534.59,21454803.8498,422132722.141,458078351.251,393983246.889,396112574.399,452376844.639,12.0,4.60308608233e+14,5.86762634955e-05,6,0.0909090909091,0.0357142857143,0.0180722891566,3.9117508997e-08
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,444634712.538,30805419.8219,436323253.181,506917263.78,392424976.383,407120284.792,490672038.803,18.0,9.48973890402e+14,5.86762634955e-05,7,0.0909090909091,0.0357142857143,0.0180722891566,3.9117508997e-08
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,437976353.006,20426748.2879,431242057.168,480521933.203,410151230.386,412803634.109,464965666.888,16.0,4.17252045619e+14,5.86762634955e-05,8,0.0909090909091,0.0357142857143,0.0180722891566,3.9117508997e-08
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,445608073.82,25725862.0687,446764447.798,494694179.926,404749484.65,410304532.001,478100217.076,17.0,6.61819979177e+14,5.86762634955e-05,9,0.0909090909091,0.0357142857143,0.0180722891566,3.9117508997e-08
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,456555480.04,23967300.0957,454166745.221,509147745.663,412812264.283,419925250.559,496097070.368,17.0,5.74431473876e+14,5.86762634955e-05,10,0.0909090909091,0.0357142857143,0.0180722891566,3.9117508997e-08
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,456407140.513,22803806.2804,457623158.013,488443812.602,411087536.148,416868648.343,488120577.615,19.0,5.20013580872e+14,3.46189954624e-05,11,0.0536363636364,0.0357142857143,0.0180722891566,3.9117508997e-08
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,455767789.377,21312285.4674,447549714.88,515786541.821,425315463.493,436120769.278,489754410.675,18.0,4.54213511844e+14,2.93381317478e-05,12,0.0454545454545,0.0357142857143,0.0180722891566,3.9117508997e-08
203.0,-203.0,-400.0,-203.0,1300.0,-203.0,-1e+200,457307787.124,27135078.8213,456168385.594,505569135.039,403969774.107,409994884.98,494674238.913,20.0,7.36312502637e+14,2.40572680332e-05,13,0.0372727272727,0.0357142857143,0.0180722891566,3.9117508997e-08
203.0,-203.0,-380.0,-203.0,200.0,-203.0,-1e+200,381461693.368,21709717.7885,379075135.058,428404161.337,343766663.391,353255922.171,414358097.196,17.0,4.71311846458e+14,5.86762634955e-05,14,0.0454545454545,0.0714285714286,0.0180722891566,3.9117508997e-08
203.0,-203.0,-380.0,-203.0,300.0,-203.0,-1e+200,394431945.256,20416402.1023,396080808.615,434560856.034,362231468.021,365767365.989,421471750.391,13.0,4.16829474802e+14,0.000117352526991,15,0.0909090909091,0.0714285714286,0.0180722891566,3.9117508997e-08
203.0,-203.0,-380.0,-203.0,400.0,-203.0,-1e+200,410975387.134,20008829.9329,409434457.679,440274567.6,371615571.764,377326512.152,439171116.461,17.0,4.00353275283e+14,0.000117352526991,16,0.0909090909091,0.0714285714286,0.0180722891566,3.9117508997e-08
