SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-Charger_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-TES_capacity
203.0,-203.0,-400.0,-203.0,0.0,-203.0,-1e+200,308258271.972,17751750.8622,309092744.496,344499174.903,272691413.92,274326141.657,334894671.274,20.0,3.15124658673e+14,1,0.00738916256158,7.10496400152e-06,9.47328533535e-09,0.025,0.0384615384615
203.0,-203.0,-400.0,-203.0,100.0,-203.0,-1e+200,336648009.365,17039126.9593,332645521.732,365039102.186,309873066.044,313109587.779,360061323.286,18.0,2.90331847534e+14,2,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.025,0.0769230769231
203.0,-203.0,-400.0,-203.0,200.0,-203.0,-1e+200,381637776.418,21488072.2232,375939244.571,432635812.629,353238951.067,355391175.095,425719487.463,18.0,4.61737247872e+14,3,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.025,0.0769230769231
203.0,-203.0,-400.0,-203.0,300.0,-203.0,-1e+200,400082481.988,24244732.2483,398429107.952,451933101.127,356108091.997,370908853.901,435292564.377,15.0,5.87807041792e+14,4,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.025,0.0769230769231
203.0,-203.0,-400.0,-203.0,400.0,-203.0,-1e+200,409281436.451,21109291.7463,403709936.029,465127789.972,388164954.661,389583853.843,443177187.674,16.0,4.45602198029e+14,5,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.025,0.0769230769231
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,424903492.288,22527219.0167,422205931.051,462627895.906,389031514.021,391679572.717,459475819.338,15.0,5.07475596626e+14,7,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.025,0.0769230769231
203.0,-203.0,-400.0,-203.0,500.0,-203.0,-1e+200,426434771.975,14050260.2535,425193999.257,445062412.59,405555580.206,407585640.247,444492284.817,15.0,1.97409813192e+14,6,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.025,0.0769230769231
203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,424373147.332,19404219.904,418515644.713,472514464.67,403002165.533,405087735.403,453891485.018,15.0,3.76523750084e+14,8,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.025,0.0769230769231
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,451042043.581,25820339.8752,452509528.804,500519294.897,392967272.127,413229050.427,487440609.524,15.0,6.66689951269e+14,9,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.025,0.0769230769231
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,438776664.462,19906763.3445,441562224.157,480839148.475,398774086.799,410315105.321,464294817.162,16.0,3.96279226852e+14,10,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.025,0.0769230769231
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,450151032.226,27901748.5349,445535692.305,492069245.266,396769587.74,418694787.444,489953179.604,19.0,7.78507571307e+14,11,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.025,0.0769230769231
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,446116636.624,24331244.9366,441005535.164,512950444.516,410530978.995,417169422.729,490084112.653,17.0,5.92009480166e+14,12,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.025,0.0769230769231
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,447712179.435,22656405.8779,457059652.292,479715312.695,407590879.549,408739450.596,475078500.311,15.0,5.13312727303e+14,13,0.00738916256158,8.38385752179e-06,9.47328533535e-09,0.025,0.0453846153846
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,451725651.978,24163520.2445,450893580.246,493586215.747,398765630.637,413680068.404,480713759.928,16.0,5.83875710604e+14,14,0.00738916256158,7.10496400152e-06,9.47328533535e-09,0.025,0.0384615384615
203.0,-203.0,-380.0,-203.0,0.0,-203.0,-1e+200,303128852.49,19103923.7579,304469441.075,341730225.363,273246961.246,276775848.716,334683886.305,20.0,3.64959902948e+14,16,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.05,0.0384615384615
203.0,-203.0,-400.0,-203.0,1300.0,-203.0,-1e+200,448198476.139,24842616.1824,450125684.916,490495160.692,400938555.557,407809361.771,479951687.475,16.0,6.17155578787e+14,15,0.00738916256158,5.82607048124e-06,9.47328533535e-09,0.025,0.0315384615385
203.0,-203.0,-380.0,-203.0,100.0,-203.0,-1e+200,343065428.476,16679123.901,342087021.035,381737044.028,315393855.645,318691279.374,367301479.589,16.0,2.78193174105e+14,17,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-380.0,-203.0,200.0,-203.0,-1e+200,377115976.898,25014436.8594,376485001.693,424184582.283,337109787.423,338425906.203,410926796.67,18.0,6.25722051395e+14,18,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-380.0,-203.0,300.0,-203.0,-1e+200,383751448.043,23592204.5329,378825436.151,427675817.273,342011072.003,349865168.594,418613277.206,16.0,5.56592114721e+14,19,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-380.0,-203.0,400.0,-203.0,-1e+200,415768815.72,14931775.9803,416432731.906,447059279.174,387723147.881,393653385.976,437195487.682,15.0,2.22957933927e+14,20,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-380.0,-203.0,500.0,-203.0,-1e+200,400368735.705,26144726.352,402420853.243,445324913.669,356300754.512,360925039.56,437100499.77,15.0,6.83546716021e+14,21,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-380.0,-203.0,600.0,-203.0,-1e+200,416980760.701,19809168.1774,409226900.937,452028642.578,394355015.389,394919731.029,446960451.776,15.0,3.92403143879e+14,22,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-380.0,-203.0,800.0,-203.0,-1e+200,439559817.769,24052215.9626,438902724.635,485962907.003,399924254.507,403298867.393,476645635.177,13.0,5.78509092714e+14,24,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-380.0,-203.0,700.0,-203.0,-1e+200,411247257.524,19573687.7969,408391403.21,456638061.945,379641247.183,382992851.346,443575707.432,18.0,3.83129253972e+14,23,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-380.0,-203.0,900.0,-203.0,-1e+200,423376502.287,25410334.5648,416871803.95,478471604.584,387568974.284,394991996.402,462638393.498,17.0,6.45685102694e+14,25,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-380.0,-203.0,1000.0,-203.0,-1e+200,429155715.188,18075074.4746,422704456.192,463596789.451,402877012.085,404272796.177,458316241.89,18.0,3.26708317263e+14,26,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-380.0,-203.0,1100.0,-203.0,-1e+200,448505595.752,27909397.8038,442600886.493,501144618.79,401143503.796,405573926.556,481710423.061,17.0,7.78934485772e+14,27,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-380.0,-203.0,1200.0,-203.0,-1e+200,448809736.849,20178182.7688,452006523.594,475435333.685,404601928.147,406464314.508,475425634.091,19.0,4.07159059849e+14,28,0.00738916256158,1.67677150436e-05,9.47328533535e-09,0.05,0.0453846153846
203.0,-203.0,-380.0,-203.0,1218.0,-203.0,-1e+200,450653746.524,22755046.8038,446784620.924,492808064.999,413751915.421,417041610.537,488384117.469,17.0,5.17792155044e+14,29,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.05,0.0384615384615
203.0,-203.0,-380.0,-203.0,1300.0,-203.0,-1e+200,443864743.709,26667679.3165,443739066.726,481891153.484,394275648.363,410971667.992,478860214.521,17.0,7.11165120125e+14,30,0.00738916256158,1.16521409625e-05,9.47328533535e-09,0.05,0.0315384615385
203.0,-203.0,-360.0,-203.0,0.0,-203.0,-1e+200,302331549.399,18020383.9856,300019876.991,345309689.298,273239501.118,284686631.017,336746256.803,20.0,3.2473423899e+14,31,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.05,0.0384615384615
203.0,-203.0,-360.0,-203.0,100.0,-203.0,-1e+200,339945686.219,19125436.0727,339970582.974,372322563.161,303209567.356,310360056.602,365386930.974,18.0,3.65782304971e+14,32,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-360.0,-203.0,200.0,-203.0,-1e+200,370077868.182,23092574.4105,365667347.167,415446355.012,332188596.883,344272647.658,409316522.429,13.0,5.33266992904e+14,33,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-360.0,-203.0,300.0,-203.0,-1e+200,387002818.308,24968108.1929,388699409.338,429908735.464,338816922.318,346349807.771,422614818.659,13.0,6.23406426732e+14,34,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-360.0,-203.0,400.0,-203.0,-1e+200,404317111.023,21577224.2429,405130092.353,442162584.427,360598494.404,368333265.35,430382675.168,14.0,4.65576606029e+14,35,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-360.0,-203.0,500.0,-203.0,-1e+200,412418806.645,27515795.4186,409682981.196,459244231.551,378027669.822,379935210.864,448911647.38,11.0,7.5711899752e+14,36,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-360.0,-203.0,600.0,-203.0,-1e+200,409137698.51,29306622.7085,408246025.587,471231604.614,369339074.922,371207267.24,455141243.424,16.0,8.58878134578e+14,37,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-360.0,-203.0,700.0,-203.0,-1e+200,413532638.644,23237061.4179,416339518.275,465360456.399,372785871.913,376993959.523,438452015.549,17.0,5.39961023339e+14,38,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-360.0,-203.0,800.0,-203.0,-1e+200,416761764.218,22817826.4966,414514310.246,467907995.422,381487905.711,388299827.586,448452596.41,15.0,5.2065320603e+14,39,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-360.0,-203.0,900.0,-203.0,-1e+200,424018475.518,24121407.9999,432672960.597,461683509.727,391460543.928,391534452.609,460226377.754,16.0,5.81842323897e+14,40,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-360.0,-203.0,1000.0,-203.0,-1e+200,425978940.918,31892955.8577,417569592.021,521001761.309,384542228.998,395665661.515,475897498.356,16.0,1.01716063334e+15,41,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-360.0,-203.0,1100.0,-203.0,-1e+200,432024595.043,23928392.5865,432569641.147,464486582.138,392890131.968,402485972.089,463833840.92,15.0,5.72567971776e+14,42,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-360.0,-203.0,1200.0,-203.0,-1e+200,448150246.786,28231560.2598,448695732.752,486951253.828,405113975.912,407659478.763,484782571.349,16.0,7.970209947e+14,43,0.00738916256158,1.67677150436e-05,9.47328533535e-09,0.05,0.0453846153846
203.0,-203.0,-340.0,-203.0,0.0,-203.0,-1e+200,298209888.228,17556483.8205,299739009.541,324766670.58,264174062.159,276727827.528,322818596.941,20.0,3.0823012414e+14,46,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.05,0.0384615384615
203.0,-203.0,-360.0,-203.0,1218.0,-203.0,-1e+200,433290587.234,33003511.8728,419114202.378,497677369.969,379128815.238,392398822.816,488758207.795,15.0,1.08923179594e+15,44,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.05,0.0384615384615
203.0,-203.0,-360.0,-203.0,1300.0,-203.0,-1e+200,443904457.462,26576833.0253,437407692.39,490881132.781,400246330.06,409397389.238,484741661.692,17.0,7.06328053655e+14,45,0.00738916256158,1.16521409625e-05,9.47328533535e-09,0.05,0.0315384615385
203.0,-203.0,-340.0,-203.0,100.0,-203.0,-1e+200,341337020.254,20325931.0194,339070604.727,376817572.049,310571279.651,311633843.235,370599587.723,17.0,4.13143471805e+14,47,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-340.0,-203.0,300.0,-203.0,-1e+200,374489381.857,18641178.0768,378018609.593,402317604.688,345470674.177,346693408.24,398332256.004,11.0,3.47493520089e+14,49,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-340.0,-203.0,200.0,-203.0,-1e+200,369461803.822,22157871.5809,363068845.188,400688571.967,342138293.883,342623553.163,400518750.692,14.0,4.90971272996e+14,48,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-340.0,-203.0,400.0,-203.0,-1e+200,388148324.836,15708690.092,386313304.642,422824366.225,359890518.945,365762488.385,410075822.214,15.0,2.46762944408e+14,50,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-340.0,-203.0,500.0,-203.0,-1e+200,399463932.169,12502255.6451,394490085.563,429720721.828,384806398.622,385458155.018,421377871.318,13.0,1.56306396216e+14,51,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-340.0,-203.0,600.0,-203.0,-1e+200,410756853.141,26685760.2916,412954340.064,460135483.928,355929410.951,364985905.826,439820477.716,17.0,7.12129802343e+14,52,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-340.0,-203.0,700.0,-203.0,-1e+200,425083929.674,22946024.0775,430301424.768,456662560.737,385804015.081,386509289.157,454150800.248,17.0,5.26520020965e+14,53,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-340.0,-203.0,800.0,-203.0,-1e+200,419256982.018,29362510.5063,422964042.063,470349415.976,375487620.374,379686582.268,461886078.321,14.0,8.62157023234e+14,54,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-340.0,-203.0,900.0,-203.0,-1e+200,424320663.033,21635923.1234,424528421.625,472688084.834,380581895.891,392856008.683,451337914.268,14.0,4.68113169402e+14,55,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-340.0,-203.0,1000.0,-203.0,-1e+200,410426494.384,32073714.5833,403593277.017,470889861.882,351172103.606,373702609.864,467585376.258,18.0,1.02872316717e+15,56,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-340.0,-203.0,1100.0,-203.0,-1e+200,423873756.696,24068177.8404,424827429.17,459308080.331,386847105.922,390741788.458,458806997.485,14.0,5.79277184559e+14,57,0.00738916256158,2.84198560061e-05,9.47328533535e-09,0.05,0.0769230769231
203.0,-203.0,-340.0,-203.0,1200.0,-203.0,-1e+200,419227034.566,27140103.302,426508510.126,452773265.039,355168661.402,369127684.126,452250500.359,17.0,7.36585207245e+14,58,0.00738916256158,1.67677150436e-05,9.47328533535e-09,0.05,0.0453846153846
203.0,-203.0,-340.0,-203.0,1218.0,-203.0,-1e+200,426924745.893,27068623.1476,422311382.089,469568570.527,382743032.221,385113638.219,465388628.957,18.0,7.32710359104e+14,59,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.05,0.0384615384615
203.0,-203.0,-320.0,-203.0,0.0,-203.0,-1e+200,300824148.736,20358237.1871,298186864.574,338019669.335,263771877.441,270932379.431,331188193.42,20.0,4.14457821367e+14,61,0.00738916256158,1.4209928003e-05,9.47328533535e-09,0.05,0.0384615384615
