npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight-htse_capacity
769.0,-754.0,-18948.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,cooper,nebraska,covid,1941425295.6,6952.28786661,1941428170.23,1941429832.72,1941415009.23,1941416830.37,1941429736.36,4.0,48334306.5802,0.263848935103,0.0216116007706,0.302646790386,1.22768367385e-12,1,0.270642201835
769.0,-754.0,-18948.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40000.0,ref,cooper,nebraska,covid,1939140855.36,393140.692701,1939188010.27,1939567788.47,1938619612.41,1938697175.51,1939518518.32,4.0,154559604258.0,0.5,0.0409544968642,0.302646790386,1.22768367385e-12,4,0.270642201835
769.0,-754.0,-18948.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,75792.0,ref,cooper,nebraska,covid,1937428082.3,556136.067175,1937548619.27,1937957269.36,1936657821.3,1936774516.0,1937912896.84,4.0,309287325213.0,0.236151064897,0.0193428960936,0.302646790386,1.22768367385e-12,7,0.270642201835
769.0,-754.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,cooper,nebraska,covid,883523792.266,22653673.7307,887770456.667,902616882.446,855937373.285,858650335.275,902451919.096,4.0,5.13188933495e+14,0.263848935103,0.0357043283741,0.5,1.22768367385e-12,10,0.270642201835
769.0,-400.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,cooper,nebraska,covid,1258793111.98,13594558.1052,1259925346.74,1271354933.74,1243966820.71,1244960472.58,1271040622.72,4.0,1.84812010075e+14,0.263848935103,0.0659622337758,0.5,1.22768367385e-12,11,0.5
769.0,-754.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40000.0,ref,cooper,nebraska,covid,982557474.985,10899576.8022,985223658.644,991504954.945,968277627.706,970010270.066,991372022.781,4.0,1.18800774466e+14,0.5,0.0676605504587,0.5,1.22768367385e-12,13,0.270642201835
769.0,-400.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40000.0,ref,cooper,nebraska,covid,1279296356.37,9136686.99223,1279997609.33,1289007734.55,1268182472.28,1269358274.95,1288252683.65,4.0,8.34790491939e+13,0.5,0.125,0.5,1.22768367385e-12,14,0.5
769.0,-754.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,75792.0,ref,cooper,nebraska,covid,983922858.926,15909387.2244,990194863.757,994998871.902,960302836.289,964759353.688,994305557.402,4.0,2.53108601856e+14,0.236151064897,0.0319562220846,0.5,1.22768367385e-12,16,0.270642201835
769.0,-400.0,-9000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,75792.0,ref,cooper,nebraska,covid,1282501609.02,3058017.37891,1282451992.42,1286275325.15,1278827126.09,1279312113.37,1285760567.92,4.0,9.35147028972e+12,0.236151064897,0.0590377662242,0.5,1.22768367385e-12,17,0.5
769.0,-754.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,cooper,nebraska,covid,213122030.506,5094662.09926,213612825.243,217750875.407,207511596.134,207901975.453,217654972.93,4.0,2.59555819056e+13,0.263848935103,0.0140927276034,0.197353209614,1.22768367385e-12,19,0.270642201835
