npp_capacity,elec_market_capacity,location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-npp_capacity,prefix,PointProbability
1280.0,-1e+200,south_texas_project,2742484812.48,83894741.8734,2738980663.78,2997068204.4,2487662870.56,2619269196.33,2879332159.44,200.0,7.03832771401e+15,0.5,0.5,1,0.00078125
2560.0,-1e+200,south_texas_project,5461712599.34,157957668.769,5450974877.69,5964849287.66,4952074334.92,5214472932.49,5723255064.93,200.0,2.49506251229e+16,0.5,0.5,2,0.00078125
