SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-TES_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-Charger_capacity
203.0,-203.0,-400.0,-195.0,400.0,-203.0,-1e+200,294713745.787,1607944.71641,294785504.885,297692668.394,291953169.637,292425054.929,297224608.872,20.0,2.58548621103e+12,2,0.0357142857143,0.1,9.3984962406e-05,3.75939849624e-08,0.0263157894737
203.0,-203.0,-400.0,-195.0,300.0,-203.0,-1e+200,288567032.898,1689339.62091,287822908.009,292002506.283,286302831.246,286532886.848,291420270.221,20.0,2.85386835477e+12,1,0.0357142857143,0.05,4.6992481203e-05,3.75939849624e-08,0.0263157894737
203.0,-203.0,-400.0,-195.0,500.0,-203.0,-1e+200,297874640.577,1915703.28304,297972793.194,301294110.185,295278171.519,295292156.217,300950388.474,20.0,3.66991906864e+12,3,0.0357142857143,0.1,9.3984962406e-05,3.75939849624e-08,0.0263157894737
203.0,-203.0,-400.0,-195.0,600.0,-203.0,-1e+200,300864192.086,1837309.60178,300948009.591,304850921.166,296778635.915,297720996.513,303293405.93,20.0,3.37570657278e+12,4,0.0357142857143,0.1,9.3984962406e-05,3.75939849624e-08,0.0263157894737
203.0,-203.0,-400.0,-195.0,700.0,-203.0,-1e+200,303752867.163,1236778.83172,303446803.013,307158169.238,302258414.307,302307488.833,305797612.351,20.0,1.52962187859e+12,5,0.0357142857143,0.1,9.3984962406e-05,3.75939849624e-08,0.0263157894737
203.0,-203.0,-400.0,-195.0,800.0,-203.0,-1e+200,303715645.375,1646308.0992,303916129.789,307163865.482,300976642.736,301449295.678,305757222.626,20.0,2.71033035748e+12,6,0.0357142857143,0.1,9.3984962406e-05,3.75939849624e-08,0.0263157894737
203.0,-203.0,-400.0,-195.0,900.0,-203.0,-1e+200,306989756.585,1631378.19443,307026794.891,310624502.527,304326285.939,304440549.972,308941476.537,20.0,2.66139481325e+12,7,0.0357142857143,0.1,9.3984962406e-05,3.75939849624e-08,0.0263157894737
203.0,-203.0,-400.0,-195.0,1000.0,-203.0,-1e+200,307843446.307,2047212.63982,308356660.429,312200492.137,303852863.282,304366758.831,310617063.976,20.0,4.19107959264e+12,8,0.0357142857143,0.1,9.3984962406e-05,3.75939849624e-08,0.0263157894737
203.0,-203.0,-400.0,-195.0,1100.0,-203.0,-1e+200,308677446.562,2224703.11259,308374801.344,313088684.282,305941668.271,306007279.874,312787106.201,20.0,4.94930393916e+12,9,0.0357142857143,0.1,9.3984962406e-05,3.75939849624e-08,0.0263157894737
203.0,-203.0,-400.0,-195.0,1200.0,-203.0,-1e+200,309722786.201,1895842.16935,309966789.852,314449693.985,305698414.136,307470347.217,311565792.236,20.0,3.59421753108e+12,10,0.0357142857143,0.059,5.54511278195e-05,3.75939849624e-08,0.0263157894737
