npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,3742626657,413660.5809,3742718656,3743021466,3742047849,3742140586,3742983929,4,1.71115E+11,0.244938821,10,3.76E-13,0.315634218,0.250012501,0.019328735
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,3742422831,193006.7324,3742442029,3742623331,3742183935,3742210213,3742608571,4,37251598765,0.244938821,7,3.76E-13,0.315634218,0.475023751,0.036724596
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,3742152106,27456.02149,3742147050,3742188255,3742126070,3742127623,3742183668,4,753833115.8,0.244938821,4,3.76E-13,0.315634218,0.249987499,0.019326802
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,3742129514,1367.423988,3742129830,3742130794,3742127601,3742127900,3742130685,4,1869848.362,0.244938821,1,3.76E-13,0.315634218,0.024976249,0.001930941
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2813916752,5338401.846,2813800528,2820324068,2807741883,2808384755,2819611462,4,2.85E+13,0.5,19,3.76E-13,0.315634218,0.475023751,0.074966875
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2803723268,1122763.714,2803462099,2805288313,2802680562,2802762811,2805049363,4,1.26E+12,0.5,22,3.76E-13,0.315634218,0.250012501,0.03945625
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2741864249,6270664.095,2741826756,2748532780,2735270707,2735673004,2748107986,4,3.93E+13,0.5,16,3.76E-13,0.315634218,0.249987499,0.039452304
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2690961340,5556871.408,2690576491,2697031034,2685661342,2685843320,2696618147,4,3.09E+13,0.5,13,3.76E-13,0.315634218,0.024976249,0.003941679
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2340760227,9491261.117,2341313451,2351340993,2329073013,2330421908,2350324032,4,9.01E+13,0.255061179,36,3.76E-13,0.184365782,0.250012501,0.011756726
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2336118910,10557901.98,2338113520,2346103748,2322144853,2323945051,2345500316,4,1.11E+14,0.255061179,33,3.76E-13,0.184365782,0.475023751,0.02233778
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2330276421,8097977.06,2329509869,2338760139,2323325806,2323333193,2338292821,4,6.56E+13,0.255061179,30,3.76E-13,0.184365782,0.249987499,0.011755551
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2305567559,10484942.14,2309782980,2312714172,2289990106,2292881719,2312351811,4,1.10E+14,0.255061179,27,3.76E-13,0.184365782,0.024976249,0.001174497
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2127874962,8959241.669,2127626727,2137552989,2118693404,2119193432,2136904020,4,8.03E+13,0.255061179,32,3.76E-13,0.5,0.475023751,0.060580059
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2110221443,7577536.925,2108574007,2120214727,2103523029,2103782113,2118967182,4,5.74E+13,0.255061179,35,3.76E-13,0.5,0.250012501,0.031884242
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2094129869,8508914.683,2096754886,2100660349,2082349357,2084012740,2100571976,4,7.24E+13,0.255061179,29,3.76E-13,0.5,0.249987499,0.031881053
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2055507269,4390717.719,2056278209,2059242233,2050230427,2050728841,2059206383,4,1.93E+13,0.255061179,26,3.76E-13,0.5,0.024976249,0.003185236
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,1725029257,9097963.905,1726122856,1734715369,1713155946,1714747119,1733780356,4,8.28E+13,0.255061179,31,3.76E-13,0.315634218,0.475023751,0.038242279
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,1714033172,13200216.93,1713077119,1729584227,1700394224,1701273504,1728131315,4,1.74E+14,0.255061179,34,3.76E-13,0.315634218,0.250012501,0.020127515
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,1661571378,7380791.855,1659491412,1671868246,1655434443,1655689798,1670364911,4,5.45E+13,0.255061179,28,3.76E-13,0.315634218,0.249987499,0.020125503
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,1613415336,8335184.081,1613463117,1623324006,1603411105,1604580908,1622182871,4,6.95E+13,0.255061179,25,3.76E-13,0.315634218,0.024976249,0.002010739
