iteration,accepted,H2_storage_capacity,overflow_capacity,H2_market_capacity,IES_delta_cap,mean_NPV
0.0,first,50000.0,-1000.0,-1.00000000009,0.25,-11380458636.5
1.0,rejected,448095.030873,-1000.0,-5.75762340881,0.0,-12152506241.1
2.0,rerun,50000.0,-1000.0,-1.00000000009,0.25,-11397045832.0
3.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.447215367053,-11263398578.3
4.0,rejected,231447.709346,-1000.0,-5.03240095318,0.0,-11958544265.6
5.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.447215367053,-11252197120.5
6.0,rejected,0.0,-1000.0,-9.99982319172e-11,1.63696527075,-11397755231.0
7.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.447215367053,-11256802889.2
8.0,rejected,132914.872472,-1000.0,-9.99982319172e-11,0.783624727208,-11374805277.7
9.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.447215367053,-11261658903.6
10.0,rejected,286291.184403,-1000.0,-1.51788505749,1.12719280169,-11689219896.9
11.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.447215367053,-11258222400.0
12.0,rejected,0.0,-1000.0,-1.29854779647,0.0,-11362750982.4
13.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.447215367053,-11262505686.5
14.0,rejected,37139.7180869,-1000.0,-0.540525723946,0.0,-11294335338.4
15.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.447215367053,-11246694576.6
16.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-11196605039.6
17.0,rejected,222360.854274,-1000.0,-2.47098183132,0.782119368872,-11730616991.5
18.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-11196515354.5
19.0,rejected,0.0,-1000.0,-2.08045052373,1.07607851428,-11596842477.2
20.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-11192644019.5
21.0,rejected,34188.5146331,-1000.0,-4.14026577341,0.0,-11741455115.4
22.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-11199874454.9
23.0,rejected,40316.7728687,-1000.0,-4.12725763026,0.391378927022,-11795196332.9
24.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-11198682203.9
25.0,rejected,39058.3098434,-1000.0,-2.43501757354,0.794559206627,-11622287540.6
26.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-11187049222.0
27.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-11191019710.7
28.0,accepted,0.0,-1000.0,-9.99982319172e-11,0.0,-11195505489.1
29.0,rejected,0.0,-1000.0,-9.99982319172e-11,0.880282048132,-11319839353.6
30.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-11200445884.9
31.0,rejected,94528.7787386,-1000.0,-1.46589393023,0.59385999057,-11522558139.3
32.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-11193872101.5
33.0,rejected,0.0,-1000.0,-2.2589041617,0.0,-11495633192.0
34.0,rerun,0.0,-1000.0,-9.99982319172e-11,0.0,-11198313298.2
35.0,rejected,81112.5888885,-1000.0,-2.23860959578,0.0,-11539098051.3
