Additional_NPP_capacity,turbine_capacity,grid_capacity,NPP_unused_capacity,H2_storage_capacity,ETES_storage_capacity,Hitec_XL_storage_capacity,Dowtherm_A_storage_capacity,Li_ion_storage_capacity,state_label,price_struct_label,strategy_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-Additional_NPP_capacity
50.0,200.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,NY,Reference,No_Storage,-24558564339.0,152961165.552,-24551951985.9,-24276285083.4,-24854337596.6,-24854337596.6,-24276285083.4,10.0,2.33971181671e+16,0.5,0.02,2,0.5
0.0,200.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,NY,Reference,No_Storage,2347881535.83,41432411.5304,2355059848.43,2436115190.3,2298498333.33,2298498333.33,2436115190.3,10.0,1.71664472522e+15,0.5,0.02,1,0.5
