npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,3407341185.48,29040.9562461,3407337694.37,3407377682.85,3407311670.34,3407313729.02,3407373529.5,4.0,843377139.69,4,3.76215239928e-13,0.244938821026,0.019326801889,0.249987499375,0.315634218289
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,3408336785.72,1283.92709592,3408337023.73,3408338079.26,3408335016.17,3408335299.7,3408337938.53,4.0,1648468.78764,1,3.76215239928e-13,0.244938821026,0.00193094060277,0.0249762488124,0.315634218289
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,3398183060.93,380903.751368,3398113219.2,3398645458.08,3397860347.24,3397863493.55,3398600406.73,4.0,145087667806.0,7,3.76215239928e-13,0.244938821026,0.0367245960488,0.475023751188,0.315634218289
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,3388525833.85,473823.390517,3388714397.64,3388845265.74,3387829274.37,3387948974.18,3388838704.2,4.0,224508605401.0,10,3.76215239928e-13,0.244938821026,0.0193287347625,0.250012500625,0.315634218289
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2300886062.92,5396476.45982,2301446440.45,2306878807.54,2293772563.23,2294873561.58,2306114035.7,4.0,2.91219581814e+13,13,3.76215239928e-13,0.5,0.00394167938485,0.0249762488124,0.315634218289
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2329048940.56,3863902.62709,2328425026.93,2333940356.81,2325405351.58,2325581533.56,2333389826.65,4.0,1.49297435116e+13,16,3.76215239928e-13,0.5,0.0394523044736,0.249987499375,0.315634218289
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2378098357.22,5156005.70648,2378808702.71,2382659127.7,2372116895.76,2372621305.4,2382580925.36,4.0,2.65843948452e+13,19,3.76215239928e-13,0.5,0.0749668751874,0.475023751188,0.315634218289
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2361665823.03,3966152.34277,2361429138.5,2365996223.17,2357808791.93,2357962854.85,2365700149.54,4.0,1.5730364406e+13,22,3.76215239928e-13,0.5,0.0394562500986,0.250012500625,0.315634218289
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1155849539.64,6240676.18825,1152945349.04,1165197548.83,1152309911.65,1152380300.7,1163384645.42,4.0,3.89460392866e+13,25,3.76215239928e-13,0.255061178974,0.00201073878208,0.0249762488124,0.315634218289
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1589625859.46,6259817.41242,1587791905.6,1598170518.52,1584749108.11,1584808165.49,1597011088.82,4.0,3.91853140368e+13,26,3.76215239928e-13,0.255061178974,0.00318523573423,0.0249762488124,0.5
