price_fft_frequency,price_fft_period,price_fft_amplitude,
0,inf,384562.86,384562.86
0.041666667,24,-43423.55087,43423.55087
0.083333333,12,-29050.70033,29050.70033
0.000228311,4380,-28146.36528,28146.36528
0.083219178,12.01646091,-23301.04593,23301.04593
0.041552511,24.06593407,23040.27878,23040.27878
0.000114155,8760,22944.23203,22944.23203
0.000342466,2920,-19006.88243,19006.88243
0.000456621,2190,-18840.1358,18840.1358
0.000570776,1752,-13913.21466,13913.21466
0.166552511,6.004112406,13857.53677,13857.53677
0.006164384,162.2222222,-12474.42729,12474.42729
0.00456621,219,-12367.62004,12367.62004
0.00239726,417.1428571,-11588.6872,11588.6872
0.001940639,515.2941176,11137.79826,11137.79826
0.005479452,182.5,-11102.51054,11102.51054
0.004680365,213.6585366,-10995.37688,10995.37688
0.008219178,121.6666667,-10920.30037,10920.30037
0.033333333,30,-10804.3971,10804.3971
0.008675799,115.2631579,10343.32873,10343.32873
0.00216895,461.0526316,-10125.08112,10125.08112
0.002625571,380.8695652,10063.35753,10063.35753
0.002511416,398.1818182,-10005.87059,10005.87059
0.208219178,4.802631579,-9709.501,9709.501
0.005936073,168.4615385,-9562.347386,9562.347386
0.166666667,6,9455.925,9455.925
0.008789954,113.7662338,9271.379991,9271.379991
0.001255708,796.3636364,-9261.94074,9261.94074
0.041894977,23.86920981,8960.695893,8960.695893
0.043835616,22.8125,8958.266157,8958.266157
0.291552511,3.429913861,8855.606713,8855.606713
0.012557078,79.63636364,-8832.950949,8832.950949
0.011872146,84.23076923,8732.247454,8732.247454
0.003424658,292,8565.311047,8565.311047
0.083105023,12.03296703,8444.689294,8444.689294
0.125,8,8397.928113,8397.928113
0.035958904,27.80952381,-8113.530525,8113.530525
0.007534247,132.7272727,-7920.704537,7920.704537
0.000913242,1095,7914.035024,7914.035024
0.001369863,730,-7809.856276,7809.856276
0.008333333,120,7777.445243,7777.445243
0.044292237,22.57731959,-7654.262713,7654.262713
0.01347032,74.23728814,7578.595943,7578.595943
0.010273973,97.33333333,7496.956456,7496.956456
0.045091324,22.17721519,-7430.034087,7430.034087
0.011073059,90.30927835,-7419.890488,7419.890488
0.085502283,11.69559413,-7256.496298,7256.496298
0.01586758,63.02158273,-7246.982014,7246.982014
0.025,40,-7226.216475,7226.216475
0.208105023,4.805266045,-7179.141463,7179.141463
0.004109589,243.3333333,-7097.358956,7097.358956
0.003196347,312.8571429,-7067.191245,7067.191245
0.037214612,26.87116564,6990.442869,6990.442869
0.003881279,257.6470588,-6953.709439,6953.709439
0.043607306,22.93193717,-6918.896734,6918.896734
0.005821918,171.7647059,-6888.462395,6888.462395
0.004794521,208.5714286,-6878.440602,6878.440602
0.040296804,24.81586402,6867.323654,6867.323654
0.012328767,81.11111111,6856.222287,6856.222287
0.214840183,4.654622742,-6842.75887,6842.75887
0.001712329,584,-6829.387736,6829.387736
0.003767123,265.4545455,6794.920656,6794.920656
0.005593607,178.7755102,-6773.008038,6773.008038
0.049885845,20.04576659,6753.131305,6753.131305
0.049200913,20.32482599,6696.368209,6696.368209
0.228995434,4.366899302,6672.630468,6672.630468
0.003652968,273.75,6647.007312,6647.007312
0.041324201,24.19889503,-6614.672235,6614.672235
0.0043379,230.5263158,6601.699364,6601.699364
0.035388128,28.25806452,6577.905557,6577.905557
0.04760274,21.00719424,6525.368065,6525.368065
0.191324201,5.22673031,-6484.367365,6484.367365
0.044178082,22.63565891,6467.327367,6467.327367
0.023173516,43.15270936,6444.544507,6444.544507
0.001598174,625.7142857,6429.59144,6429.59144
0.037557078,26.62613982,6398.182432,6398.182432
0.019178082,52.14285714,6397.631783,6397.631783
0.199657534,5.008576329,-6380.114101,6380.114101
0.038926941,25.68914956,6312.257902,6312.257902
0.012671233,78.91891892,-6270.423783,6270.423783
0.374771689,2.668291197,-6256.300978,6256.300978
0.194748858,5.134818288,-6127.272999,6127.272999
0.050114155,19.95444191,-6127.118139,6127.118139
0.084360731,11.85385656,6106.493823,6106.493823
0.028196347,35.46558704,-6091.655505,6091.655505
0.047146119,21.21065375,6090.379031,6090.379031
0.080593607,12.40793201,-6036.622743,6036.622743
0.008105023,123.3802817,-5977.687103,5977.687103
0.055136986,18.13664596,-5948.615327,5948.615327
0.000799087,1251.428571,5915.284655,5915.284655
0.198287671,5.043177893,-5905.887101,5905.887101
0.006849315,146,5855.327886,5855.327886
0.006506849,153.6842105,5854.954756,5854.954756
0.001826484,547.5,5854.753265,5854.753265
0.002739726,365,5823.084657,5823.084657
0.068835616,14.52736318,-5791.733236,5791.733236
0.084474886,11.83783784,5790.586778,5790.586778
0.105593607,9.47027027,5727.217612,5727.217612
0.046232877,21.62962963,5695.551091,5695.551091
0.048972603,20.41958042,5622.413456,5622.413456
0.257305936,3.886424135,-5603.344097,5603.344097
0.232762557,4.296223639,5589.915773,5589.915773
0.125456621,7.970882621,-5578.317564,5578.317564
0.098059361,10.19790454,5577.774798,5577.774798
0.153082192,6.532438479,5530.16323,5530.16323
0.187557078,5.331710286,-5519.055444,5519.055444
0.054794521,18.25,-5514.693499,5514.693499
0.166324201,6.012354152,-5510.425933,5510.425933
0.278652968,3.588693159,5502.099949,5502.099949
0.164726027,6.070686071,5495.315695,5495.315695
0.046347032,21.57635468,5490.764017,5490.764017
0.189726027,5.270758123,-5481.388188,5481.388188
0.247945205,4.033149171,-5460.571349,5460.571349
0.003538813,282.5806452,5451.685935,5451.685935
0.038584475,25.91715976,-5440.142758,5440.142758
0.207534247,4.818481848,5420.492305,5420.492305
0.08869863,11.27413127,5411.999163,5411.999163
0.147260274,6.790697674,-5404.586078,5404.586078
0.082990868,12.04951857,5398.216753,5398.216753
0.048287671,20.70921986,-5389.163997,5389.163997
0.284474886,3.515248796,-5387.800417,5387.800417
0.007077626,141.2903226,5382.958581,5382.958581
0.078652968,12.71407837,5376.057687,5376.057687
0.225114155,4.442190669,-5367.993345,5367.993345
0.140525114,7.116165719,-5313.475479,5313.475479
0.423059361,2.363734485,5297.130908,5297.130908
0.01152968,86.73267327,-5290.866159,5290.866159
0.128082192,7.807486631,-5284.527029,5284.527029
0.416438356,2.401315789,5257.577709,5257.577709
0.108219178,9.240506329,5243.490545,5243.490545
0.003310502,302.0689655,-5242.032621,5242.032621
0.395205479,2.530329289,5224.842918,5224.842918
0.174885845,5.718015666,5197.29456,5197.29456
0.077853881,12.84457478,5181.509178,5181.509178
0.054680365,18.28810021,5156.862411,5156.862411
0.173401826,5.766951942,5156.178988,5156.178988
0.014726027,67.90697674,-5147.006702,5147.006702
0.007305936,136.875,-5135.01364,5135.01364
0.169406393,5.90296496,5126.535567,5126.535567
0.027625571,36.19834711,-5121.022877,5121.022877
0.050913242,19.64125561,5102.801519,5102.801519
0.078082192,12.80701754,5084.413893,5084.413893
0.173173516,5.774555043,5081.022936,5081.022936
0.011757991,85.04854369,5070.368485,5070.368485
0.009246575,108.1481481,-5064.667056,5064.667056
0.059474886,16.81381958,5064.53594,5064.53594
0.213584475,4.681988242,5051.103869,5051.103869
0.201598174,4.960362401,-5048.241324,5048.241324
0.018378995,54.40993789,5047.250582,5047.250582
0.249657534,4.005486968,5043.57951,5043.57951
0.291438356,3.431257344,5039.009408,5039.009408
0.155479452,6.431718062,-5031.674308,5031.674308
0.033675799,29.69491525,-5024.180312,5024.180312
0.128995434,7.752212389,5005.633444,5005.633444
0.276255708,3.619834711,-4994.75945,4994.75945
0.051369863,19.46666667,-4979.595211,4979.595211
0.172374429,5.801324503,4973.448718,4973.448718
0.225228311,4.439939179,-4953.286738,4953.286738
0.182990868,5.464753587,-4946.574533,4946.574533
0.332990868,3.003085362,-4946.392397,4946.392397
0.074885845,13.35365854,-4933.114694,4933.114694
0.065981735,15.15570934,4927.279879,4927.279879
0.049429224,20.23094688,-4924.033265,4924.033265
0.372031963,2.687941086,4923.235314,4923.235314
0.165753425,6.033057851,-4919.786735,4919.786735
0.087557078,11.42112125,-4890.750829,4890.750829
0.114954338,8.699106256,4890.593054,4890.593054
0.03390411,29.49494949,4885.84967,4885.84967
0.136187215,7.342833194,4882.05948,4882.05948
0.018493151,54.07407407,-4842.462105,4842.462105
0.094178082,10.61818182,-4833.319441,4833.319441
0.156849315,6.375545852,4815.576489,4815.576489
0.013127854,76.17391304,4784.256456,4784.256456
0.001141553,876,-4783.871584,4783.871584
0.061757991,16.1922366,-4781.909249,4781.909249
0.047488584,21.05769231,4762.628319,4762.628319
0.189041096,5.289855072,-4761.666386,4761.666386
0.029908676,33.4351145,-4754.190635,4754.190635
0.082762557,12.08275862,4741.729749,4741.729749
0.169863014,5.887096774,-4735.76117,4735.76117
0.14109589,7.087378641,4715.166333,4715.166333
0.350114155,2.856211281,-4678.411734,4678.411734
0.169748858,5.891055817,4668.619327,4668.619327
0.084589041,11.82186235,4647.140139,4647.140139
0.210616438,4.74796748,4644.635334,4644.635334
0.274086758,3.6484798,-4638.821917,4638.821917
0.038127854,26.22754491,4632.939684,4632.939684
0.100913242,9.909502262,-4631.365217,4631.365217
0.267694064,3.735607676,-4624.907448,4624.907448
0.039383562,25.39130435,-4621.834285,4621.834285
0.21152968,4.727468969,4613.244713,4613.244713
0.122374429,8.171641791,-4606.802427,4606.802427
0.016210046,61.69014085,-4601.107795,4601.107795
0.114611872,8.725099602,-4600.039676,4600.039676
0.016666667,60,4579.773515,4579.773515
0.058561644,17.07602339,-4577.469155,4577.469155
0.02716895,36.80672269,4567.714104,4567.714104
0.046803653,21.36585366,-4566.926466,4566.926466
0.167579909,5.967302452,-4562.960409,4562.960409
0.0456621,21.9,-4560.623128,4560.623128
0.060045662,16.6539924,-4555.446932,4555.446932
0.226027397,4.424242424,4549.603136,4549.603136
0.07739726,12.92035398,4543.987733,4543.987733
0.233675799,4.279433317,-4538.736438,4538.736438
0.354109589,2.823984526,-4537.254701,4537.254701
0.004908676,203.7209302,4523.53366,4523.53366
0.047945205,20.85714286,-4518.219004,4518.219004
0.038812785,25.76470588,4508.383869,4508.383869
0.035616438,28.07692308,-4497.971543,4497.971543
0.05913242,16.91119691,-4491.516161,4491.516161
0.094748858,10.55421687,4485.774067,4485.774067
0.125228311,7.985414768,4483.205627,4483.205627
0.249885845,4.001827318,-4481.030875,4481.030875
0.030936073,32.32472325,4475.418399,4475.418399
0.159246575,6.279569892,-4472.616194,4472.616194
0.025456621,39.28251121,4464.415542,4464.415542
0.340182648,2.939597315,4461.957991,4461.957991
0.035502283,28.16720257,4456.136656,4456.136656
0.291894977,3.425889715,4451.177742,4451.177742
0.059360731,16.84615385,4450.28074,4450.28074
0.267579909,3.737201365,-4444.140929,4444.140929
0.090639269,11.03274559,-4419.515932,4419.515932
0.032990868,30.31141869,-4414.57504,4414.57504
0.075913242,13.17293233,4405.143508,4405.143508
0.059246575,16.87861272,4395.111573,4395.111573
0.124543379,8.029330889,-4393.511834,4393.511834
0.166894977,5.991792066,-4379.451924,4379.451924
0.214954338,4.652150823,-4377.7908,4377.7908
0.04326484,23.11345646,-4377.704795,4377.704795
0.126826484,7.884788479,4374.438399,4374.438399
0.362442922,2.759055118,-4353.508268,4353.508268
0.204908676,4.880222841,4348.750131,4348.750131
0.022488584,44.46700508,-4347.497386,4347.497386
0.039611872,25.24495677,4347.4412,4347.4412
0.237442922,4.211538462,-4343.992021,4343.992021
0.235159817,4.252427184,-4342.197581,4342.197581
0.16369863,6.108786611,4340.248798,4340.248798
0.167009132,5.987696514,-4330.525699,4330.525699
0.146004566,6.84910086,4322.879134,4322.879134
0.080479452,12.42553191,-4317.304437,4317.304437
0.124885845,8.007312614,4312.603827,4312.603827
0.173630137,5.759368836,4308.799473,4308.799473
0.074543379,13.41500766,-4305.426789,4305.426789
0.045890411,21.79104478,4287.059288,4287.059288
0.04303653,23.23607427,-4286.827641,4286.827641
0.408789954,2.446244066,-4285.711876,4285.711876
0.026940639,37.11864407,4282.893244,4282.893244
0.286073059,3.495610535,-4275.797474,4275.797474
0.046917808,21.31386861,4271.026611,4271.026611
0.183675799,5.444375388,4263.840187,4263.840187
0.14326484,6.980079681,4261.655489,4261.655489
0.2706621,3.69464361,-4256.454499,4256.454499
0.116552511,8.579823702,4255.035951,4255.035951
0.017123288,58.4,4246.073753,4246.073753
0.215068493,4.649681529,-4241.147622,4241.147622
0.030707763,32.56505576,-4237.376916,4237.376916
0.268607306,3.722906927,4236.226014,4236.226014
0.183219178,5.457943925,4233.673536,4233.673536
0.205251142,4.872080089,4228.67789,4228.67789
0.276027397,3.622828784,-4226.246377,4226.246377
0.243493151,4.106891702,-4221.386514,4221.386514
0.171347032,5.83610926,4220.87191,4220.87191
0.052054795,19.21052632,-4218.090567,4218.090567
0.057762557,17.31225296,-4217.514024,4217.514024
0.234360731,4.266926449,4215.770415,4215.770415
0.24303653,4.114607797,4208.184976,4208.184976
0.225342466,4.43768997,-4199.409542,4199.409542
0.169520548,5.898989899,-4195.733154,4195.733154
0.129680365,7.711267606,-4191.946019,4191.946019
0.08652968,11.55672823,4190.301115,4190.301115
0.195547945,5.113835377,4188.261666,4188.261666
0.316552511,3.159033538,-4183.794073,4183.794073
0.324429224,3.082336383,4174.24992,4174.24992
0.150684932,6.636363636,-4170.283127,4170.283127
0.060958904,16.40449438,4162.569438,4162.569438
0.017579909,56.88311688,-4162.219127,4162.219127
0.33652968,2.971506106,4159.827977,4159.827977
0.025799087,38.76106195,4157.895314,4157.895314
0.021461187,46.59574468,4156.012769,4156.012769
0.107876712,9.26984127,4148.712132,4148.712132
0.148287671,6.743648961,4147.553259,4147.553259
0.028424658,35.18072289,4144.376942,4144.376942
0.039269406,25.46511628,4131.770136,4131.770136
0.1293379,7.73168579,4130.35301,4130.35301
0.167694064,5.9632403,-4123.619487,4123.619487
0.126141553,7.92760181,-4117.686874,4117.686874
0.133333333,7.5,4116.981905,4116.981905
0.035273973,28.34951456,4115.194873,4115.194873
0.071461187,13.99361022,-4113.014966,4113.014966
0.12956621,7.718061674,-4110.289149,4110.289149
0.063013699,15.86956522,4101.570203,4101.570203
0.082420091,12.13296399,4091.24883,4091.24883
0.170890411,5.851703407,4090.799736,4090.799736
0.024543379,40.74418605,-4090.1656,4090.1656
0.017922374,55.79617834,-4084.960406,4084.960406
0.235502283,4.246243335,-4076.803926,4076.803926
0.013584475,73.61344538,-4071.532789,4071.532789
0.428082192,2.336,-4059.048723,4059.048723
0.215639269,4.637374272,4057.868897,4057.868897
0.235616438,4.244186047,-4052.5273,4052.5273
