iteration,accepted,turbine_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,CO2_source_capacity,elec_market_capacity,naphta_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV
0.0,first,38450.0,-3750000.0,-5000.0,-14900.0,5e+48,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,16778027664.6
1.0,accepted,359846.253489,-12842904.5636,-3795.5477604,-14900.0,2.9551519179e+48,-1e+200,-1e+200,-1e+200,-1e+200,5057.34873818,225228843912.0
2.0,accepted,411913.397537,-29059850.2562,-42226.8784308,-14900.0,2.85364957138e+48,-1e+200,-1e+200,-1e+200,-1e+200,10409.6664612,269323722458.0
3.0,accepted,547621.904677,-14560100.3658,-37400.4589441,-14900.0,1.64388864649e+49,-1e+200,-1e+200,-1e+200,-1e+200,0.0,347685626358.0
4.0,accepted,732269.032465,-21289811.4939,-56708.1785384,-14900.0,3.98917433924e+49,-1e+200,-1e+200,-1e+200,-1e+200,0.0,463531360534.0
5.0,accepted,750000.0,-32080351.4075,-91589.4121549,-14900.0,2.05430130184e+49,-1e+200,-1e+200,-1e+200,-1e+200,77478.808341,489106012008.0
6.0,rejected,750000.0,0.0,-99135.3783657,-14900.0,3.93324409524e+49,-1e+200,-1e+200,-1e+200,-1e+200,75426.1684417,452813240251.0
7.0,rerun,750000.0,-32080351.4075,-91589.4121549,-14900.0,2.05430130184e+49,-1e+200,-1e+200,-1e+200,-1e+200,77478.808341,488839838852.0
8.0,rejected,750000.0,-14772498.4928,-100000.0,-14900.0,1.74686969548e+49,-1e+200,-1e+200,-1e+200,-1e+200,140095.302898,471981803185.0
9.0,rerun,750000.0,-32080351.4075,-91589.4121549,-14900.0,2.05430130184e+49,-1e+200,-1e+200,-1e+200,-1e+200,77478.808341,488360282031.0
10.0,rejected,652142.223026,-20060240.5946,-75307.8958538,-14900.0,3.03831701034e+49,-1e+200,-1e+200,-1e+200,-1e+200,52913.025227,412169342034.0
11.0,rerun,750000.0,-32080351.4075,-91589.4121549,-14900.0,2.05430130184e+49,-1e+200,-1e+200,-1e+200,-1e+200,77478.808341,476945036771.0
12.0,rejected,739004.165146,-26554713.7395,-87728.4743003,-14900.0,8.58194623022e+48,-1e+200,-1e+200,-1e+200,-1e+200,48946.6970113,470469308131.0
13.0,rerun,750000.0,-32080351.4075,-91589.4121549,-14900.0,2.05430130184e+49,-1e+200,-1e+200,-1e+200,-1e+200,77478.808341,491734815450.0
14.0,accepted,750000.0,-30709178.6972,-90422.9968034,-14900.0,1.61635497343e+49,-1e+200,-1e+200,-1e+200,-1e+200,84325.5901307,494103837334.0
15.0,accepted,750000.0,-37324609.8197,-95394.6441592,-14900.0,1.99169695978e+49,-1e+200,-1e+200,-1e+200,-1e+200,65332.5234513,495848164902.0
16.0,rejected,750000.0,-40039501.2723,-88240.746475,-14900.0,1.57381793253e+49,-1e+200,-1e+200,-1e+200,-1e+200,56295.7653893,483722926850.0
17.0,rerun,750000.0,-37324609.8197,-95394.6441592,-14900.0,1.99169695978e+49,-1e+200,-1e+200,-1e+200,-1e+200,65332.5234513,492534369676.0
18.0,rejected,750000.0,-33932172.3272,-95674.6356035,-14900.0,1.41707025394e+49,-1e+200,-1e+200,-1e+200,-1e+200,66393.3795297,489312843358.0
19.0,rerun,750000.0,-37324609.8197,-95394.6441592,-14900.0,1.99169695978e+49,-1e+200,-1e+200,-1e+200,-1e+200,65332.5234513,488248590564.0
20.0,rejected,740157.079809,-38929776.3648,-92009.7014112,-14900.0,2.04116397582e+49,-1e+200,-1e+200,-1e+200,-1e+200,60445.5802528,483572522696.0
21.0,rerun,750000.0,-37324609.8197,-95394.6441592,-14900.0,1.99169695978e+49,-1e+200,-1e+200,-1e+200,-1e+200,65332.5234513,492692102332.0
22.0,rejected,750000.0,-39143478.4755,-94243.3733,-14900.0,2.08756221575e+49,-1e+200,-1e+200,-1e+200,-1e+200,66673.5781477,485102104583.0
23.0,rerun,750000.0,-37324609.8197,-95394.6441592,-14900.0,1.99169695978e+49,-1e+200,-1e+200,-1e+200,-1e+200,65332.5234513,491913044475.0
24.0,rejected,750000.0,-36602937.904,-94886.4748704,-14900.0,1.89797175454e+49,-1e+200,-1e+200,-1e+200,-1e+200,63622.2251931,484250499725.0
25.0,rerun,750000.0,-37324609.8197,-95394.6441592,-14900.0,1.99169695978e+49,-1e+200,-1e+200,-1e+200,-1e+200,65332.5234513,483901560783.0
26.0,accepted,750000.0,-36932178.3046,-94131.2614046,-14900.0,2.00374894015e+49,-1e+200,-1e+200,-1e+200,-1e+200,64499.504602,491352532887.0
27.0,rejected,746897.749534,-37924420.2604,-94726.5027501,-14900.0,2.08741502761e+49,-1e+200,-1e+200,-1e+200,-1e+200,61874.4127524,487252610715.0
28.0,rerun,750000.0,-36932178.3046,-94131.2614046,-14900.0,2.00374894015e+49,-1e+200,-1e+200,-1e+200,-1e+200,64499.504602,480432217965.0
29.0,rejected,741885.967768,-36592327.2107,-93988.0438849,-14900.0,2.02145999887e+49,-1e+200,-1e+200,-1e+200,-1e+200,66121.3990194,473197239363.0
30.0,rerun,750000.0,-36932178.3046,-94131.2614046,-14900.0,2.00374894015e+49,-1e+200,-1e+200,-1e+200,-1e+200,64499.504602,486992503417.0
31.0,rejected,748630.054558,-36507140.8085,-93728.2009613,-14900.0,2.06577544432e+49,-1e+200,-1e+200,-1e+200,-1e+200,64824.3308699,481984709004.0
32.0,rerun,750000.0,-36932178.3046,-94131.2614046,-14900.0,2.00374894015e+49,-1e+200,-1e+200,-1e+200,-1e+200,64499.504602,484454552468.0
33.0,accepted,748146.516835,-36931081.7826,-94002.8907488,-14900.0,2.01390115681e+49,-1e+200,-1e+200,-1e+200,-1e+200,63360.2027714,487300418243.0
