iteration,accepted,turbine_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,CO2_source_capacity,elec_market_capacity,naphta_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV
0.0,first,38450.0,-37500.0,-5000.0,-14900.0,5e+48,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,13813209184.6
1.0,accepted,369862.129502,-61645.6097374,-2818.49352214,-14900.0,1.01664171745e+49,-1e+200,-1e+200,-1e+200,-1e+200,8795.47869086,221413467207.0
2.0,accepted,628914.592244,-18949.7838868,-4424.12065243,-14900.0,3.77067762328e+49,-1e+200,-1e+200,-1e+200,-1e+200,2370.28003002,377805284792.0
3.0,accepted,750000.0,-257242.534818,0.0,-14900.0,9.23452340269e+49,-1e+200,-1e+200,-1e+200,-1e+200,0.0,455135861440.0
4.0,rejected,750000.0,0.0,0.0,-14900.0,1.26183581218e+49,-1e+200,-1e+200,-1e+200,-1e+200,13710.5699751,452968271448.0
5.0,rerun,750000.0,-257242.534818,0.0,-14900.0,9.23452340269e+49,-1e+200,-1e+200,-1e+200,-1e+200,0.0,460263050027.0
6.0,rejected,750000.0,-370654.517907,0.0,-14900.0,1e+50,-1e+200,-1e+200,-1e+200,-1e+200,97581.5844052,455278293166.0
7.0,rerun,750000.0,-257242.534818,0.0,-14900.0,9.23452340269e+49,-1e+200,-1e+200,-1e+200,-1e+200,0.0,461743279068.0
8.0,accepted,750000.0,-496346.805052,0.0,-14900.0,7.02824758547e+49,-1e+200,-1e+200,-1e+200,-1e+200,0.0,460996849819.0
9.0,rejected,750000.0,-680511.312048,0.0,-14900.0,3.68732412328e+49,-1e+200,-1e+200,-1e+200,-1e+200,0.0,448189967145.0
10.0,rerun,750000.0,-496346.805052,0.0,-14900.0,7.02824758547e+49,-1e+200,-1e+200,-1e+200,-1e+200,0.0,462950963745.0
11.0,accepted,750000.0,-618188.766009,-688.835052252,-14900.0,7.58791730424e+49,-1e+200,-1e+200,-1e+200,-1e+200,0.0,463027210224.0
12.0,rejected,750000.0,-750000.0,0.0,-14900.0,1e+50,-1e+200,-1e+200,-1e+200,-1e+200,1386.07681189,455065690275.0
13.0,rerun,750000.0,-618188.766009,-688.835052252,-14900.0,7.58791730424e+49,-1e+200,-1e+200,-1e+200,-1e+200,0.0,462086274246.0
14.0,rejected,750000.0,-750000.0,0.0,-14900.0,6.5208985693e+49,-1e+200,-1e+200,-1e+200,-1e+200,0.0,456840410464.0
15.0,rerun,750000.0,-618188.766009,-688.835052252,-14900.0,7.58791730424e+49,-1e+200,-1e+200,-1e+200,-1e+200,0.0,456421381319.0
16.0,accepted,749251.66567,-729859.580369,0.0,-14900.0,7.68037107782e+49,-1e+200,-1e+200,-1e+200,-1e+200,29621.8654783,461986764120.0
17.0,rejected,750000.0,-639051.522864,0.0,-14900.0,8.42441585411e+49,-1e+200,-1e+200,-1e+200,-1e+200,36448.3534823,455691329245.0
18.0,rerun,749251.66567,-729859.580369,0.0,-14900.0,7.68037107782e+49,-1e+200,-1e+200,-1e+200,-1e+200,29621.8654783,446796851088.0
19.0,rejected,650260.502996,-625390.330788,-4717.08353278,-14900.0,7.19950522044e+49,-1e+200,-1e+200,-1e+200,-1e+200,47860.3528081,401278951466.0
20.0,rerun,749251.66567,-729859.580369,0.0,-14900.0,7.68037107782e+49,-1e+200,-1e+200,-1e+200,-1e+200,29621.8654783,447034135148.0
21.0,rejected,698035.625377,-704520.093952,-7456.46270646,-14900.0,7.65776311066e+49,-1e+200,-1e+200,-1e+200,-1e+200,8917.25655149,431727652382.0
22.0,rerun,749251.66567,-729859.580369,0.0,-14900.0,7.68037107782e+49,-1e+200,-1e+200,-1e+200,-1e+200,29621.8654783,455202827703.0
23.0,rejected,709078.567362,-718606.037754,-2260.4441513,-14900.0,7.018745756e+49,-1e+200,-1e+200,-1e+200,-1e+200,38181.1012485,425305053924.0
24.0,rerun,749251.66567,-729859.580369,0.0,-14900.0,7.68037107782e+49,-1e+200,-1e+200,-1e+200,-1e+200,29621.8654783,461050063660.0
