iteration,accepted,Additional_NPP_capacity,turbine_capacity,grid_capacity,NPP_unused_capacity,H2_storage_capacity,ETES_storage_capacity,Hitec_XL_storage_capacity,Dowtherm_A_storage_capacity,Li_ion_storage_capacity,mean_NPV
0.0,first,0.5,200.0,100.0,-100.0,0.5,0.5,0.5,0.5,0.5,43551896373.4
1.0,accepted,0.881267819154,200.0,100.0,-100.0,0.032974238873,0.0,1.12056348995,0.252320033626,0.594738815269,43922124782.5
2.0,accepted,1.01725465175,200.0,100.0,-100.0,0.0,0.141811135624,2.10093194437,0.431994323168,0.483328281129,44221531762.9
3.0,rejected,1.21069624991,200.0,100.0,-100.0,0.61885544366,2.05162857985,2.2150278054,1.19110845212,1.7103220795,43641076357.6
4.0,rerun,1.01725465175,200.0,100.0,-100.0,0.0,0.141811135624,2.10093194437,0.431994323168,0.483328281129,43932060312.8
5.0,accepted,1.27519214461,200.0,100.0,-100.0,0.264263380229,0.280718203951,1.3205360161,0.0,1.25816365588,44388859496.3
6.0,rejected,1.3420964959,200.0,100.0,-100.0,0.543082689989,0.787949358953,1.37249612095,0.0,0.957867877215,44309562235.9
7.0,rerun,1.27519214461,200.0,100.0,-100.0,0.264263380229,0.280718203951,1.3205360161,0.0,1.25816365588,44169960502.6
8.0,accepted,1.48046283487,200.0,100.0,-100.0,0.634638356361,0.370988883428,1.81867186321,0.0,0.867101375054,45255798049.6
9.0,accepted,1.89462785827,200.0,100.0,-100.0,0.63276402731,0.064320580655,1.55018297081,0.0689780344938,0.146515513123,45893473311.4
10.0,accepted,2.34622244115,200.0,100.0,-100.0,0.0,0.0,1.55302857688,0.796881409078,0.0,46684802098.5
11.0,accepted,2.95926823724,200.0,100.0,-100.0,0.0,0.0,1.47842326205,2.31674038937,0.0,47312353820.6
12.0,accepted,3.73676974554,200.0,100.0,-100.0,0.225022588607,0.0,0.0,4.63653989945,0.0,49368697761.2
13.0,rejected,2.6389835579,200.0,100.0,-100.0,4.62646646258,0.0,0.0,5.4131044845,0.0,45541497339.5
14.0,rerun,3.73676974554,200.0,100.0,-100.0,0.225022588607,0.0,0.0,4.63653989945,0.0,48513849841.1
