npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight-ft_capacity
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,1156267235,4555459.518,1156768456,1160957918,1150574112,1151215904,1160616858,4,2.08E+13,0.475023751,0.02233778,0.184365782,3.76E-13,33,0.255061179
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,1141664061,13255420.83,1136837735,1160906483,1132074291,1132335107,1157749871,4,1.76E+14,0.250012501,0.011756726,0.184365782,3.76E-13,36,0.255061179
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,1140565729,9525584.042,1137685438,1154298834,1132593207,1133159781,1152004086,4,9.07E+13,0.249987499,0.011755551,0.184365782,3.76E-13,30,0.255061179
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,1117823359,7279437.777,1116940156,1126519058,1110894067,1111184516,1125698687,4,5.30E+13,0.024976249,0.001174497,0.184365782,3.76E-13,27,0.255061179
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,933151199.7,10037102.26,931358169.2,946482410.4,923406049.9,924088964.6,944723677.4,4,1.01E+14,0.475023751,0.060580059,0.5,3.76E-13,32,0.255061179
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,929572620.3,6494911.767,927940638.3,938218955.7,924190248.9,924309153.7,937120861.7,4,4.22E+13,0.250012501,0.031884242,0.5,3.76E-13,35,0.255061179
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,908346142.4,7509397.829,907913711.9,917903970.7,899653175.4,900746848,916550839.7,4,5.64E+13,0.249987499,0.031881053,0.5,3.76E-13,29,0.255061179
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,866524293.4,9473732.218,869409925.7,874421660.3,852855661.7,855143191.8,873865509.6,4,8.98E+13,0.024976249,0.003185236,0.5,3.76E-13,26,0.255061179
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,544992575.8,13315741.01,550980714.9,552861403.7,525147469.7,528798344.1,552803412.8,4,1.77E+14,0.475023751,0.038242279,0.315634218,3.76E-13,31,0.255061179
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,519522378,615543.0216,519707271.9,520022690.4,518652277.9,518784347.5,520001557.1,4,3.78893E+11,0.250012501,0.020127515,0.315634218,3.76E-13,34,0.255061179
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,467764594.5,9254301.877,467514465.3,477550943.1,458478504,458916583,476962786.7,4,8.56E+13,0.249987499,0.020125503,0.315634218,3.76E-13,28,0.255061179
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,433726114,3559397.4,433803112.4,437859314.3,429438916.8,429924748.9,437419681.3,4,1.27E+13,0.475023751,0.074966875,0.315634218,3.76E-13,19,0.5
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,424508052,5923710.924,424944113.1,430125655,418018326.7,418464583.1,429941035.3,4,3.51E+13,0.250012501,0.03945625,0.315634218,3.76E-13,22,0.5
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,424025137.4,3691492.069,424081535.3,428487562.1,419449916.8,420126565.5,427844752.2,4,1.36E+13,0.024976249,0.002010739,0.315634218,3.76E-13,25,0.255061179
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,362355634.2,3580193.601,361159432.7,367579560.3,359524110.9,359712821.8,366673128.6,4,1.28E+13,0.249987499,0.039452304,0.315634218,3.76E-13,16,0.5
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,312323958.8,3456045.299,312096142.2,316440142.1,308663408.9,308932155.3,316034705.6,4,1.19E+13,0.024976249,0.003941679,0.315634218,3.76E-13,13,0.5
