turbine_capacity,elec_market_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-turbine_capacity
1000.0,-1e+200,2345354600.95,8245684.14437,2345267486.89,2372447056.14,2317764923.62,2332682385.04,2359072754.68,500.0,6.79913070087e+13,0.00105263157895,0.368421052632,3,0.368421052632
300.0,-1e+200,703500955.125,2555002.06606,703512181.969,710454467.192,695445033.451,699346434.341,707661911.937,500.0,6.52803555755e+12,0.00105263157895,0.5,2,0.5
50.0,-1e+200,117229590.811,417558.347998,117218202.616,118512121.133,116190225.441,116560372.653,117975888.393,500.0,174354973983.0,0.00105263157895,0.131578947368,1,0.131578947368
