turbine_capacity,elec_market_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-turbine_capacity,ProbabilityWeight,PointProbability
77.0,-1e+200,48117453.3564,791774.976043,48043820.3504,49065199.5673,46761138.303,46994407.4178,49037538.5777,10.0,626907612688.0,1,0.00192307692308,0.00192307692308,0.000961538461538
81.0,-1e+200,50831253.8781,1033806.636,51130203.5298,51924053.8557,49057350.1411,49213895.548,51884828.5425,10.0,1.06875616064e+12,2,0.5,0.5,0.000961538461538
1117.0,-1e+200,694559034.697,15096618.412,688314486.671,719778027.464,679254002.609,680370984.752,718757770.705,10.0,2.27907887476e+14,3,0.498076923077,0.498076923077,0.000961538461538
