turbine_capacity,elec_market_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-turbine_capacity,prefix,ProbabilityWeight
50.0,-1e+200,171590621.959,443818.872948,171572254.209,172696346.343,170458775.128,170830845.361,172335031.346,500.0,196975191985.0,0.00105263157895,0.131578947368,1,0.131578947368
300.0,-1e+200,1029599047.65,2873857.05609,1029580417.63,1038082206.81,1021504526.89,1024883808.73,1034094869.07,500.0,8.25905437882e+12,0.00105263157895,0.5,2,0.5
1000.0,-1e+200,3431847464.82,8999908.73674,3431729635.48,3465890238.64,3407480420.95,3417506857.15,3447038099.86,500.0,8.09983572697e+13,0.00105263157895,0.368421052632,3,0.368421052632
