SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-TES_capacity,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,prefix,ProbabilityWeight
203.0,-203.0,-400.0,-203.0,300.0,-203.0,-1e+200,272889045.202,238587.389322,272909644.317,273246970.846,272661558.736,272665117.78,273187116.307,5.0,56923942343.7,1.443001443e-07,0.15,0.047619047619,0.0454545454545,1,0.000324675324675
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,280382561.431,340466.508948,280516360.984,280623844.661,279697778.307,279808985.97,280623657.757,8.0,115917443715.0,1.443001443e-07,0.15,0.047619047619,0.0454545454545,3,0.000324675324675
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,280311599.225,327933.215375,280333436.121,280925881.311,279786639.591,279837595.63,280756516.209,10.0,107540193746.0,1.443001443e-07,0.25,0.047619047619,0.0454545454545,2,0.000541125541126
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,280245218.182,390997.926411,280269952.043,280861143.283,279467761.899,279668026.545,280764111.055,16.0,152879378457.0,1.443001443e-07,0.1,0.047619047619,0.0454545454545,4,0.00021645021645
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,279641502.429,494796.366259,279576975.31,280699072.496,279006818.801,279124750.382,280616486.043,16.0,244823444064.0,1.443001443e-07,0.1,0.047619047619,0.0454545454545,5,0.00021645021645
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,278878615.286,312818.287687,278873600.187,279379598.138,278357282.486,278372369.172,279333293.412,16.0,97855281111.2,1.443001443e-07,0.1,0.047619047619,0.0454545454545,6,0.00021645021645
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,277996808.217,475079.080688,277960335.078,278680962.999,277183097.545,277388627.459,278624721.702,12.0,225700132907.0,1.443001443e-07,0.059,0.047619047619,0.0454545454545,7,0.000127705627706
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,277947239.073,321173.687164,277810189.927,278454485.574,277559936.408,277589762.33,278430724.847,11.0,103152537326.0,1.443001443e-07,0.05,0.047619047619,0.0454545454545,8,0.000108225108225
203.0,-203.0,-380.0,-203.0,600.0,-203.0,-1e+200,277806291.199,280699.384189,277803126.364,278312437.37,277336574.555,277437534.526,278180619.884,8.0,78792144284.2,1.443001443e-07,0.25,0.0952380952381,0.0454545454545,11,0.00108225108225
203.0,-203.0,-400.0,-203.0,1300.0,-203.0,-1e+200,277250076.186,393735.253032,277302906.764,277876408.821,276618913.256,276683026.781,277746411.293,14.0,155027449480.0,1.443001443e-07,0.041,0.047619047619,0.0454545454545,9,8.87445887446e-05
203.0,-203.0,-380.0,-203.0,300.0,-203.0,-1e+200,271773393.439,402463.937947,271783714.623,272326260.25,271126358.27,271254690.264,272239851.843,6.0,161977221348.0,1.443001443e-07,0.15,0.0952380952381,0.0454545454545,10,0.000649350649351
203.0,-203.0,-380.0,-203.0,800.0,-203.0,-1e+200,277673622.679,474958.518246,277789490.58,278293312.897,277051169.074,277087300.03,278239887.692,9.0,225585594055.0,1.443001443e-07,0.15,0.0952380952381,0.0454545454545,12,0.000649350649351
203.0,-203.0,-380.0,-203.0,1000.0,-203.0,-1e+200,276392515.548,342493.711436,276360894.15,276903581.824,276043875.749,276056325.783,276854005.817,9.0,117301942373.0,1.443001443e-07,0.1,0.0952380952381,0.0454545454545,14,0.0004329004329
203.0,-203.0,-380.0,-203.0,900.0,-203.0,-1e+200,277108334.784,398460.384833,276978775.758,277957858.464,276648369.647,276719144.505,277898137.596,13.0,158770678281.0,1.443001443e-07,0.1,0.0952380952381,0.0454545454545,13,0.0004329004329
203.0,-203.0,-380.0,-203.0,1100.0,-203.0,-1e+200,275481480.893,486690.263887,275326123.317,276472709.811,274915840.989,274935618.988,276435327.186,15.0,236867412963.0,1.443001443e-07,0.1,0.0952380952381,0.0454545454545,15,0.0004329004329
203.0,-203.0,-380.0,-203.0,1200.0,-203.0,-1e+200,274751716.641,406542.505199,274695494.6,275429972.333,274060613.872,274187845.814,275391263.97,16.0,165276808534.0,1.443001443e-07,0.059,0.0952380952381,0.0454545454545,16,0.000255411255411
203.0,-203.0,-360.0,-203.0,300.0,-203.0,-1e+200,270537958.895,352543.351952,270468061.891,271185855.372,270068779.265,270114328.19,271058756.05,10.0,124286815006.0,1.443001443e-07,0.15,0.0952380952381,0.0454545454545,19,0.000649350649351
203.0,-203.0,-380.0,-203.0,1218.0,-203.0,-1e+200,274165257.027,453400.31911,274362118.363,274660639.595,273126336.298,273471937.86,274622412.137,14.0,205571849369.0,1.443001443e-07,0.05,0.0952380952381,0.0454545454545,17,0.00021645021645
203.0,-203.0,-380.0,-203.0,1300.0,-203.0,-1e+200,273826982.958,399286.836253,273771032.035,274556285.399,273262046.627,273284886.89,274448085.569,14.0,159429977605.0,1.443001443e-07,0.041,0.0952380952381,0.0454545454545,18,0.000177489177489
203.0,-203.0,-360.0,-203.0,600.0,-203.0,-1e+200,274465777.583,323530.568003,274530112.927,275130303.186,273967464.954,273977548.433,274870219.205,12.0,104672028432.0,1.443001443e-07,0.25,0.0952380952381,0.0454545454545,20,0.00108225108225
203.0,-203.0,-360.0,-203.0,900.0,-203.0,-1e+200,273622463.083,246532.598483,273599160.866,274073567.088,273165829.017,273289321.449,273964891.423,9.0,60778322114.7,1.443001443e-07,0.1,0.0952380952381,0.0454545454545,22,0.0004329004329
203.0,-203.0,-360.0,-203.0,800.0,-203.0,-1e+200,274161162.085,370185.146267,274124804.575,274904998.899,273576577.701,273653960.44,274695338.255,12.0,137037042517.0,1.443001443e-07,0.15,0.0952380952381,0.0454545454545,21,0.000649350649351
203.0,-203.0,-360.0,-203.0,1000.0,-203.0,-1e+200,272605460.491,337377.003689,272607757.812,273137428.396,272112866.508,272157480.017,273078689.179,11.0,113823242618.0,1.443001443e-07,0.1,0.0952380952381,0.0454545454545,23,0.0004329004329
203.0,-203.0,-360.0,-203.0,1100.0,-203.0,-1e+200,271728608.211,425818.052456,271684341.646,272599113.837,271080846.019,271178889.682,272334071.883,15.0,181321013797.0,1.443001443e-07,0.1,0.0952380952381,0.0454545454545,24,0.0004329004329
203.0,-203.0,-360.0,-203.0,1200.0,-203.0,-1e+200,270932922.67,354295.324346,270867472.046,271625000.078,270426469.053,270466209.719,271459821.496,10.0,125525176854.0,1.443001443e-07,0.059,0.0952380952381,0.0454545454545,25,0.000255411255411
203.0,-203.0,-360.0,-203.0,1218.0,-203.0,-1e+200,270611628.101,302724.023677,270641406.702,271104672.36,270083439.307,270155719.711,271015171.377,15.0,91641834511.2,1.443001443e-07,0.05,0.0952380952381,0.0454545454545,26,0.00021645021645
203.0,-203.0,-340.0,-203.0,300.0,-203.0,-1e+200,269007890.38,267204.972015,269030410.155,269358381.913,268534919.527,268613379.966,269321466.346,8.0,71398497069.4,1.443001443e-07,0.15,0.0952380952381,0.0454545454545,28,0.000649350649351
203.0,-203.0,-360.0,-203.0,1300.0,-203.0,-1e+200,269891208.716,306178.167396,269993804.753,270307160.418,269146992.095,269350364.699,270218138.554,18.0,93745070189.8,1.443001443e-07,0.041,0.0952380952381,0.0454545454545,27,0.000177489177489
203.0,-203.0,-340.0,-203.0,600.0,-203.0,-1e+200,271396168.275,232667.61335,271390306.384,271646288.521,271041598.215,271086543.818,271642668.42,9.0,54134218301.8,1.443001443e-07,0.25,0.0952380952381,0.0454545454545,29,0.00108225108225
