SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-TES_capacity,ProbabilityWeight,ProbabilityWeight-Charger_capacity,ProbabilityWeight-NewBOP_capacity,PointProbability,prefix
203.0,-203.0,-400.0,-200.0,600.0,-203.0,-1e+200,280137404.711,315734.23106,280090101.247,280639105.584,279354903.417,279743366.245,280505155.15,20.0,99688104662.8,0.161812297735,0.00577901063338,0.5,0.0714285714286,2.31160425335e-06,1
203.0,-203.0,-400.0,-200.0,800.0,-203.0,-1e+200,280258239.475,436090.166409,280225752.933,281187312.597,279412928.627,279513931.143,280915896.473,20.0,190174633238.0,0.242718446602,0.00866851595007,0.5,0.0714285714286,2.31160425335e-06,2
203.0,-203.0,-400.0,-200.0,900.0,-203.0,-1e+200,279982777.588,308294.049984,279996757.923,280520028.119,279417949.186,279507800.712,280418905.47,20.0,95045221255.4,0.161812297735,0.00577901063338,0.5,0.0714285714286,2.31160425335e-06,3
203.0,-203.0,-400.0,-200.0,1000.0,-203.0,-1e+200,279389606.302,356165.041996,279349601.059,280193474.037,278833427.489,278921477.837,279945628.723,20.0,126853537140.0,0.161812297735,0.00577901063338,0.5,0.0714285714286,2.31160425335e-06,4
203.0,-203.0,-400.0,-200.0,1100.0,-203.0,-1e+200,278747541.849,454827.878493,278714317.687,279763755.881,277890144.486,277988639.155,279573124.356,20.0,206868399054.0,0.161812297735,0.00577901063338,0.5,0.0714285714286,2.31160425335e-06,5
203.0,-203.0,-380.0,-200.0,600.0,-203.0,-1e+200,277632933.745,340249.774809,277605457.306,278173903.183,277190929.053,277220586.85,278173112.88,20.0,115769909257.0,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,8
203.0,-203.0,-400.0,-200.0,1200.0,-203.0,-1e+200,277784393.82,457340.584569,277815382.152,278535984.831,277071979.833,277113953.527,278360767.671,20.0,209160410294.0,0.0954692556634,0.00340961627369,0.5,0.0714285714286,2.31160425335e-06,6
203.0,-203.0,-400.0,-200.0,1218.0,-203.0,-1e+200,277765132.517,428081.156025,277774843.977,278337870.578,276955429.6,276976820.981,278283268.031,20.0,183253476143.0,0.0145631067961,0.000520110957004,0.5,0.0714285714286,2.31160425335e-06,7
203.0,-203.0,-380.0,-200.0,800.0,-203.0,-1e+200,277327613.138,343454.939631,277296199.831,277829874.752,276816873.122,276869320.814,277814715.305,20.0,117961295557.0,0.242718446602,0.0173370319001,0.5,0.142857142857,2.31160425335e-06,9
203.0,-203.0,-380.0,-200.0,900.0,-203.0,-1e+200,276805907.81,426168.642453,276895453.563,277429325.685,275832401.068,276064668.684,277334285.01,20.0,181619711810.0,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,10
203.0,-203.0,-380.0,-200.0,1000.0,-203.0,-1e+200,276179474.426,486629.498145,276252830.118,277042435.125,275404665.324,275474810.293,276819735.237,20.0,236808268465.0,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,11
203.0,-203.0,-380.0,-200.0,1100.0,-203.0,-1e+200,275354135.324,438973.698477,275276802.983,275930462.693,274282403.038,274684250.181,275905629.366,20.0,192697907955.0,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,12
203.0,-203.0,-380.0,-200.0,1200.0,-203.0,-1e+200,274489774.373,358803.296733,274394726.847,275393325.96,273922207.459,274074598.142,274969624.084,20.0,128739805747.0,0.0954692556634,0.00681923254739,0.5,0.142857142857,2.31160425335e-06,13
203.0,-203.0,-360.0,-200.0,600.0,-203.0,-1e+200,274502242.535,366850.959441,274579259.584,275212190.778,273560632.003,273922541.246,274876204.933,20.0,134579626443.0,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,15
203.0,-203.0,-380.0,-200.0,1218.0,-203.0,-1e+200,274287972.087,299987.26892,274276891.323,274748195.345,273536598.27,273946199.339,274689483.798,20.0,89992361514.1,0.0145631067961,0.00104022191401,0.5,0.142857142857,2.31160425335e-06,14
203.0,-203.0,-360.0,-200.0,800.0,-203.0,-1e+200,274138042.586,321146.966547,274175922.663,274731177.252,273471587.747,273694184.539,274669898.375,20.0,103135374122.0,0.242718446602,0.0173370319001,0.5,0.142857142857,2.31160425335e-06,16
203.0,-203.0,-360.0,-200.0,900.0,-203.0,-1e+200,273338705.219,293896.363192,273317862.381,273869020.143,272751853.172,272888711.073,273823554.866,20.0,86375072297.5,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,17
203.0,-203.0,-360.0,-200.0,1000.0,-203.0,-1e+200,272498620.052,284677.977522,272513322.078,272953009.57,272035678.102,272051684.721,272872384.149,20.0,81041550886.1,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,18
203.0,-203.0,-360.0,-200.0,1100.0,-203.0,-1e+200,271471035.25,293832.469341,271481546.115,272024489.806,270736917.344,271096378.783,271840324.475,20.0,86337520039.1,0.161812297735,0.0115580212668,0.5,0.142857142857,2.31160425335e-06,19
203.0,-203.0,-360.0,-200.0,1200.0,-203.0,-1e+200,270659009.141,341804.435344,270606384.713,271345941.132,269852274.363,270336417.264,271246774.85,20.0,116830272021.0,0.0954692556634,0.00681923254739,0.5,0.142857142857,2.31160425335e-06,20
203.0,-203.0,-340.0,-200.0,600.0,-203.0,-1e+200,271080277.189,337047.228942,271050519.983,271771771.695,270517002.616,270629497.765,271627580.288,20.0,113600834537.0,0.161812297735,0.0173370319001,0.5,0.214285714286,2.31160425335e-06,22
203.0,-203.0,-360.0,-200.0,1218.0,-203.0,-1e+200,270428775.353,308932.020052,270511197.408,270850046.054,269935061.384,269995583.441,270838192.769,20.0,95438993013.5,0.0145631067961,0.00104022191401,0.5,0.142857142857,2.31160425335e-06,21
203.0,-203.0,-340.0,-200.0,800.0,-203.0,-1e+200,270330965.433,276049.978225,270394088.243,270823387.182,269884938.446,269959723.404,270699759.6,20.0,76203590477.9,0.242718446602,0.0260055478502,0.5,0.214285714286,2.31160425335e-06,23
203.0,-203.0,-340.0,-200.0,900.0,-203.0,-1e+200,269515572.034,278690.916908,269501320.839,270059983.642,269041229.802,269083101.928,269938087.397,20.0,77668627166.9,0.161812297735,0.0173370319001,0.5,0.214285714286,2.31160425335e-06,24
