SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-NewBOP_capacity,PointProbability,ProbabilityWeight-Charger_capacity,ProbabilityWeight-TES_capacity,ProbabilityWeight
203.0,-203.0,-400.0,-203.0,0.0,-203.0,-1e+200,243536145.669,1929646.94443,243335784.59,247419398.151,240135923.25,240974322.114,246080554.067,20.0,3.72353733013e+12,1,0.025,9.47328533535e-09,0.00738916256158,0.0384615384615,7.10496400152e-06
203.0,-203.0,-400.0,-203.0,100.0,-203.0,-1e+200,263630476.606,1648034.52338,264207290.078,266180100.167,260755383.526,260799173.244,265369331.745,19.0,2.71601779026e+12,2,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,200.0,-203.0,-1e+200,283826933.729,1736147.83268,283627492.897,287769356.404,281441465.59,281539664.51,287036758.984,18.0,3.01420929692e+12,3,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,300.0,-203.0,-1e+200,291907156.392,1759367.7849,291947571.699,294453700.634,289413139.081,289503097.463,294431359.78,18.0,3.09537500253e+12,4,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,400.0,-203.0,-1e+200,298334817.046,2000860.81258,298458667.574,301558652.581,294408339.904,295290271.401,301109545.684,17.0,4.0034439913e+12,5,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,500.0,-203.0,-1e+200,303625936.021,2527604.4891,303065919.176,308353019.656,299245587.788,300714397.286,307580198.579,16.0,6.38878445334e+12,6,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,307877751.979,1568273.98365,307671936.76,310884119.321,305218587.795,305378908.32,310289126.367,20.0,2.45948328778e+12,7,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,311112277.954,1553240.28263,311233767.042,313622065.312,308264577.42,308635800.563,313341629.899,19.0,2.41255537559e+12,8,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,313743191.955,2726702.0131,313234235.924,318086674.57,309706512.071,310291447.156,317844290.985,18.0,7.43490386823e+12,9,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,316536135.4,1770906.69266,315894870.793,320584460.094,314527972.115,314557834.149,319145634.095,17.0,3.13611051411e+12,10,0.025,9.47328533535e-09,0.00738916256158,0.0769230769231,1.4209928003e-05
