SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,ProbabilityWeight-TES_capacity
203.0,-203.0,-400.0,-195.0,0.0,-203.0,-1e+200,244479229.583,2231198.88793,243995715.161,249731671.84,241121249.795,242056134.357,247805598.695,20.0,4.97824847752e+12,3.663003663e-08,1,4.57875457875e-05,0.0357142857143,0.0333333333333,0.0384615384615
203.0,-203.0,-320.0,-195.0,0.0,-203.0,-1e+200,248546326.862,1117014.5743,248362915.465,251494756.347,246684333.438,247203660.18,249931146.382,20.0,1.2477215592e+12,3.663003663e-08,61,9.15750915751e-05,0.0714285714286,0.0333333333333,0.0384615384615
203.0,-203.0,-360.0,-195.0,0.0,-203.0,-1e+200,246598807.746,1820959.35028,246730481.088,249777289.591,243109248.666,244067400.761,249036325.257,20.0,3.31589295538e+12,3.663003663e-08,31,9.15750915751e-05,0.0714285714286,0.0333333333333,0.0384615384615
203.0,-203.0,-300.0,-195.0,0.0,-203.0,-1e+200,250725082.059,1959384.80392,250617342.016,254739624.13,247683381.363,248075191.363,253789473.081,20.0,3.83918880983e+12,3.663003663e-08,76,6.86813186813e-05,0.0535714285714,0.0333333333333,0.0384615384615
203.0,-203.0,-380.0,-195.0,0.0,-203.0,-1e+200,245099023.253,1166439.90725,244814208.744,248103888.069,243616614.033,243686950.873,247025920.413,20.0,1.36058205724e+12,3.663003663e-08,16,9.15750915751e-05,0.0714285714286,0.0333333333333,0.0384615384615
203.0,-203.0,-290.0,-195.0,0.0,-203.0,-1e+200,250532126.356,2026698.87221,250764841.998,254228542.174,246773550.061,247248200.924,253647014.237,20.0,4.10750831862e+12,3.663003663e-08,91,4.57875457875e-05,0.0357142857143,0.0333333333333,0.0384615384615
203.0,-203.0,-340.0,-195.0,0.0,-203.0,-1e+200,247262421.507,2361131.8802,247215799.795,251383090.0,244085760.938,244140536.055,251297679.431,20.0,5.57494375571e+12,3.663003663e-08,46,9.15750915751e-05,0.0714285714286,0.0333333333333,0.0384615384615
203.0,-203.0,-300.0,-195.0,100.0,-203.0,-1e+200,270096608.559,1352222.17851,270155805.787,271947044.65,267002291.03,268306440.499,271852138.217,20.0,1.82850482006e+12,3.663003663e-08,77,0.000137362637363,0.0535714285714,0.0333333333333,0.0769230769231
203.0,-203.0,-320.0,-195.0,100.0,-203.0,-1e+200,268283260.0,2231439.02486,268142543.527,273117655.513,264769327.254,265199468.807,272049350.457,20.0,4.97932012166e+12,3.663003663e-08,62,0.00018315018315,0.0714285714286,0.0333333333333,0.0769230769231
203.0,-203.0,-400.0,-195.0,100.0,-203.0,-1e+200,264125473.477,1923486.24545,263606461.671,267828263.364,261304359.387,261323849.556,267177596.518,20.0,3.69979933642e+12,3.663003663e-08,2,9.15750915751e-05,0.0357142857143,0.0333333333333,0.0769230769231
