npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight-htse_capacity
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2930926104,1110982.619,2930502745,2932570227,2930128701,2930177021,2932267891,4,1.23E+12,0.244938821,0.019328735,0.250012501,3.76E-13,10,0.315634218
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2930573429,266663.2962,2930595630,2930874093,2930228365,2930277768,2930838010,4,71109313521,0.244938821,0.036724596,0.475023751,3.76E-13,7,0.315634218
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2930370501,14672.10492,2930376243,2930380335,2930349183,2930352674,2930380290,4,215270662.7,0.244938821,0.019326802,0.249987499,3.76E-13,4,0.315634218
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2930351886,986.6261665,2930351716,2930353188,2930350925,2930350991,2930353020,4,973431.1923,0.244938821,0.001930941,0.024976249,3.76E-13,1,0.315634218
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2260801228,4840070.226,2260794793,2265434540,2256180783,2256317048,2265294416,4,2.34E+13,0.5,0.074966875,0.475023751,3.76E-13,19,0.315634218
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2254070702,5497480.764,2253644338,2259909077,2249085053,2249174976,2259563336,4,3.02E+13,0.5,0.03945625,0.250012501,3.76E-13,22,0.315634218
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2192700330,3605450.686,2193538848,2195899140,2187824484,2188480803,2195745932,4,1.30E+13,0.5,0.039452304,0.249987499,3.76E-13,16,0.315634218
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2140074211,1215366.79,2140173821,2141273509,2138675692,2138793430,2141215537,4,1.48E+12,0.5,0.003941679,0.024976249,3.76E-13,13,0.315634218
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2067110719,4670482.369,2067844104,2071539446,2061215222,2061874245,2071320455,4,2.18E+13,0.255061179,0.02233778,0.475023751,3.76E-13,33,0.184365782
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2062148956,6193986.637,2064055680,2067207820,2053276645,2054694638,2066933861,4,3.84E+13,0.255061179,0.011755551,0.249987499,3.76E-13,30,0.184365782
