npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,3178471619.17,1262.40201918,3178471647.47,3178472886.86,3178470294.88,3178470371.44,3178472827.28,4.0,1593658.85802,0.244938821026,0.315634218289,0.00193094060277,1,3.76215239928e-13,0.0249762488124
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,3177452292.32,34960.6946913,3177441108.65,3177500672.07,3177426279.93,3177426384.62,3177493857.17,4.0,1222250173.29,0.244938821026,0.315634218289,0.019326801889,4,3.76215239928e-13,0.249987499375
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,3167811969.59,420164.740898,3167717563.4,3168372461.67,3167440289.89,3167456010.16,3168300097.69,4.0,176538409494.0,0.244938821026,0.315634218289,0.0367245960488,7,3.76215239928e-13,0.475023751188
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2250453255.05,2744906.44667,2250122907.75,2253468525.36,2248098679.32,2248107049.84,2253261946.46,4.0,7.53451140098e+12,0.5,0.315634218289,0.00394167938485,13,3.76215239928e-13,0.0249762488124
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,braidwood,illinois,covid,2296719549.21,2549403.49285,2296076084.54,2300110532.47,2294615495.28,2294658870.0,2299681078.95,4.0,6.49945816934e+12,0.5,0.315634218289,0.0394523044736,16,3.76215239928e-13,0.249987499375
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,100000.0,ref,braidwood,illinois,covid,2360848987.39,4618904.45722,2360319494.04,2366547706.99,2356209254.47,2356499914.2,2365939351.25,4.0,2.13342783849e+13,0.5,0.315634218289,0.0749668751874,19,3.76215239928e-13,0.475023751188
1193.0,-1178.0,-29603.14,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,3157243743.93,463544.699978,3157054347.97,3157922511.95,3156943767.83,3156944562.86,3157808079.34,4.0,214873688877.0,0.244938821026,0.315634218289,0.0193287347625,10,3.76215239928e-13,0.250012500625
1193.0,-1178.0,-20000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200000.0,ref,braidwood,illinois,covid,2340357931.71,5227906.4035,2339827416.27,2346230910.77,2335545983.51,2335670933.32,2345787651.7,4.0,2.73310053638e+13,0.5,0.315634218289,0.0394562500986,22,3.76215239928e-13,0.250012500625
1193.0,-1178.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1292952262.54,11043324.4603,1294668451.41,1304387136.18,1278085011.16,1280269116.49,1303232744.17,4.0,1.21955015134e+14,0.255061178974,0.315634218289,0.00201073878208,25,3.76215239928e-13,0.0249762488124
1193.0,-750.0,-10000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,1792142046.92,10973669.2255,1790660875.36,1806375580.36,1780870856.59,1781785746.56,1804571987.45,4.0,1.2042141627e+14,0.255061178974,0.5,0.00318523573423,26,3.76215239928e-13,0.0249762488124
