npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,3075484349,575356.0974,3075500859,3075989358,3074946321,3074958505,3075987080,4,3.31035E+11,10,3.76E-13,0.315634218,0.244938821,0.019328735,0.250012501
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,3075087680,474954.1883,3075070695,3075631712,3074577618,3074614832,3075584307,4,2.25581E+11,7,3.76E-13,0.315634218,0.244938821,0.036724596,0.475023751
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,3074642838,25287.46227,3074649906,3074664250,3074607292,3074612642,3074663140,4,639455748,4,3.76E-13,0.315634218,0.244938821,0.019326802,0.249987499
1193,-1178,-29603.14,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,3074632640,691.5402204,3074632662,3074633342,3074631895,3074631944,3074633306,4,478227.8764,1,3.76E-13,0.315634218,0.244938821,0.001930941,0.024976249
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2358389138,3794488.578,2358240671,2362430227,2354644984,2354804845,2362181286,4,1.44E+13,19,3.76E-13,0.315634218,0.5,0.074966875,0.475023751
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2348422972,4139673.871,2347724973,2354040567,2344201377,2344620866,2353202277,4,1.71E+13,22,3.76E-13,0.315634218,0.5,0.03945625,0.250012501
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2290697338,3456122.388,2290556157,2294931981,2286745058,2287157915,2294434415,4,1.19E+13,16,3.76E-13,0.315634218,0.5,0.039452304,0.249987499
1193,-1178,-20000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2245769881,4612439.644,2247246021,2249289820,2239297664,2240248369,2249224798,4,2.13E+13,13,3.76E-13,0.315634218,0.5,0.003941679,0.024976249
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,2116435396,6055852.448,2118011089,2121919243,2107800163,2109263507,2121401315,4,3.67E+13,30,3.76E-13,0.184365782,0.255061179,0.011755551,0.249987499
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,2110714086,4035975.035,2109628559,2116416724,2107182501,2107418713,2115529196,4,1.63E+13,33,3.76E-13,0.184365782,0.255061179,0.02233778,0.475023751
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,2106844278,11062236.03,2106934358,2117126298,2096382097,2096657586,2116904857,4,1.22E+14,36,3.76E-13,0.184365782,0.255061179,0.011756726,0.250012501
1193,-500,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,2080981282,9133061.658,2079129238,2093616708,2072049947,2072900890,2091654538,4,8.34E+13,27,3.76E-13,0.184365782,0.255061179,0.001174497,0.024976249
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,1896975951,8111339.433,1894982065,1908378030,1889561646,1890150938,1906592407,4,6.58E+13,32,3.76E-13,0.5,0.255061179,0.060580059,0.475023751
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,1891969808,8505916.055,1892066403,1902250346,1881496079,1882945603,1900858780,4,7.24E+13,35,3.76E-13,0.5,0.255061179,0.031884242,0.250012501
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,1861533613,8198960.731,1861604913,1871445516,1851479108,1852836430,1870130974,4,6.72E+13,29,3.76E-13,0.5,0.255061179,0.031881053,0.249987499
1193,-750,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,1819720184,10203624.24,1818077332,1832158109,1810567962,1810816651,1830923709,4,1.04E+14,26,3.76E-13,0.5,0.255061179,0.003185236,0.024976249
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,100000,ref,braidwood,illinois,covid,1508674672,5900534.183,1508421794,1516138237,1501716864,1502674565,1515028809,4,3.48E+13,31,3.76E-13,0.315634218,0.255061179,0.038242279,0.475023751
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,200000,ref,braidwood,illinois,covid,1481140659,7995599.812,1477727571,1493047647,1476059848,1476209411,1490850231,4,6.39E+13,34,3.76E-13,0.315634218,0.255061179,0.020127515,0.250012501
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10000,ref,braidwood,illinois,covid,1437988899,7108317.641,1438877615,1444547844,1429652520,1430386852,1444346742,4,5.05E+13,28,3.76E-13,0.315634218,0.255061179,0.020125503,0.249987499
1193,-1178,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,braidwood,illinois,covid,1382042944,4933860.401,1382324297,1387731257,1375791923,1376644569,1387047424,4,2.43E+13,25,3.76E-13,0.315634218,0.255061179,0.002010739,0.024976249
