hour,price
1.0,84.49
2.0,75.03
3.0,69.77
4.0,69.9
5.0,73.8
6.0,80.21
7.0,81.11
8.0,88.33
9.0,99.5
10.0,100.42
11.0,107.27
12.0,92.09
13.0,78.28
14.0,73.12
15.0,71.07
16.0,70.39
17.0,85.34
18.0,124.25
19.0,130.35
20.0,119.85
21.0,112.48
22.0,106.2
23.0,96.48
24.0,82.69
25.0,112.7
26.0,108.88
27.0,108.59
28.0,113.19
29.0,116.17
30.0,142.65
31.0,165.52
32.0,211.43
33.0,193.65
34.0,172.71
35.0,157.1
36.0,126.56
37.0,113.73
38.0,100.13
39.0,94.29
40.0,93.7
41.0,111.55
42.0,156.19
43.0,169.57
44.0,159.15
45.0,145.39
46.0,131.23
47.0,103.9
48.0,93.65
49.0,122.6
50.0,115.74
51.0,114.04
52.0,117.49
53.0,126.89
54.0,132.18
55.0,170.18
56.0,194.49
57.0,172.67
58.0,158.13
59.0,146.58
60.0,120.59
61.0,113.45
62.0,108.81
63.0,104.75
64.0,102.81
65.0,115.77
66.0,164.9
67.0,181.59
68.0,159.07
69.0,141.38
70.0,123.03
71.0,110.14
72.0,86.59
73.0,95.0
74.0,91.06
75.0,86.5
76.0,87.58
77.0,93.16
78.0,102.93
79.0,130.07
80.0,144.79
81.0,140.46
82.0,134.92
83.0,169.56
84.0,153.75
85.0,132.13
86.0,124.37
87.0,125.63
88.0,124.55
89.0,148.09
90.0,191.03
91.0,201.83
92.0,197.29
93.0,188.72
94.0,188.39
95.0,174.37
96.0,159.58
97.0,186.84
98.0,182.2
99.0,186.36
100.0,178.32
101.0,184.91
102.0,210.99
103.0,248.83
104.0,280.25
105.0,251.74
106.0,254.3
107.0,237.75
108.0,212.64
109.0,197.47
110.0,166.44
111.0,174.0
112.0,156.44
113.0,180.23
114.0,264.88
115.0,291.5
116.0,294.83
117.0,265.04
118.0,251.49
119.0,252.31
120.0,228.21
121.0,158.88
122.0,140.0
123.0,133.1
124.0,136.91
125.0,140.01
126.0,153.62
127.0,173.64
128.0,188.75
129.0,209.76
130.0,197.4
131.0,173.81
132.0,168.34
133.0,130.32
134.0,114.94
135.0,102.01
136.0,104.16
137.0,174.32
138.0,217.37
139.0,246.01
140.0,208.64
141.0,188.05
142.0,177.6
143.0,175.68
144.0,142.5
145.0,154.99
146.0,148.53
147.0,147.5
148.0,150.47
149.0,152.63
150.0,159.52
151.0,169.26
152.0,169.5
153.0,175.61
154.0,164.74
155.0,158.78
156.0,117.75
157.0,100.66
158.0,89.73
159.0,84.04
160.0,81.22
161.0,99.33
162.0,142.02
163.0,154.79
164.0,137.91
165.0,128.08
166.0,117.69
167.0,102.68
168.0,78.23
169.0,137.77
170.0,123.66
171.0,121.03
172.0,121.58
173.0,125.53
174.0,139.74
175.0,171.41
176.0,168.5
177.0,150.21
178.0,149.72
179.0,126.85
180.0,109.78
181.0,87.67
182.0,79.79
183.0,69.46
184.0,71.54
185.0,83.12
186.0,128.33
187.0,117.18
188.0,99.63
189.0,90.36
190.0,76.07
191.0,54.04
192.0,57.85
193.0,38.11
194.0,34.57
195.0,33.91
196.0,34.54
197.0,36.27
198.0,47.06
199.0,63.17
200.0,65.22
201.0,55.96
202.0,54.47
203.0,46.27
204.0,41.01
205.0,35.69
206.0,34.47
207.0,33.76
208.0,33.82
209.0,38.61
210.0,55.23
211.0,53.58
212.0,51.92
213.0,48.19
214.0,44.2
215.0,35.86
216.0,33.12
217.0,36.55
