SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-TES_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-Charger_capacity
203.0,-203.0,-400.0,-203.0,600.0,-203.0,-1e+200,458867181.841,8936301.34442,460582063.153,471608566.994,446443363.643,447221787.363,470008485.038,10.0,7.98574817182e+13,0.125,0.0809061488673,1,0.00505663430421,6.74217907228e-06,0.5
203.0,-203.0,-400.0,-203.0,700.0,-203.0,-1e+200,460628538.338,14777238.3341,462495602.249,485667085.098,432123202.658,436427413.978,480631320.599,13.0,2.18366772783e+14,0.125,0.161812297735,2,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,456693809.287,11449928.3798,454348089.08,475722633.767,442212430.101,442454756.891,473498704.581,10.0,1.31100859901e+14,0.125,0.161812297735,3,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-400.0,-203.0,900.0,-203.0,-1e+200,466665292.54,12640818.6296,461939239.478,485565047.869,451317133.844,452667023.994,484722040.179,12.0,1.59790295626e+14,0.125,0.161812297735,4,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,477344600.775,16872461.0723,483999868.888,489846810.822,442144754.688,450699342.256,489778275.285,7.0,2.84679942635e+14,0.125,0.161812297735,5,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-400.0,-203.0,1218.0,-203.0,-1e+200,457894780.27,7999557.55537,454423528.262,474856307.754,449152851.772,449860041.974,470567451.682,9.0,6.39929210817e+13,0.125,0.0145631067961,8,0.000910194174757,6.74217907228e-06,0.5
203.0,-203.0,-400.0,-203.0,1100.0,-203.0,-1e+200,459933192.527,17293299.4484,466210214.193,482358203.36,424967463.945,431236193.453,478635192.838,11.0,2.99058205813e+14,0.125,0.161812297735,6,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-400.0,-203.0,1200.0,-203.0,-1e+200,463910588.604,18326322.3316,465062993.641,491835734.495,435005855.36,435320414.531,489412477.779,13.0,3.35854090202e+14,0.125,0.0954692556634,7,0.00596682847896,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-203.0,600.0,-203.0,-1e+200,447865784.937,6992602.11221,446914000.208,458057626.372,436671154.271,438957396.099,456913666.82,7.0,4.88964842997e+13,0.25,0.0809061488673,9,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-203.0,800.0,-203.0,-1e+200,443050104.192,11348580.0268,445678369.976,455384522.124,419460292.423,425742967.935,453861066.534,8.0,1.28790268625e+14,0.25,0.161812297735,11,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-203.0,700.0,-203.0,-1e+200,454489501.96,12648458.305,452364079.693,471734719.849,438251838.548,439831737.164,470413454.701,7.0,1.59983497493e+14,0.25,0.161812297735,10,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-203.0,900.0,-203.0,-1e+200,452822279.725,9379592.93557,454450211.36,465818734.149,439894311.782,440095659.161,463921957.044,10.0,8.79767636369e+13,0.25,0.161812297735,12,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-203.0,1000.0,-203.0,-1e+200,452981652.955,13642043.3317,454717173.608,482300264.894,426899600.197,434228756.56,473927723.828,12.0,1.86105346264e+14,0.25,0.161812297735,13,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-203.0,1100.0,-203.0,-1e+200,448200171.65,13643772.0138,450508779.924,469032802.504,430299816.551,431981773.514,466874768.698,9.0,1.86152514764e+14,0.25,0.161812297735,14,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-203.0,1200.0,-203.0,-1e+200,460286474.172,11130827.6392,460845402.477,473906193.36,439392533.513,444333013.123,472038496.274,7.0,1.23895323933e+14,0.25,0.0954692556634,15,0.0119336569579,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-203.0,1218.0,-203.0,-1e+200,449636279.561,13805412.083,449633225.278,470355770.673,426479910.377,430896860.095,467646755.411,9.0,1.90589402783e+14,0.25,0.0145631067961,16,0.00182038834951,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-203.0,600.0,-203.0,-1e+200,437584402.723,11921839.1948,435606070.879,456463352.819,425205928.824,426283460.601,453181296.933,5.0,1.42130249786e+14,0.25,0.0809061488673,17,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-203.0,800.0,-203.0,-1e+200,441531180.088,15897397.8753,439129723.169,469822403.181,423882320.907,423968448.86,464036270.827,10.0,2.52727259205e+14,0.25,0.161812297735,19,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-203.0,700.0,-203.0,-1e+200,441455447.085,10360252.4529,439560588.387,459899268.428,430667225.401,431143079.527,458641284.325,10.0,1.07334830888e+14,0.25,0.161812297735,18,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-203.0,900.0,-203.0,-1e+200,442536720.046,12920162.449,438372860.644,463221893.447,428512581.337,428950302.998,460482706.752,8.0,1.66930597708e+14,0.25,0.161812297735,20,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-203.0,1200.0,-203.0,-1e+200,442896532.741,17038039.153,438652263.57,471477024.505,421915111.412,423326225.096,466478634.937,8.0,2.9029477818e+14,0.25,0.0954692556634,23,0.0119336569579,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-203.0,1000.0,-203.0,-1e+200,436200341.401,16852687.8645,442074216.186,455388449.598,409237926.854,413264950.688,454122455.296,9.0,2.84013088259e+14,0.25,0.161812297735,21,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-203.0,1100.0,-203.0,-1e+200,440233248.616,10271383.5171,441206924.298,460152798.282,423185991.479,426159589.741,454025368.004,11.0,1.05501319356e+14,0.25,0.161812297735,22,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-203.0,1218.0,-203.0,-1e+200,446058665.935,11768637.5738,447145438.157,465115907.289,430333436.402,431596323.038,462007186.782,7.0,1.38500830344e+14,0.25,0.0145631067961,24,0.00182038834951,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-203.0,600.0,-203.0,-1e+200,421325005.455,11576561.6447,421646768.892,436547168.861,405824499.908,407137083.795,435070570.287,7.0,1.34016779513e+14,0.25,0.0809061488673,25,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-203.0,700.0,-203.0,-1e+200,427833569.384,16714403.8674,433223584.792,447602051.869,397884205.325,403506325.075,445594020.207,7.0,2.79371296641e+14,0.25,0.161812297735,26,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-203.0,800.0,-203.0,-1e+200,428410411.534,12852291.3455,422395263.759,451197372.847,418255313.907,418709396.875,447434931.923,6.0,1.65181392831e+14,0.25,0.161812297735,27,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-203.0,900.0,-203.0,-1e+200,427647899.51,8579026.74656,424113980.87,440364002.979,421999633.321,422158759.92,438084525.196,4.0,7.35996999182e+13,0.25,0.161812297735,28,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-203.0,1000.0,-203.0,-1e+200,424625514.681,14474734.1026,419861020.828,448629470.097,406985588.491,409300788.697,444801179.274,8.0,2.09517927341e+14,0.25,0.161812297735,29,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-203.0,1100.0,-203.0,-1e+200,438125538.813,7600210.45151,438353621.852,451180840.411,428068446.79,429086519.272,448424026.56,7.0,5.77631989073e+13,0.25,0.161812297735,30,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-203.0,1200.0,-203.0,-1e+200,425623918.965,11269028.6462,427856759.514,443035977.294,400866011.218,408073133.389,439032478.354,13.0,1.2699100663e+14,0.25,0.0954692556634,31,0.0119336569579,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-203.0,1218.0,-203.0,-1e+200,425527987.033,14154796.8987,428316905.536,447472418.356,396520232.782,402309161.408,441892810.802,11.0,2.00358275242e+14,0.25,0.0145631067961,32,0.00182038834951,6.74217907228e-06,0.5
203.0,-203.0,-320.0,-203.0,600.0,-203.0,-1e+200,422676879.711,5803894.04177,423024909.17,429333987.621,413597689.913,414966072.381,429002631.368,6.0,3.36851860481e+13,0.125,0.0809061488673,33,0.00505663430421,6.74217907228e-06,0.5
203.0,-203.0,-320.0,-203.0,700.0,-203.0,-1e+200,415746429.793,14669141.9961,406494150.844,435052697.191,402358137.887,402515700.226,433545572.587,7.0,2.15183726902e+14,0.125,0.161812297735,34,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-320.0,-203.0,800.0,-203.0,-1e+200,415786824.666,15323502.5354,423331408.824,425875238.462,398153826.712,400671584.923,425620855.499,3.0,2.34809729953e+14,0.125,0.161812297735,35,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-320.0,-203.0,900.0,-203.0,-1e+200,414648567.325,24501220.6896,404135858.092,442651834.341,397158009.542,397855794.397,438800236.716,3.0,6.0030981528e+14,0.125,0.161812297735,36,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-320.0,-203.0,1000.0,-203.0,-1e+200,415896645.322,9205652.30525,415992633.248,425053928.329,406643374.388,407578300.274,424147798.821,3.0,8.47440343651e+13,0.125,0.161812297735,37,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-320.0,-203.0,1100.0,-203.0,-1e+200,412866334.378,13179133.1453,410136329.278,430179265.783,401013413.173,401520600.664,428034075.232,4.0,1.7368955046e+14,0.125,0.161812297735,38,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-320.0,-203.0,1218.0,-203.0,-1e+200,399270692.822,28852245.1658,415509448.357,416344154.614,365958475.494,370913572.78,416260683.988,3.0,8.32452051105e+14,0.125,0.0145631067961,40,0.000910194174757,6.74217907228e-06,0.5
203.0,-203.0,-320.0,-203.0,1200.0,-203.0,-1e+200,410745514.194,13487564.2033,412968353.218,429022833.663,387273432.457,391069725.745,426020076.801,7.0,1.81914388139e+14,0.125,0.0954692556634,39,0.00596682847896,6.74217907228e-06,0.5
203.0,-203.0,-400.0,-200.0,600.0,-203.0,-1e+200,457931804.428,16116765.5587,458745418.773,479616332.077,424919407.071,427131805.292,475806645.916,20.0,2.59750132076e+14,0.125,0.0809061488673,41,0.00505663430421,6.74217907228e-06,0.5
203.0,-203.0,-400.0,-200.0,700.0,-203.0,-1e+200,460213447.842,14476338.9778,462505642.798,489403642.676,434438899.79,437461610.405,479196911.135,19.0,2.095643902e+14,0.125,0.161812297735,42,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-400.0,-200.0,800.0,-203.0,-1e+200,460472325.749,14441970.9696,462605544.876,484171630.096,441681451.101,442214154.903,479636125.727,20.0,2.08570525486e+14,0.125,0.161812297735,43,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-400.0,-200.0,900.0,-203.0,-1e+200,458685057.419,9890460.59374,459368942.054,479503431.15,440679200.061,446070842.352,472215062.452,18.0,9.78212107562e+13,0.125,0.161812297735,44,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-400.0,-200.0,1000.0,-203.0,-1e+200,459851869.267,9722188.99275,461105157.086,472701862.588,436973190.155,438390899.281,471090616.418,19.0,9.45209588107e+13,0.125,0.161812297735,45,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-400.0,-200.0,1100.0,-203.0,-1e+200,462176245.803,10163090.9481,462616082.451,488434652.087,444582872.907,448813801.009,475979644.812,20.0,1.0328841762e+14,0.125,0.161812297735,46,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-400.0,-200.0,1200.0,-203.0,-1e+200,469773103.532,14947760.2792,473683558.933,491519035.163,439267582.984,445013410.891,485026456.9,20.0,2.23435537365e+14,0.125,0.0954692556634,47,0.00596682847896,6.74217907228e-06,0.5
203.0,-203.0,-400.0,-200.0,1218.0,-203.0,-1e+200,465772308.26,13842154.321,466672728.329,489446355.623,431088357.887,446920416.828,483675734.917,20.0,1.91605236248e+14,0.125,0.0145631067961,48,0.000910194174757,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-200.0,600.0,-203.0,-1e+200,442927163.312,12151183.0243,446335683.903,461542118.054,416741796.947,424177918.219,457995666.183,20.0,1.47651248891e+14,0.25,0.0809061488673,49,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-200.0,700.0,-203.0,-1e+200,455299591.01,10198182.4235,456462060.871,469897724.591,432116734.863,437400111.32,468955845.67,20.0,1.04002924743e+14,0.25,0.161812297735,50,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-200.0,800.0,-203.0,-1e+200,455602494.246,15580641.8495,459856738.215,478447693.963,423545184.977,431504339.002,476874326.141,19.0,2.42756400444e+14,0.25,0.161812297735,51,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-200.0,900.0,-203.0,-1e+200,452624947.871,12476986.2222,453381713.827,476376219.023,432189157.854,436662959.031,476256175.182,20.0,1.5567518519e+14,0.25,0.161812297735,52,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-200.0,1000.0,-203.0,-1e+200,450322117.263,11422511.0149,451267893.103,470161386.842,426312579.18,430501235.125,466389377.836,20.0,1.30473757886e+14,0.25,0.161812297735,53,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-200.0,1100.0,-203.0,-1e+200,451144846.592,16120393.4153,450666237.449,484954961.383,425493820.521,425714244.771,471809194.345,20.0,2.59867083865e+14,0.25,0.161812297735,54,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-200.0,1200.0,-203.0,-1e+200,451004061.511,15300461.7473,451164113.493,473935660.266,424084104.597,424636898.146,472547899.505,20.0,2.3410412968e+14,0.25,0.0954692556634,55,0.0119336569579,6.74217907228e-06,0.5
203.0,-203.0,-380.0,-200.0,1218.0,-203.0,-1e+200,450476547.035,11677257.7977,452481011.347,469109850.503,425635008.304,430753743.772,467785323.094,20.0,1.36358349675e+14,0.25,0.0145631067961,56,0.00182038834951,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-200.0,600.0,-203.0,-1e+200,442411937.144,12319879.2202,445491158.195,457412047.971,413570872.052,425497787.789,456013592.111,20.0,1.51779424001e+14,0.25,0.0809061488673,57,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-200.0,700.0,-203.0,-1e+200,446310011.082,12249386.881,446355822.766,462609339.736,418459108.987,425466542.674,461186575.41,20.0,1.50047478961e+14,0.25,0.161812297735,58,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-200.0,800.0,-203.0,-1e+200,438999581.748,10593379.4928,440451775.398,458809081.628,422439554.924,424108281.939,454144415.329,19.0,1.12219689078e+14,0.25,0.161812297735,59,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-200.0,900.0,-203.0,-1e+200,438883315.46,10867836.6187,438363181.318,452278848.113,412104136.104,426414722.82,452144638.939,20.0,1.18109872772e+14,0.25,0.161812297735,60,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-200.0,1000.0,-203.0,-1e+200,437358802.135,16014463.2408,438366772.762,470088646.205,406674167.438,414709377.729,461548283.383,20.0,2.56463032892e+14,0.25,0.161812297735,61,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-200.0,1100.0,-203.0,-1e+200,442321754.455,16435574.6775,443138303.96,472707554.497,410563827.945,417476674.622,467715762.106,20.0,2.70128114979e+14,0.25,0.161812297735,62,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-200.0,1200.0,-203.0,-1e+200,441783575.969,10856575.6871,443471609.629,455212292.197,416696873.823,416824945.277,453356070.515,20.0,1.1786523565e+14,0.25,0.0954692556634,63,0.0119336569579,6.74217907228e-06,0.5
203.0,-203.0,-360.0,-200.0,1218.0,-203.0,-1e+200,441540876.376,16240264.42,440000126.227,476229326.296,414735393.898,420926738.73,469569390.648,20.0,2.63746188433e+14,0.25,0.0145631067961,64,0.00182038834951,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-200.0,600.0,-203.0,-1e+200,438512877.659,11490672.082,441190755.731,454862218.037,419682972.268,419799012.429,454563384.135,19.0,1.32035544895e+14,0.25,0.0809061488673,65,0.0101132686084,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-200.0,700.0,-203.0,-1e+200,430635560.999,14461439.3243,432633034.28,452195862.374,406812405.23,409422846.24,452161050.147,20.0,2.09133227331e+14,0.25,0.161812297735,66,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-200.0,800.0,-203.0,-1e+200,431816276.286,12436586.4156,431331866.864,464649043.208,407711460.218,418914472.15,448960301.524,20.0,1.54668681672e+14,0.25,0.161812297735,67,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-200.0,900.0,-203.0,-1e+200,428735643.452,14719390.3337,427986953.221,453799871.73,407084801.76,408461762.355,453105737.053,20.0,2.16660451796e+14,0.25,0.161812297735,68,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-200.0,1000.0,-203.0,-1e+200,435004312.653,14151005.165,436587470.676,457561614.335,404906266.281,408446509.547,456557258.567,20.0,2.0025094718e+14,0.25,0.161812297735,69,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-200.0,1100.0,-203.0,-1e+200,431141901.394,15246850.3569,430294038.997,459022112.142,399119472.697,407933704.282,453813294.256,19.0,2.32466445804e+14,0.25,0.161812297735,70,0.0202265372168,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-200.0,1200.0,-203.0,-1e+200,429141619.398,17200726.2251,433832879.259,448899343.114,403794769.089,404676523.309,448313605.058,20.0,2.95864982671e+14,0.25,0.0954692556634,71,0.0119336569579,6.74217907228e-06,0.5
203.0,-203.0,-340.0,-200.0,1218.0,-203.0,-1e+200,432362367.837,13956296.9757,432763350.807,451915705.596,408807036.48,409323865.573,451330568.76,20.0,1.94778225275e+14,0.25,0.0145631067961,72,0.00182038834951,6.74217907228e-06,0.5
203.0,-203.0,-320.0,-200.0,600.0,-203.0,-1e+200,417609642.033,16314439.4138,416398591.413,448628896.583,383698226.671,393301745.011,440598698.248,20.0,2.66160933385e+14,0.125,0.0809061488673,73,0.00505663430421,6.74217907228e-06,0.5
