SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-Charger_capacity,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-TES_capacity
203.0,-203.0,-400.0,-195.0,300.0,-203.0,-1e+200,436219825.429,11640583.9431,432792552.313,460653937.036,414963136.717,420648882.226,450224036.25,20.0,1.35503194535e+14,0.0333333333333,5.95238095238e-05,1,4.7619047619e-08,0.0357142857143,0.05
203.0,-203.0,-400.0,-195.0,400.0,-203.0,-1e+200,444745354.845,15950471.2335,445259803.995,473086295.038,414738896.962,423153184.685,472726559.602,18.0,2.5441753257e+14,0.0333333333333,0.000119047619048,2,4.7619047619e-08,0.0357142857143,0.1
203.0,-203.0,-400.0,-195.0,500.0,-203.0,-1e+200,455155060.416,8134163.06607,455096496.838,468192663.068,437607956.62,441164744.595,465925101.047,20.0,6.61646087854e+13,0.0333333333333,0.000119047619048,3,4.7619047619e-08,0.0357142857143,0.1
203.0,-203.0,-400.0,-195.0,600.0,-203.0,-1e+200,460065733.598,9994625.29458,461552824.978,477804158.16,443833711.582,444343282.46,472158015.761,20.0,9.9892534779e+13,0.0333333333333,0.000119047619048,4,4.7619047619e-08,0.0357142857143,0.1
203.0,-203.0,-400.0,-195.0,700.0,-203.0,-1e+200,454383999.76,15855991.5056,453754778.417,480992795.642,421719474.789,431388359.439,479060915.86,19.0,2.51412466624e+14,0.0333333333333,0.000119047619048,5,4.7619047619e-08,0.0357142857143,0.1
203.0,-203.0,-400.0,-195.0,800.0,-203.0,-1e+200,460935924.433,16711437.8335,460237788.391,485401754.339,433130447.959,434164206.601,483959318.132,20.0,2.79272154464e+14,0.0333333333333,0.000119047619048,6,4.7619047619e-08,0.0357142857143,0.1
203.0,-203.0,-400.0,-195.0,900.0,-203.0,-1e+200,461105752.797,14108474.1529,462684633.026,488965257.816,430315325.35,442084073.037,484715373.839,20.0,1.99049042922e+14,0.0333333333333,0.000119047619048,7,4.7619047619e-08,0.0357142857143,0.1
203.0,-203.0,-400.0,-195.0,1000.0,-203.0,-1e+200,458809087.292,15161904.6077,460196753.692,476959088.892,416458089.494,428771806.74,476318355.667,20.0,2.29883351332e+14,0.0333333333333,0.000119047619048,8,4.7619047619e-08,0.0357142857143,0.1
203.0,-203.0,-400.0,-195.0,1100.0,-203.0,-1e+200,459471534.657,12828386.4104,458109938.04,486089885.245,440012560.594,445036902.602,483694959.838,20.0,1.64567497894e+14,0.0333333333333,0.000119047619048,9,4.7619047619e-08,0.0357142857143,0.1
203.0,-203.0,-400.0,-195.0,1200.0,-203.0,-1e+200,465745379.006,9894764.28796,465924041.279,483962461.006,449487947.096,449828714.788,483505032.536,20.0,9.79063603143e+13,0.0333333333333,7.02380952381e-05,10,4.7619047619e-08,0.0357142857143,0.059
203.0,-203.0,-400.0,-195.0,1218.0,-203.0,-1e+200,460773094.309,16941356.4625,462706928.797,484045505.349,419889769.879,425899765.236,481292647.597,20.0,2.87009558788e+14,0.0333333333333,5.95238095238e-05,11,4.7619047619e-08,0.0357142857143,0.05
203.0,-203.0,-400.0,-195.0,1300.0,-203.0,-1e+200,460514786.327,10934608.8601,459799498.354,480010819.382,433307802.799,447889837.19,477282076.719,20.0,1.19565670923e+14,0.0333333333333,4.88095238095e-05,12,4.7619047619e-08,0.0357142857143,0.041
203.0,-203.0,-380.0,-195.0,300.0,-203.0,-1e+200,435291986.032,10615825.1981,438053524.946,453642552.607,416392640.734,419379523.9,447718726.212,20.0,1.12695744637e+14,0.0333333333333,0.000119047619048,13,4.7619047619e-08,0.0714285714286,0.05
203.0,-203.0,-380.0,-195.0,400.0,-203.0,-1e+200,434407354.438,12447270.8805,437641440.99,454832079.611,403297961.424,416600911.147,446521290.689,20.0,1.54934552373e+14,0.0333333333333,0.000238095238095,14,4.7619047619e-08,0.0714285714286,0.1
203.0,-203.0,-380.0,-195.0,500.0,-203.0,-1e+200,447411238.367,14222461.9305,447446663.529,475416506.744,421558620.157,430038947.14,466994813.136,20.0,2.02278423364e+14,0.0333333333333,0.000238095238095,15,4.7619047619e-08,0.0714285714286,0.1
203.0,-203.0,-380.0,-195.0,600.0,-203.0,-1e+200,445240588.803,12301674.0161,446408880.897,469409616.651,426245490.074,427936620.987,461534887.234,20.0,1.51331183597e+14,0.0333333333333,0.000238095238095,16,4.7619047619e-08,0.0714285714286,0.1
203.0,-203.0,-380.0,-195.0,700.0,-203.0,-1e+200,453388681.878,9393604.71576,451550018.669,468525135.295,440038626.024,440831580.545,468265136.288,20.0,8.8239809556e+13,0.0333333333333,0.000238095238095,17,4.7619047619e-08,0.0714285714286,0.1
203.0,-203.0,-380.0,-195.0,800.0,-203.0,-1e+200,447687101.405,9748444.8798,446843257.719,468101213.36,428422792.44,433289596.236,464712289.313,19.0,9.50321775745e+13,0.0333333333333,0.000238095238095,18,4.7619047619e-08,0.0714285714286,0.1
203.0,-203.0,-380.0,-195.0,900.0,-203.0,-1e+200,454911876.789,12556367.763,457523386.597,476145962.827,426201347.597,429291901.127,469035100.184,20.0,1.576623714e+14,0.0333333333333,0.000238095238095,19,4.7619047619e-08,0.0714285714286,0.1
203.0,-203.0,-380.0,-195.0,1000.0,-203.0,-1e+200,452233814.193,9353791.58112,451427587.215,467439582.537,433048206.266,437716651.392,464196546.765,20.0,8.74934169431e+13,0.0333333333333,0.000238095238095,20,4.7619047619e-08,0.0714285714286,0.1
203.0,-203.0,-380.0,-195.0,1100.0,-203.0,-1e+200,451937220.24,14371056.3044,453810459.837,479012099.177,427497119.864,429020269.846,475500153.176,20.0,2.06527259305e+14,0.0333333333333,0.000238095238095,21,4.7619047619e-08,0.0714285714286,0.1
203.0,-203.0,-380.0,-195.0,1200.0,-203.0,-1e+200,450061152.265,15974182.2772,449179315.646,482773955.909,406344214.153,424560123.267,468900989.46,20.0,2.55174499425e+14,0.0333333333333,0.000140476190476,22,4.7619047619e-08,0.0714285714286,0.059
203.0,-203.0,-380.0,-195.0,1218.0,-203.0,-1e+200,450265985.477,14666167.331,447970315.663,481635756.496,426523309.975,427744375.101,475324925.308,20.0,2.1509646418e+14,0.0333333333333,0.000119047619048,23,4.7619047619e-08,0.0714285714286,0.05
203.0,-203.0,-380.0,-195.0,1300.0,-203.0,-1e+200,446977098.598,13202480.3048,443553325.812,479021481.929,424870938.137,431489722.174,468488068.72,20.0,1.74305486199e+14,0.0333333333333,9.7619047619e-05,24,4.7619047619e-08,0.0714285714286,0.041
203.0,-203.0,-360.0,-195.0,300.0,-203.0,-1e+200,421698943.303,13504051.1124,420306795.24,442337680.685,397065396.1,401855054.782,441767798.635,19.0,1.82359396447e+14,0.0333333333333,0.000119047619048,25,4.7619047619e-08,0.0714285714286,0.05
