hours,price
1.0,20.77
2.0,20.33
3.0,20.39
4.0,20.25
5.0,20.54
6.0,21.03
7.0,21.79
8.0,22.82
9.0,22.68
10.0,24.01
11.0,24.78
12.0,25.21
13.0,24.79
14.0,24.44
15.0,23.94
16.0,23.69
17.0,25.02
18.0,31.27
19.0,34.13
20.0,32.06
21.0,31.06
22.0,28.38
23.0,26.33
24.0,24.89
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,-0.07
33.0,-0.15
34.0,-0.14
35.0,-0.03
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,-0.53
44.0,-0.19
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.51
50.0,0.59
51.0,0.55
52.0,0.58
53.0,0.55
54.0,0.57
55.0,0.33
56.0,0.19
57.0,0.19
58.0,0.52
59.0,0.38
60.0,0.31
61.0,0.08
62.0,0.08
63.0,0.07
64.0,-0.01
65.0,0.07
66.0,0.49
67.0,-0.05
68.0,0.05
69.0,-0.09
70.0,-0.05
71.0,0.09
72.0,0.07
73.0,17.61
74.0,17.45
75.0,17.4
76.0,17.42
77.0,18.1
78.0,19.05
79.0,20.86
80.0,21.8
81.0,20.51
82.0,21.63
83.0,22.17
84.0,23.49
85.0,22.98
86.0,22.67
87.0,22.18
88.0,22.16
89.0,23.43
90.0,29.18
91.0,32.25
92.0,30.04
93.0,29.72
94.0,27.12
95.0,24.39
96.0,22.79
97.0,-1.02
98.0,-0.9
99.0,-0.96
100.0,-0.95
101.0,-0.39
102.0,0.12
103.0,0.79
104.0,0.84
105.0,-0.4
106.0,-0.31
107.0,-0.47
108.0,-0.49
109.0,-0.52
110.0,-0.49
111.0,-0.51
112.0,-0.47
113.0,-0.28
114.0,0.0
115.0,-0.08
116.0,-0.03
117.0,0.02
118.0,0.0
119.0,-0.57
120.0,-0.44
121.0,-1.63
122.0,-1.39
123.0,-1.48
124.0,-1.3
125.0,-1.5
126.0,-1.53
127.0,-1.39
128.0,-1.74
129.0,-1.73
130.0,-1.69
131.0,-1.79
132.0,-0.92
133.0,-1.21
134.0,-1.2
135.0,-1.18
136.0,-1.07
137.0,-1.24
138.0,-1.6
139.0,-2.38
140.0,-2.13
141.0,-1.45
142.0,-1.31
143.0,-1.28
144.0,-1.59
145.0,18.77
146.0,18.48
147.0,18.42
148.0,18.95
149.0,18.94
150.0,19.47
151.0,20.69
152.0,21.82
153.0,21.79
154.0,22.59
155.0,23.44
156.0,25.2
157.0,25.05
158.0,24.69
159.0,24.19
160.0,24.05
161.0,25.28
162.0,30.14
163.0,33.45
164.0,31.16
165.0,31.77
166.0,28.81
167.0,26.6
168.0,23.84
169.0,-0.81
170.0,-0.77
171.0,-0.7
172.0,-0.4
173.0,-0.33
174.0,-0.25
175.0,-0.12
176.0,-0.03
177.0,0.0
178.0,0.0
179.0,0.0
180.0,0.0
181.0,0.0
182.0,0.0
183.0,0.0
184.0,0.0
185.0,0.0
186.0,0.0
187.0,0.0
188.0,0.0
189.0,0.0
190.0,0.0
191.0,0.0
192.0,0.0
193.0,-0.68
194.0,-0.49
195.0,-0.72
196.0,-0.32
197.0,-0.72
198.0,-0.74
199.0,-0.65
200.0,-0.85
201.0,-0.85
202.0,-1.04
203.0,-0.99
204.0,0.3
205.0,0.34
206.0,0.33
207.0,0.32
208.0,0.35
209.0,0.33
210.0,-0.64
211.0,-1.26
212.0,-1.04
213.0,0.62
214.0,0.38
215.0,0.36
216.0,-0.98
217.0,19.32
218.0,19.29
219.0,19.03
220.0,19.25
221.0,19.17
222.0,19.62
223.0,20.89
224.0,21.58
225.0,21.46
226.0,22.68
227.0,23.32
228.0,24.62
229.0,24.08
230.0,23.74
231.0,23.25
232.0,23.22
233.0,24.3
234.0,29.95
235.0,32.82
236.0,30.67
237.0,30.4
238.0,27.67
239.0,25.58
240.0,23.73
241.0,0.0
242.0,0.0
243.0,0.0
244.0,0.0
245.0,0.0
246.0,0.0
247.0,0.0
248.0,-0.05
249.0,-0.11
250.0,-0.1
251.0,-0.02
252.0,0.0
253.0,0.0
254.0,0.0
255.0,0.0
256.0,0.0
257.0,0.0
258.0,0.0
259.0,-0.39
260.0,-0.14
261.0,0.0
262.0,0.0
263.0,0.0
264.0,0.0
265.0,-0.94
266.0,-0.45
267.0,-0.81
268.0,-0.42
269.0,-0.82
270.0,-0.84
271.0,-0.57
272.0,-1.07
273.0,-1.07
274.0,-0.85
275.0,-1.09
276.0,-0.28
277.0,-0.63
278.0,-0.62
279.0,-0.62
280.0,-0.48
281.0,-0.65
282.0,-0.83
283.0,-1.5
284.0,-1.39
285.0,-0.75
286.0,-0.76
287.0,-0.66
288.0,-1.09
289.0,19.23
290.0,19.16
291.0,18.91
292.0,19.13
293.0,19.05
294.0,19.49
295.0,20.76
296.0,21.49
297.0,21.37
298.0,22.57
