cfYears,NewBOP_NewBOP_capex_CashFlow,NewBOP_NewBOP_capex_intcp_CashFlow,Charger_TES_Charger_capex_CashFlow,TES_TES_capex_CashFlow,Grid_grid_sales_CashFlow
0,-36893188.0566,15328179.8,-215446.888,-25467727.1501,0.0
1,0.0,0.0,0.0,0.0,40284147.9605
