RAVEN_sample_ID,hour,_ROM_Cluster,Year,scaling,Dispatch__SteamGen__production__reactor_heat,Dispatch__Converter1__production__reactor_heat,Dispatch__Converter1__production__heat,Dispatch__NewBOP__production__electricity,Dispatch__NewBOP__production__heat,Dispatch__Charger__production__reactor_heat,Dispatch__Charger__production__tes_heat,Dispatch__TES__level__tes_heat,Dispatch__TES__charge__tes_heat,Dispatch__TES__discharge__tes_heat,Dispatch__Convert2__production__tes_heat,Dispatch__Convert2__production__heat,Dispatch__Grid__production__electricity,price,prefix,ProbabilityWeight,PointProbability
0,0.0,0,2018,1.0,203.0,-101.069804084,101.069804084,87.4929945091,-202.99998726,-101.930195916,101.930195916,1208.69890309,-1.27354066738e-05,-4.61010593664e-09,-101.930183176,101.930183176,-87.4929945091,35.1478055745,1,1.0,1.0
0,0.0,1,2018,1.0,203.0,-203.00000001,203.00000001,174.986000879,-406.000002039,9.69083912823e-09,-9.69083912823e-09,994.718100513,6.45287426733e-09,203.000002033,-203.00000203,203.00000203,-174.986000879,87.7014324035,1,1.0,1.0
0,0.0,2,2018,1.0,203.0,-101.069804085,101.069804085,87.4929945096,-202.999987261,-101.930195915,101.930195915,1208.69890309,-1.27309072435e-05,-7.87404884912e-09,-101.930183177,101.930183177,-87.4929945096,103.802822685,1,1.0,1.0
0,0.0,3,2018,1.0,203.0,-101.069808367,101.069808367,87.4930000005,-203.000000001,-101.930191633,101.930191633,1208.698891,7.36206901516e-09,-6.19648846182e-09,-101.930191634,101.930191634,-87.4930000005,229.527839297,1,1.0,1.0
0,0.0,4,2018,1.0,203.0,-101.069804084,101.069804084,87.4929945093,-202.999987261,-101.930195916,101.930195916,1208.69890309,-1.27392832327e-05,-1.19319996014e-10,-101.930183176,101.930183176,-87.4929945093,10.1705088611,1,1.0,1.0
0,0.0,5,2018,1.0,203.0,-203.000000008,203.000000008,174.986000878,-406.000002037,8.40636866414e-09,-8.40636866414e-09,994.718100516,7.25414302e-09,203.00000203,-203.000002028,203.000002028,-174.986000878,24.825554219,1,1.0,1.0
0,0.0,6,2018,1.0,203.0,-101.069804085,101.069804085,87.4929945096,-202.999987261,-101.930195915,101.930195915,1208.69890309,-1.27323810966e-05,-6.41169309449e-09,-101.930183177,101.930183177,-87.4929945096,54.1523185321,1,1.0,1.0
0,0.0,7,2018,1.0,203.0,-203.000000009,203.000000009,174.986000879,-406.000002039,9.36169322438e-09,-9.36169322438e-09,994.718100514,8.98556534468e-09,203.00000203,-203.000002029,203.000002029,-174.986000879,78.8541776072,1,1.0,1.0
0,0.0,8,2018,1.0,203.0,-203.000000008,203.000000008,174.986000877,-406.000002036,7.79620418684e-09,-7.79620418684e-09,994.718100517,7.76182673199e-09,203.000002028,-203.000002028,203.000002028,-174.986000877,28.6183860299,1,1.0,1.0
0,0.0,9,2018,1.0,203.0,-101.069808363,101.069808363,87.4929999956,-202.99999999,-101.930191637,101.930191637,1208.69889101,-3.78188790021e-09,-6.49406590336e-09,-101.930191626,101.930191626,-87.4929999956,19.1441039276,1,1.0,1.0
0,0.0,10,2018,1.0,203.0,-101.069804085,101.069804085,87.4929945095,-202.999987261,-101.930195915,101.930195915,1208.69890309,-1.27313208547e-05,-7.72017773139e-09,-101.930183176,101.930183176,-87.4929945095,22.9569894978,1,1.0,1.0
0,0.0,11,2018,1.0,203.0,-203.000000009,203.000000009,174.986000878,-406.000002038,9.13070774892e-09,-9.13070774892e-09,994.718100514,7.26544854721e-09,203.000002031,-203.000002029,203.000002029,-174.986000878,27.9530868179,1,1.0,1.0
0,0.0,12,2018,1.0,203.0,-101.069804084,101.069804084,87.4929945092,-202.99998726,-101.930195916,101.930195916,1208.69890309,-1.27322306959e-05,-7.34093703056e-09,-101.930183176,101.930183176,-87.4929945092,19.6834697714,1,1.0,1.0
0,0.0,13,2018,1.0,203.0,-101.069808355,101.069808355,87.492999985,-202.999999965,-101.930191645,101.930191645,1208.69889103,-2.78565388475e-08,-7.03380472121e-09,-101.93019161,101.93019161,-87.492999985,19.1769278347,1,1.0,1.0
0,0.0,14,2018,1.0,203.0,-203.00000001,203.00000001,174.986000879,-406.00000204,9.89608318934e-09,-9.89608318934e-09,994.718100513,6.87918835706e-09,203.000002033,-203.00000203,203.00000203,-174.986000879,118.903068411,1,1.0,1.0
0,0.0,15,2018,1.0,203.0,-203.00000001,203.00000001,174.986000879,-406.00000204,9.83521186335e-09,-9.83521186335e-09,994.718100513,7.75789971041e-09,203.000002032,-203.00000203,203.00000203,-174.986000879,63.1607745969,1,1.0,1.0
0,0.0,16,2018,1.0,203.0,3.62989836808e-09,-3.62989836808e-09,-3.12893984174e-09,7.25972121052e-09,-203.000000004,203.000000004,1208.69890309,-2029.99988541,1826.9998854,3.62982284244e-09,-3.62982284244e-09,3.12893984174e-09,-7.29069179343,1,1.0,1.0
0,0.0,17,2018,1.0,203.0,-101.069808365,101.069808365,87.4929999973,-202.999999994,-101.930191635,101.930191635,1208.69889101,1.18031163932e-09,-7.45530912891e-09,-101.930191629,101.930191629,-87.4929999973,33.6314458287,1,1.0,1.0
0,0.0,18,2018,1.0,203.0,-203.000000009,203.000000009,174.986000879,-406.000002039,9.4661207319e-09,-9.4661207319e-09,994.718100514,7.81808866687e-09,203.000002031,-203.000002029,203.000002029,-174.986000879,37.5403843709,1,1.0,1.0
0,0.0,19,2018,1.0,203.0,-203.00000001,203.00000001,174.986000879,-406.00000204,9.89140097613e-09,-9.89140097613e-09,994.718100512,4.74059977889e-09,203.000002035,-203.00000203,203.00000203,-174.986000879,230.740778718,1,1.0,1.0
0,1.0,0,2018,1.0,203.0,-203.000000008,203.000000008,174.986000877,-406.000002035,7.67314548133e-09,-7.67314548133e-09,994.718112604,8.30061685389e-09,203.000002027,-203.000002028,203.000002028,-174.986000877,132.858057672,1,1.0,1.0
0,1.0,1,2018,1.0,203.0,-93.4133094738,93.4133094738,77.7715490924,-180.444429449,-109.586690526,109.586690526,1016.11619357,-22.5555705448,-6.45287426683e-09,-87.0311199749,87.0311199749,-77.7715490924,36.7547026914,1,1.0,1.0
0,1.0,2,2018,1.0,203.0,-203.00000001,203.00000001,174.986000879,-406.000002039,9.67056090498e-09,-9.67056090498e-09,994.718112599,8.23691066465e-09,203.000002031,-203.00000203,203.00000203,-174.986000879,213.475900899,1,1.0,1.0
0,1.0,3,2018,1.0,203.0,-203.00000001,203.00000001,174.986000879,-406.00000204,9.84216674353e-09,-9.84216674353e-09,994.718100512,8.44238854638e-09,203.000002031,-203.00000203,203.00000203,-174.986000879,475.540797635,1,1.0,1.0
0,1.0,4,2018,1.0,203.0,-101.069808366,101.069808366,87.4929999995,-202.999999999,-101.930191634,101.930191634,1208.69890309,-1.56966510369e-09,5.20850728612e-10,-101.930191632,101.930191632,-87.4929999995,19.1704773023,1,1.0,1.0
0,1.0,5,2018,1.0,203.0,-5.02629222561e-08,5.02629222561e-08,4.33266466705e-08,-1.00525862345e-07,-202.99999995,202.99999995,1187.30080993,-202.999999892,-7.25414302e-09,-5.02629400884e-08,5.02629400884e-08,-4.33266466705e-08,18.8609261194,1,1.0,1.0
0,1.0,6,2018,1.0,203.0,-203.00000001,203.00000001,174.986000879,-406.00000204,9.83998502206e-09,-9.83998502206e-09,994.718112598,7.25457192157e-09,203.000002032,-203.00000203,203.00000203,-174.986000879,213.514228495,1,1.0,1.0
