cfYears,NewBOP_NewBOP_capex_CashFlow,NewBOP_NewBOP_capex_intcp_CashFlow,Charger_TES_Charger_capex_CashFlow,TES_TES_capex_CashFlow,Grid_grid_sales_CashFlow
0,-37456651.2153,15328179.8,-215446.888,-25888474.5276,0.0
1,0.0,0.0,0.0,0.0,44467297.6491
