RAVEN_sample_ID,hour,_ROM_Cluster,Year,scaling,Dispatch__SteamGen__production__reactor_heat,Dispatch__Converter1__production__heat,Dispatch__Converter1__production__reactor_heat,Dispatch__NewBOP__production__heat,Dispatch__NewBOP__production__electricity,Dispatch__Charger__production__reactor_heat,Dispatch__Charger__production__tes_heat,Dispatch__TES__level__tes_heat,Dispatch__TES__charge__tes_heat,Dispatch__TES__discharge__tes_heat,Dispatch__Convert2__production__heat,Dispatch__Convert2__production__tes_heat,Dispatch__Grid__production__electricity,price,ProbabilityWeight,PointProbability,prefix
0,0.0,0,2018,1.0,203.0,203.000000001,-203.000000001,-406.000002023,174.986000872,1.23702453663e-09,-1.23702453663e-09,1020.14776377,8.23636951343e-09,203.000002014,203.000002021,-203.000002021,-174.986000872,33.6333231504,1.0,1.0,1
0,0.0,1,2018,1.0,203.0,102.377238069,-102.377238069,-203.000000003,87.4930000012,-100.622761931,100.622761931,1234.12855424,7.4561332686e-09,-4.66660861585e-09,100.622761934,-100.622761934,-87.4930000012,32.6577723155,1.0,1.0,1
0,0.0,2,2018,1.0,203.0,171.05414619,-171.05414619,-356.239777273,153.539344005,-31.9458538104,31.9458538104,1072.59964613,7.83699813006e-09,153.239777265,185.185631083,-185.185631083,-153.539344005,26.8800571664,1.0,1.0,1
0,0.0,3,2018,1.0,203.0,100.124722254,-100.124722254,-202.99998701,87.4929944015,-102.875277746,102.875277746,1234.12856656,-1.29816520725e-05,-7.90405918518e-09,102.875264757,-102.875264757,-87.4929944015,24.970567932,1.0,1.0,1
0,0.0,4,2018,1.0,203.0,102.377233804,-102.377233804,-202.999986992,87.4929943936,-100.622766196,100.622766196,1234.12856658,-1.30043494135e-05,-3.50177801369e-09,100.622753188,-100.622753188,-87.4929943936,12.8720020503,1.0,1.0,1
0,0.0,5,2018,1.0,203.0,203.000000009,-203.000000009,-406.000002038,174.986000879,9.21178756089e-09,-9.21178756089e-09,1020.14776375,7.71816757581e-09,203.000002031,203.000002029,-203.000002029,-174.986000879,32.8594954841,1.0,1.0,1
0,0.0,6,2018,1.0,203.0,5.08900407836,-5.08900407836,-5.08900407784,2.19336075755,-197.910995922,197.910995922,1059.47918441,-3635.97936092,3438.068365,-5.26170325042e-10,5.26170325042e-10,-2.19336075755,-17.2475,1.0,1.0,1
0,0.0,7,2018,1.0,203.0,87.2054643269,-87.2054643269,-202.999999997,87.4929999989,-115.794535673,115.794535673,1234.12855424,3.92800722069e-09,-6.5073321421e-09,115.794535671,-115.794535671,-87.4929999989,24.5574598905,1.0,1.0,1
0,0.0,8,2018,1.0,203.0,203.00000001,-203.00000001,-406.00000204,174.986000879,9.91524423087e-09,-9.91524423087e-09,1020.14776375,6.98583998294e-09,203.000002033,203.00000203,-203.00000203,-174.986000879,158.773840023,1.0,1.0,1
0,0.0,9,2018,1.0,203.0,203.000000009,-203.000000009,-406.000002039,174.986000879,9.2686583365e-09,-9.2686583365e-09,1020.14776375,7.70450297961e-09,203.000002031,203.000002029,-203.000002029,-174.986000879,36.4276383994,1.0,1.0,1
