HOUR,RAVEN_sample_ID,TOTALLOAD_original,TOTALLOAD_fourier,TOTALLOAD_nofourier,TOTALLOAD_gaussianed
1.0,0,23.3292619064,19.2879926522,4.04126925421,1.59670172725
2.0,0,23.5712654244,18.5089685257,5.06229689876,2.01923600172
3.0,0,22.2002749411,17.5440411766,4.65623376445,1.86513251266
4.0,0,20.8090992624,16.6990376345,4.11006162788,1.62500897281
5.0,0,20.2301323907,16.1431238323,4.08700855837,1.61537826233
6.0,0,19.6411731911,15.8511234051,3.79004978599,1.50015492843
7.0,0,19.5934917832,15.7347475624,3.8587442208,1.52889291389
8.0,0,19.5706438243,15.8065359781,3.76410784623,1.4896178255
9.0,0,20.0577729894,16.194150101,3.86362288842,1.53079824014
10.0,0,20.5251761628,16.9836690622,3.54150710061,1.4053209905
11.0,0,21.9823597934,18.0547786459,3.92758114755,1.55370307685
12.0,0,23.4214945863,19.0905447141,4.3309498723,1.72399998446
13.0,0,23.9349520067,19.777000128,4.15795187875,1.64551198313
14.0,0,24.2206474302,20.0186980538,4.20194937641,1.66491278241
15.0,0,23.4383318659,19.974647202,3.46368466388,1.37456685769
16.0,0,22.5685494043,19.8879772413,2.680572163,1.10499939823
17.0,0,21.8144657174,19.8762336175,1.93823209984,0.812312160489
18.0,0,21.2050357165,19.8772141903,1.32782152615,0.56535938127
19.0,0,20.7485296913,19.7827223403,0.96580735101,0.41966750533
20.0,0,20.4397566195,19.6038645323,0.835892087224,0.364214657639
21.0,0,20.2926422123,19.4854412858,0.807200926501,0.352123550283
22.0,0,20.3703796026,19.5480750707,0.822304531971,0.358482023564
23.0,0,20.9227846851,19.7210451958,1.20173948939,0.509761124186
24.0,0,21.2616545834,19.748681505,1.51297307835,0.63779401841
25.0,0,21.4501318731,19.3857762486,2.06435562448,0.862648312366
26.0,0,21.6438544833,18.6084515382,3.03540294515,1.21637949934
27.0,0,20.2525370665,17.6452172701,2.60731979633,1.07471497616
28.0,0,18.8739295404,16.801900137,2.07202940347,0.865610775779
29.0,0,18.3389077594,16.2476657363,2.09124202307,0.873061359918
30.0,0,17.8440561314,15.9573373691,1.88671876231,0.791613298475
31.0,0,17.9169899908,15.8426259124,2.0743640784,0.866513585438
32.0,0,17.9550168343,15.9160707088,2.03894612551,0.852892520855
33.0,0,18.4662381445,16.305332878,2.16090526649,0.900493590122
34.0,0,18.9426890531,17.0964912232,1.84619782986,0.775566826462
35.0,0,20.4117718509,18.1692312028,2.24254064817,0.931604291067
36.0,0,21.8203780378,19.2066183545,2.61375968326,1.07733783026
37.0,0,22.3515310658,19.8946852175,2.45684584834,1.01454509217
38.0,0,22.6897535254,20.1379846376,2.55176888782,1.05239002719
39.0,0,22.0278072749,20.0955250071,1.93228226787,0.809903741273
40.0,0,21.3022825869,20.0104356786,1.2918469083,0.549324314988
41.0,0,20.7415253082,20.0002617837,0.741263524489,0.324526767578
42.0,0,20.3645770452,20.0028008705,0.361776174702,0.166445689287
43.0,0,20.0924372006,19.9098560101,0.182581190528,0.082299371586
44.0,0,19.9676107921,19.7325333602,0.235077431957,0.107184455859
45.0,0,19.97059745,19.6156331354,0.354964314671,0.163457701123
46.0,0,20.1120414977,19.6797775035,0.432263994263,0.19745731136
47.0,0,20.5609735419,19.8542454735,0.706728068408,0.310171989599
48.0,0,20.9765753168,19.8833665922,1.0932087246,0.468343398511
49.0,0,21.2854636718,19.5219328154,1.76353085641,0.739748346301
50.0,0,21.5461903997,18.746065963,2.80012443678,1.14423461021
51.0,0,20.157434779,17.7842756423,2.37315913679,0.981929544539
52.0,0,18.7225543403,16.9423882597,1.78016608061,0.746883630095
53.0,0,18.172418866,16.3895691296,1.78284973638,0.748038281266
54.0,0,15.6609989148,16.1006412728,-0.439642357907,-0.208659676033
55.0,0,15.376201341,15.9873152887,-0.611113947696,-0.288937802964
56.0,0,15.0063624627,16.0621302462,-1.05576778347,-0.495586117536
57.0,0,15.0294703441,16.4527469934,-1.42327664932,-0.645658132753
58.0,0,15.0782718031,17.245244066,-2.16697226289,-0.912872788159
59.0,0,15.7395499103,18.3193066573,-2.57975674709,-1.03920963725
60.0,0,16.3935566725,19.3580000441,-2.96444337165,-1.16142999141
61.0,0,16.8409173034,20.0473565073,-3.20643920389,-1.24512323666
62.0,0,17.2289405262,20.2919286381,-3.0629881119,-1.19260385747
63.0,0,17.0279166439,20.2507245775,-3.22280793362,-1.2502856416
64.0,0,16.8172342755,20.1668734305,-3.34963915501,-1.29146863173
65.0,0,16.4251176887,20.1579200846,-3.73280239593,-1.42546589587
66.0,0,16.0753292597,20.1616618474,-4.08633258771,-1.53563430707
67.0,0,15.6360542048,20.0699015529,-4.43384734811,-1.65481176006
68.0,0,15.2051333966,19.8937451257,-4.68861172914,-1.7605533511
69.0,0,15.051193279,19.777992551,-4.72679927192,-1.78042473356
70.0,0,14.9686174751,19.8432657709,-4.87464829572,-1.86640634406
71.0,0,15.5269435027,20.0188435726,-4.49190006985,-1.67417564646
72.0,0,16.0578136009,20.049055285,-3.99124168411,-1.50601786574
73.0,0,15.9689229014,19.6886926497,-3.7197697483,-1.42161301987
74.0,0,15.8477793126,18.9138772768,-3.06609796423,-1.19372661046
75.0,0,14.7697172758,17.9531185675,-3.18340129175,-1.23722853518
76.0,0,13.8523660512,17.1122427263,-3.25987667511,-1.262101339
77.0,0,13.2916347317,16.5604148698,-3.26878013811,-1.26496570136
78.0,0,12.7990656776,16.2724578248,-3.47339214714,-1.33621080493
79.0,0,12.6108130758,16.1600820015,-3.54926892562,-1.36404561038
80.0,0,12.3815373069,16.2358262832,-3.85428897629,-1.46244588586
81.0,0,12.5560236915,16.6273513372,-4.07132764563,-1.53116151407
82.0,0,12.6914984521,17.4207355222,-4.72923707006,-1.78174338356
83.0,0,13.4012599175,18.4956638594,-5.09440394183,-1.97534563466
84.0,0,14.129228204,19.5352014571,-5.40597325317,-2.12138738446
85.0,0,14.7163729558,20.2253804329,-5.50900747704,-2.17798008559
86.0,0,15.3017554133,20.4707532185,-5.16899780525,-2.01244393741
87.0,0,15.327746449,20.4303278004,-5.10258135147,-1.97928151044
88.0,0,15.3471464663,20.3472331332,-5.00008666696,-1.92844164609
89.0,0,15.227815207,20.3390139587,-5.11119875173,-1.98346261023
90.0,0,15.1546688337,20.3434674432,-5.18879860949,-2.02277294493
91.0,0,15.1006940735,20.2523962842,-5.1517022107,-2.00359420165
92.0,0,15.1399397748,20.0769062744,-4.93696649958,-1.89631398251
93.0,0,15.4618327231,19.9617972715,-4.49996454842,-1.67691579314
94.0,0,15.8463089933,20.0276910951,-4.18138210176,-1.56470829989
95.0,0,16.8637641745,20.2038664143,-3.34010223976,-1.28829551318
96.0,0,17.8328215918,20.2346524448,-2.40183085304,-0.984125314826
97.0,0,18.1983909461,19.8748408198,-1.67644987371,-0.746036978278
98.0,0,18.5610402979,19.1005530454,-0.539512747565,-0.254635722272
99.0,0,17.8935435331,18.1402984241,-0.246754890968,-0.1232893821
100.0,0,17.1937708506,17.2999030661,-0.106132215483,-0.0560965776351
101.0,0,16.9240182951,16.7485319986,0.175486296532,0.0789403858745
102.0,0,18.5514873276,16.461007964,2.09047936365,0.872764680524
103.0,0,18.675103802,16.3490412929,2.32606250911,0.963707235011
104.0,0,18.8259402905,16.4251707938,2.4007694967,0.992573517774
105.0,0,19.4908951554,16.8170570641,2.67383809136,1.10217310251
106.0,0,20.1591228787,17.6107783976,2.5483444811,1.05103094253
107.0,0,21.8413586422,18.6860197554,3.15533888684,1.26172272033
108.0,0,23.5185085256,19.7258461908,3.79266233482,1.50122536488
109.0,0,24.2655876841,20.416289771,3.84929791316,1.52486596814
110.0,0,24.8848942013,20.6619028827,4.22299131859,1.67415761012
111.0,0,24.6596037591,20.621693472,4.03791028716,1.59535195631
112.0,0,24.412647339,20.5387904582,3.87385688084,1.53440940462
113.0,0,24.162572526,20.5307385529,3.63183397313,1.43829982222
114.0,0,23.9089242486,20.5353348969,3.3735893517,1.33949335974
115.0,0,23.6746764653,20.4443821676,3.2302942977,1.2888672542
116.0,0,23.513125525,20.2689861421,3.24413938288,1.29359037452
117.0,0,23.4346024971,20.1539466679,3.28065582923,1.30618812499
118.0,0,23.4729681287,20.2198855591,3.25308256966,1.29665666414
