Year,clcl-x1,clcl-x2,clcl-x3,clcl-x4,clng-r1,clng-r2,clng-r3,cbcf-x1,cbcf-x2,cbcf-x3,cbcf-x4,ngcc-x1,ngcc-x2,ngcc-x3,ngcc-n,ngst-x,nggt-x1,nggt-x2,nggt-x3,nggt-n,ptsg-x,othc-x,h2cc-n,h2cc-ig,bioe-r1,becs-n,h2cc-igcs,ngcs-n,nucl-n1,nucl-n2,hydr-x,wind-r,wind-n3,wind-n4,wind-n5,wind-n6,wnos-n1,pvft-n4,pvsx-n4,pvdx-n4
2025,17.96,18.62,18.94,19.99,25.15,26.26,26.68,15.98,16.83,17.08,17.86,16.71,18.09,18.46,19.60,38.83,27.46,30.03,33.78,31.97,168.92,1.59,43.83,43.83,1.78,6.00,43.83,24.94,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2030,17.74,18.39,18.70,19.74,28.06,29.32,29.79,15.77,16.61,16.85,17.62,18.65,20.23,20.63,21.72,43.35,30.70,33.61,37.81,35.34,179.28,1.59,44.45,44.45,1.78,6.00,44.45,27.39,9.30,9.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2035,23.57,24.52,24.92,26.25,30.46,31.85,32.35,21.31,22.44,22.76,23.81,20.26,22.00,22.43,23.46,47.09,33.37,36.57,41.13,38.13,179.99,1.59,45.48,45.48,1.78,6.00,45.48,29.41,10.80,10.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2040,23.41,24.35,24.75,26.07,30.73,32.13,32.64,21.15,22.27,22.60,23.64,20.44,22.20,22.64,23.66,47.51,33.68,36.91,41.51,38.44,183.52,1.59,45.27,45.27,1.78,6.00,45.27,29.64,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2045,23.26,24.19,24.59,25.90,31.42,32.86,33.37,21.01,22.13,22.45,23.48,20.90,22.71,23.15,24.16,48.58,34.44,37.76,42.46,39.24,176.12,1.59,45.83,45.83,1.78,6.00,45.83,30.22,14.50,14.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2050,23.19,24.12,24.51,25.82,32.74,34.25,34.79,20.94,22.05,22.38,23.40,21.79,23.68,24.14,25.12,50.64,35.92,39.39,44.29,40.78,177.84,1.59,46.03,46.03,1.78,6.00,46.03,31.34,16.80,16.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
