Year,clcl-x1,clcl-x2,clcl-x3,clcl-x4,clng-r1,clng-r2,clng-r3,cbcf-x1,cbcf-x2,cbcf-x3,cbcf-x4,ngcc-x1,ngcc-x2,ngcc-x3,ngcc-n,ngst-x,nggt-x1,nggt-x2,nggt-x3,nggt-n,ptsg-x,othc-x,h2cc-n,h2cc-ig,bioe-r1,becs-n,h2cc-igcs,ngcs-n,nucl-n1,nucl-n2,hydr-x,wind-r,wind-n3,wind-n4,wind-n5,wind-n6,wnos-n1,pvft-n4,pvsx-n4,pvdx-n4
2025,59.96,62.84,63.80,66.91,50.76,53.22,54.04,53.89,56.74,57.57,60.21,33.85,36.97,37.65,38.21,78.67,56.00,61.63,69.26,61.69,216.74,1.59,38.31,38.31,1.78,-60.66,38.31,27.10,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2030,68.84,72.19,73.29,76.83,59.21,62.13,63.07,61.89,65.17,66.12,69.15,39.52,43.21,43.98,44.36,91.82,65.42,72.07,80.97,71.50,237.47,1.59,37.21,37.21,1.78,-75.10,37.21,30.02,9.30,9.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2035,85.74,89.98,91.34,95.71,68.36,71.76,72.84,77.42,81.51,82.70,86.49,45.64,49.95,50.84,51.01,106.05,75.62,83.36,93.64,82.12,250.78,1.59,35.00,35.00,1.78,-92.67,35.00,32.61,10.80,10.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2040,99.05,103.99,105.55,110.58,76.85,80.69,81.90,89.42,94.15,95.53,99.90,51.32,56.21,57.20,57.17,119.25,85.07,93.83,105.40,91.96,269.65,1.59,31.28,31.28,1.78,-114.05,31.28,33.53,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2045,115.28,121.09,122.90,128.72,87.52,91.93,93.31,104.07,109.57,111.17,116.27,58.47,64.09,65.20,64.93,135.86,96.97,107.00,120.19,104.35,280.90,1.59,29.01,29.01,1.78,-140.06,29.01,34.95,14.50,14.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2050,135.15,142.01,144.12,150.91,101.00,106.13,107.71,121.99,128.45,130.32,136.30,67.50,74.03,75.30,74.73,156.83,112.00,123.64,138.87,120.00,305.33,1.59,29.01,29.01,1.78,-171.70,29.01,37.09,16.80,16.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
