Year,clcl-x1,clcl-x2,clcl-x3,clcl-x4,clng-r1,clng-r2,clng-r3,clng-r4,cbcf-x1,cbcf-x2,cbcf-x3,cbcf-x4,ngcc-x1,ngcc-x2,ngcc-x3,ngcc-n,ngst-x,nggt-x1,nggt-x2,nggt-x3,nggt-n,ptsg-x,othc-x,h2cc-n,h2cc-ig,bioe-r1,becs-n,h2cc-igcs,ngcs-n,nucl-n1,nucl-n2,hydr-x,wind-r,wind-n3,wind-n4,wind-n5,wind-n6,wnos-n1,pvft-n4,pvsx-n4,pvdx-n4
2025,59.93,62.62,65.94,71.60,61.62,64.35,67.78,73.62,57.00,59.57,62.72,68.10,44.80,45.36,47.78,44.58,99.07,63.54,68.38,75.99,71.86,215.94,2.06,40.45,40.45,1.20,-60.66,40.45,34.48,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2030,69.21,72.29,76.14,82.68,65.87,68.78,72.46,78.70,65.81,68.75,72.40,78.63,47.85,48.46,51.07,47.54,105.90,67.94,73.13,81.27,76.58,236.65,2.06,39.62,39.62,1.20,-75.10,39.62,33.71,9.30,9.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2035,88.36,92.26,97.20,105.57,68.79,71.83,75.67,82.19,84.01,87.73,92.41,100.37,49.95,50.60,53.33,49.58,110.58,70.97,76.39,84.90,79.83,250.58,2.06,37.83,37.83,1.20,-92.67,37.83,30.95,10.80,10.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2040,102.26,106.75,112.49,122.18,77.65,81.06,85.42,92.77,97.21,101.49,106.94,116.15,56.30,57.07,60.19,55.74,124.79,80.15,86.27,95.90,89.67,269.43,2.06,36.59,36.59,1.20,-114.05,36.59,31.87,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2045,119.22,124.44,131.14,142.44,88.80,92.69,97.68,106.10,113.32,118.29,124.66,135.40,64.31,65.21,68.83,63.50,142.68,91.71,98.72,109.74,102.06,280.67,2.06,36.73,36.73,1.20,-140.06,36.73,33.29,14.50,14.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2050,139.96,146.07,153.96,167.23,102.88,107.37,113.17,122.92,133.03,138.85,146.33,158.95,74.41,75.49,79.73,73.30,165.27,106.30,114.44,127.23,117.71,305.07,2.06,36.73,36.73,1.20,-171.70,36.73,35.43,16.80,16.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
