Year,clcl-x1,clcl-x2,clcl-x3,clcl-x4,clng-r1,clng-r2,clng-r3,clng-r4,cbcf-x1,cbcf-x2,cbcf-x3,cbcf-x4,ngcc-x1,ngcc-x2,ngcc-x3,ngcc-n,ngst-x,nggt-x1,nggt-x2,nggt-x3,nggt-n,ptsg-x,othc-x,h2cc-n,h2cc-ig,bioe-r1,becs-n,h2cc-igcs,ngcs-n,nucl-n1,nucl-n2,hydr-x,wind-r,wind-n3,wind-n4,wind-n5,wind-n6,wnos-n1,pvft-n4,pvsx-n4,pvdx-n4
2025,16.07,16.88,17.70,19.19,34.87,36.46,38.37,41.66,15.33,16.12,16.89,18.31,25.60,25.83,27.07,25.97,56.17,35.82,38.53,42.78,42.14,168.17,2.06,44.52,44.52,1.20,6.00,44.52,32.33,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2030,15.84,16.64,17.44,18.91,33.33,34.85,36.68,39.82,15.11,15.89,16.65,18.04,24.50,24.70,25.88,24.90,53.70,34.22,36.81,40.87,40.43,178.52,2.06,45.27,45.27,1.20,6.00,45.27,31.08,9.30,9.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2035,23.43,24.56,25.79,27.98,29.20,30.55,32.14,34.89,22.32,23.41,24.58,26.66,21.54,21.69,22.68,22.03,47.07,29.94,32.20,35.74,35.84,179.86,2.06,45.76,45.76,1.20,6.00,45.76,27.75,10.80,10.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2040,23.26,24.38,25.61,27.78,29.49,30.84,32.45,35.22,22.16,23.24,24.40,26.47,21.74,21.89,22.90,22.22,47.53,30.23,32.51,36.09,36.15,183.39,2.06,46.03,46.03,1.20,6.00,46.03,27.98,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2045,23.10,24.22,25.43,27.59,30.20,31.59,33.24,36.08,22.02,23.08,24.24,26.29,22.25,22.42,23.45,22.72,48.68,30.98,33.31,36.98,36.95,175.99,2.06,47.07,47.07,1.20,6.00,47.07,28.56,14.50,14.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2050,23.03,24.14,25.35,27.50,31.59,33.03,34.76,37.73,21.95,23.01,24.16,26.21,23.25,23.43,24.53,23.69,50.90,32.41,34.86,38.70,38.49,177.72,2.06,47.96,47.96,1.20,6.00,47.96,29.68,16.80,16.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
