RAVEN_sample_ID,hour,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__htse__production__h2,Dispatch__htse__production__electricity,Dispatch__ft__production__diesel,Dispatch__ft__production__naphtha,Dispatch__ft__production__h2,Dispatch__ft__production__jet_fuel,Dispatch__ft_elec_consumption__production__electricity,Dispatch__electricity_market__production__electricity,Dispatch__naphtha_market__production__naphtha,Dispatch__jet_fuel_market__production__jet_fuel,Dispatch__diesel_market__production__diesel,Dispatch__h2_storage__level__h2,Dispatch__h2_storage__charge__h2,Dispatch__h2_storage__discharge__h2,price,prefix,PointProbability,ProbabilityWeight
0,0.0,0,2014,1.0,769.0,18948.02,-754.0,8794.7321,13102.721,-18948.0,15873.419,-14.9,-0.1,-13102.721,-15873.419,-8794.7321,1.0189737,-0.02,0.0,14.0708913349,1_0,1.0,1.0
0,0.0,0,2015,1.0,769.0,18948.02,-754.0,8794.7321,13102.721,-18948.0,15873.419,-14.9,-0.1,-13102.721,-15873.419,-8794.7321,1.0189737,-0.02,0.0,15.8483778229,1_0,1.0,1.0
0,0.0,0,2016,1.0,769.0,18948.02,-754.0,8794.7321,13102.721,-18948.0,15873.419,-14.9,-0.1,-13102.721,-15873.419,-8794.7321,1.0189737,-0.02,0.0,16.6612809932,1_0,1.0,1.0
0,0.0,0,2017,1.0,769.0,18948.02,-754.0,8794.7321,13102.721,-18948.0,15873.419,-14.9,-0.1,-13102.721,-15873.419,-8794.7321,1.0189737,-0.02,0.0,16.7600938107,1_0,1.0,1.0
0,0.0,0,2018,1.0,769.0,18948.02,-754.0,8794.7321,13102.721,-18948.0,15873.419,-14.9,-0.1,-13102.721,-15873.419,-8794.7321,1.0189737,-0.02,0.0,39.5093240331,1_0,1.0,1.0
0,0.0,0,2019,1.0,769.0,18948.02,-754.0,8794.7321,13102.721,-18948.0,15873.419,-14.9,-0.1,-13102.721,-15873.419,-8794.7321,1.0189737,-0.02,0.0,21.0364257816,1_0,1.0,1.0
0,0.0,0,2020,1.0,769.0,18948.02,-754.0,8794.7321,13102.721,-18948.0,15873.419,-14.9,-0.1,-13102.721,-15873.419,-8794.7321,1.0189737,-0.02,0.0,2.53655339638,1_0,1.0,1.0
0,0.0,0,2021,1.0,769.0,18948.02,-754.0,8794.7321,13102.721,-18948.0,15873.419,-14.9,-0.1,-13102.721,-15873.419,-8794.7321,1.0189737,-0.02,0.0,52.6579377194,1_0,1.0,1.0
0,0.0,0,2022,1.0,769.0,18948.02,-754.0,8794.7321,13102.721,-18948.0,15873.419,-14.9,-0.1,-13102.721,-15873.419,-8794.7321,1.0189737,-0.02,0.0,24.4208651881,1_0,1.0,1.0
0,0.0,0,2023,1.0,769.0,18948.02,-754.0,8794.7321,13102.721,-18948.0,15873.419,-14.9,-0.1,-13102.721,-15873.419,-8794.7321,1.0189737,-0.02,0.0,17.5397954176,1_0,1.0,1.0
