iteration,accepted,H2_storage_capacity,H2_market_capacity,Secondary_capacity,E_Penalty_capacity,IES_delta_cap,NPP_bid_adjust,mean_NPV
0.0,first,50000.0,-1.0,10000.0,-10000.0,0.25,5000.0,9471920204.34
1.0,rejected,0.0,0.0,10000.0,-10000.0,1.98231806044,6564.93023418,9462854351.38
2.0,rerun,50000.0,-1.0,10000.0,-10000.0,0.25,5000.0,9424337244.56
3.0,rejected,393260.209396,-2.87722206574,10000.0,-10000.0,0.250010934171,0.0,9360944673.15
4.0,rerun,50000.0,-1.0,10000.0,-10000.0,0.25,5000.0,9610907872.76
5.0,rejected,384599.422032,-3.13791818793,10000.0,-10000.0,0.0,18264.2726978,8563652491.12
6.0,rerun,50000.0,-1.0,10000.0,-10000.0,0.25,5000.0,9526956140.67
7.0,rejected,232916.606742,-5.13783886096,10000.0,-10000.0,1.12791593561,36002.9672934,8237502581.85
8.0,rerun,50000.0,-1.0,10000.0,-10000.0,0.25,5000.0,9656287232.96
9.0,accepted,242534.733994,0.0,10000.0,-10000.0,0.0,0.0,9595112824.95
10.0,rejected,433667.766173,-5.99959859089,10000.0,-10000.0,0.959396900976,7122.14207071,7796418801.07
11.0,rerun,242534.733994,0.0,10000.0,-10000.0,0.0,0.0,10010872752.3
12.0,accepted,53231.8925816,0.0,10000.0,-10000.0,0.0142692812468,0.0,10043062268.9
13.0,rejected,0.0,0.0,10000.0,-10000.0,0.0,0.0,10002964887.8
14.0,rerun,53231.8925816,0.0,10000.0,-10000.0,0.0142692812468,0.0,9789129776.3
15.0,rejected,0.0,0.0,10000.0,-10000.0,0.0,11215.436685,9894824881.84
16.0,rerun,53231.8925816,0.0,10000.0,-10000.0,0.0142692812468,0.0,10040471578.6
17.0,rejected,0.0,0.0,10000.0,-10000.0,0.345397199025,0.0,9942369526.21
18.0,rerun,53231.8925816,0.0,10000.0,-10000.0,0.0142692812468,0.0,9845437374.25
19.0,rejected,7361.14028415,-2.10568279969,10000.0,-10000.0,0.709455447438,19866.3680876,9195042058.23
20.0,rerun,53231.8925816,0.0,10000.0,-10000.0,0.0142692812468,0.0,9814476123.21
21.0,rejected,62058.0801994,-1.02035742523,10000.0,-10000.0,0.0,19025.5656026,9675003807.94
22.0,rerun,53231.8925816,0.0,10000.0,-10000.0,0.0142692812468,0.0,9970202277.97
23.0,rejected,187014.843855,0.0,10000.0,-10000.0,0.0939500792731,0.0,9834129787.25
24.0,rerun,53231.8925816,0.0,10000.0,-10000.0,0.0142692812468,0.0,9801453262.43
25.0,rejected,0.0,0.0,10000.0,-10000.0,0.0,10141.6755646,9766982117.03
26.0,rerun,53231.8925816,0.0,10000.0,-10000.0,0.0142692812468,0.0,9835357901.47
27.0,rejected,19222.6996727,-0.209216336489,10000.0,-10000.0,0.676937049487,12145.5740675,9994806544.6
28.0,rerun,53231.8925816,0.0,10000.0,-10000.0,0.0142692812468,0.0,9874261111.34
29.0,rejected,0.0,0.0,10000.0,-10000.0,0.0,121.029617931,9984499311.22
30.0,rerun,53231.8925816,0.0,10000.0,-10000.0,0.0142692812468,0.0,9902144501.29
31.0,rejected,84005.010743,-1.91241892097,10000.0,-10000.0,0.510912104461,5459.77817301,9514182080.56
32.0,rerun,53231.8925816,0.0,10000.0,-10000.0,0.0142692812468,0.0,9660913155.89
33.0,rejected,154787.599195,-1.59979514178,10000.0,-10000.0,0.0,3163.11897966,9282311105.15
34.0,rerun,53231.8925816,0.0,10000.0,-10000.0,0.0142692812468,0.0,9759124009.35
