hours,price
400.0,25.98
401.0,25.53
402.0,34.24
403.0,31.56
404.0,25.84
405.0,25.06
406.0,24.41
407.0,22.82
408.0,21.43
409.0,19.58
410.0,16.93
411.0,16.28
412.0,16.24
413.0,18.17
414.0,22.2
415.0,32.24
416.0,31.57
417.0,29.04
418.0,27.18
419.0,26.57
420.0,26.29
421.0,27.66
422.0,27.57
423.0,28.7
424.0,29.06
425.0,28.44
426.0,46.63
427.0,40.99
428.0,27.87
429.0,26.75
430.0,24.01
431.0,19.42
432.0,12.6
433.0,11.57
434.0,8.59
435.0,7.51
436.0,7.81
437.0,13.0
438.0,18.44
439.0,28.26
440.0,25.55
441.0,25.31
442.0,26.43
443.0,26.66
444.0,27.51
445.0,29.32
446.0,30.29
447.0,31.56
448.0,31.66
449.0,30.88
450.0,46.03
451.0,37.81
452.0,24.95
453.0,23.78
454.0,22.81
455.0,19.32
456.0,16.59
457.0,17.58
458.0,16.36
459.0,14.02
460.0,13.54
461.0,15.02
462.0,17.14
463.0,20.29
464.0,21.49
465.0,21.39
466.0,23.01
467.0,24.05
468.0,24.69
469.0,24.85
470.0,25.78
471.0,24.9
472.0,24.36
473.0,24.18
474.0,32.3
475.0,29.67
476.0,23.2
477.0,21.97
478.0,21.11
479.0,18.44
480.0,16.46
481.0,14.04
482.0,9.85
483.0,8.01
484.0,8.36
485.0,8.18
486.0,8.3
487.0,18.79
488.0,19.83
489.0,21.04
490.0,22.49
491.0,23.25
492.0,23.35
493.0,23.29
494.0,23.52
495.0,22.89
496.0,22.81
497.0,23.6
498.0,34.82
499.0,38.61
500.0,29.86
501.0,26.02
502.0,25.0
503.0,23.59
504.0,23.11
505.0,21.42
506.0,19.97
507.0,20.1
508.0,19.69
509.0,20.5
510.0,25.0
511.0,41.47
512.0,39.41
513.0,30.6
514.0,27.83
515.0,25.95
516.0,24.86
517.0,25.21
518.0,25.0
519.0,27.03
520.0,25.45
521.0,24.91
522.0,38.36
523.0,31.83
524.0,25.15
525.0,23.76
526.0,23.33
527.0,17.97
528.0,15.26
529.0,5.24
530.0,4.95
531.0,5.31
532.0,5.34
533.0,6.14
534.0,14.36
535.0,23.93
536.0,24.07
537.0,22.98
538.0,24.55
539.0,22.34
540.0,23.67
541.0,25.53
542.0,27.55
543.0,32.46
544.0,32.31
545.0,31.19
546.0,45.56
547.0,31.42
548.0,25.41
549.0,23.36
550.0,21.81
