iteration,accepted,Additional_NPP_capacity,turbine_capacity,grid_capacity,NPP_unused_capacity,H2_storage_capacity,ETES_storage_capacity,Hitec_XL_storage_capacity,Dowtherm_A_storage_capacity,Li_ion_storage_capacity,mean_NPV
0.0,first,0.5,200.0,100.0,-100.0,0.5,0.5,0.5,0.5,0.5,43627158778.3
1.0,rejected,0.482157980754,200.0,100.0,-100.0,0.978213150457,0.496154760048,0.0,0.314288740189,0.499473389224,43558888806.2
2.0,rerun,0.5,200.0,100.0,-100.0,0.5,0.5,0.5,0.5,0.5,43783433163.6
3.0,rejected,0.321641658137,200.0,100.0,-100.0,1.03009206464,0.195976336254,0.0,0.749558421163,0.319479968422,43574760884.6
4.0,rerun,0.5,200.0,100.0,-100.0,0.5,0.5,0.5,0.5,0.5,43387291206.0
5.0,rejected,0.2654202923,200.0,100.0,-100.0,0.607010139397,0.228519405608,0.251214647157,0.601240781072,0.5451139347,43523494300.4
6.0,rerun,0.5,200.0,100.0,-100.0,0.5,0.5,0.5,0.5,0.5,43350532300.1
7.0,accepted,0.382695313181,200.0,100.0,-100.0,0.541941265854,0.496291487144,0.454316687771,0.434303040383,0.457785141916,43789951839.1
8.0,rejected,0.215111129892,200.0,100.0,-100.0,0.525177843707,0.616764827032,0.432077187146,0.368791763275,0.432199002765,43226628767.7
9.0,rerun,0.382695313181,200.0,100.0,-100.0,0.541941265854,0.496291487144,0.454316687771,0.434303040383,0.457785141916,43448274261.0
10.0,rejected,0.277793694167,200.0,100.0,-100.0,0.519072938357,0.56789945302,0.427870343368,0.422897777048,0.446518538941,43455908819.6
11.0,rerun,0.382695313181,200.0,100.0,-100.0,0.541941265854,0.496291487144,0.454316687771,0.434303040383,0.457785141916,43517757779.6
12.0,rejected,0.371004431732,200.0,100.0,-100.0,0.546275362825,0.51954682535,0.429904299366,0.414006355096,0.45680221778,43748558879.7
13.0,rerun,0.382695313181,200.0,100.0,-100.0,0.541941265854,0.496291487144,0.454316687771,0.434303040383,0.457785141916,43656662659.0
14.0,rejected,0.375421000578,200.0,100.0,-100.0,0.542379724022,0.508322542558,0.427511942217,0.411233301714,0.46954412619,43289818210.8
15.0,rerun,0.382695313181,200.0,100.0,-100.0,0.541941265854,0.496291487144,0.454316687771,0.434303040383,0.457785141916,43259484630.4
16.0,rejected,0.371354972996,200.0,100.0,-100.0,0.551016079933,0.496750630919,0.442269718924,0.429261013455,0.461244664526,43684602063.7
17.0,rerun,0.382695313181,200.0,100.0,-100.0,0.541941265854,0.496291487144,0.454316687771,0.434303040383,0.457785141916,43286916579.4
18.0,rejected,0.377064694195,200.0,100.0,-100.0,0.542665903393,0.492419757102,0.451903167285,0.438624603928,0.457284365734,43665225767.5
19.0,rerun,0.382695313181,200.0,100.0,-100.0,0.541941265854,0.496291487144,0.454316687771,0.434303040383,0.457785141916,43823538837.2
20.0,rejected,0.382795573175,200.0,100.0,-100.0,0.540912733164,0.496313771238,0.455964916134,0.434678805797,0.45807730237,43425613166.1
21.0,rerun,0.382695313181,200.0,100.0,-100.0,0.541941265854,0.496291487144,0.454316687771,0.434303040383,0.457785141916,43525038996.5
22.0,rejected,0.383773026597,200.0,100.0,-100.0,0.542811941733,0.495304627774,0.454771467986,0.434318733447,0.458312370543,43420402101.4
23.0,rerun,0.382695313181,200.0,100.0,-100.0,0.541941265854,0.496291487144,0.454316687771,0.434303040383,0.457785141916,43509769902.8
24.0,rejected,0.382540660527,200.0,100.0,-100.0,0.541975551165,0.495359716366,0.454056770297,0.435248416102,0.457324944652,43521924565.0
25.0,rerun,0.382695313181,200.0,100.0,-100.0,0.541941265854,0.496291487144,0.454316687771,0.434303040383,0.457785141916,43491709164.1
