npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight
522.0,-507.0,-12741.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2000.0,ref,prairie_island,minnesota,covid,1186175873.71,1106.62564609,1186175903.91,1186177190.23,1186174496.77,1186174685.88,1186177019.24,4.0,1224620.32058,0.329536566289,4,0.0356479497071,3.43224971717e-12,0.315724815725,0.00370891505653
522.0,-507.0,-12741.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7500.0,ref,prairie_island,minnesota,covid,1184656261.87,4723.78782267,1184657571.4,1184660014.12,1184649890.55,1184650727.33,1184659963.06,4.0,22314171.3936,0.329536566289,10,0.0357193884841,3.43224971717e-12,0.315724815725,0.00371634775204
522.0,-507.0,-12741.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,20000.0,ref,prairie_island,minnesota,covid,1181208963.27,17149.9406273,1181211025.35,1181223697.11,1181190105.27,1181191402.66,1181223636.97,4.0,294120463.52,0.329536566289,16,0.121445920846,3.43224971717e-12,0.315724815725,0.0126355823569
522.0,-507.0,-12741.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,27000.0,ref,prairie_island,minnesota,covid,1179276959.84,8642.52588959,1179274307.8,1179289136.59,1179270087.16,1179270316.29,1179287316.25,4.0,74693253.7522,0.329536566289,19,0.107158165452,3.43224971717e-12,0.315724815725,0.0111490432561
522.0,-507.0,-12741.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5000.0,ref,prairie_island,minnesota,covid,1185346512.92,3504.00155879,1185347703.61,1185349201.75,1185341442.73,1185342272.56,1185349086.33,4.0,12278026.924,0.329536566289,7,0.0392913273325,3.43224971717e-12,0.315724815725,0.00408798252724
522.0,-507.0,-12741.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10000.0,ref,prairie_island,minnesota,covid,1183965236.67,9003.94957748,1183964241.98,1183975694.31,1183956768.4,1183957066.76,1183974799.15,4.0,81071107.9939,0.329536566289,13,0.0892984712102,3.43224971717e-12,0.315724815725,0.0092908693801
522.0,-507.0,-12741.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,35000.0,ref,prairie_island,minnesota,covid,1177075564.49,33331.9006401,1177079639.53,1177110253.11,1177032725.77,1177038048.04,1177107375.87,4.0,1111015600.28,0.329536566289,22,0.307186740963,3.43224971717e-12,0.315724815725,0.0319605906675
522.0,-507.0,-12741.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70000.0,ref,prairie_island,minnesota,covid,1167393717.25,105154.96236,1167358392.3,1167547727.88,1167310356.5,1167317248.88,1167519640.53,4.0,11057566109.0,0.329536566289,25,0.250035719388,3.43224971717e-12,0.315724815725,0.0260144342643
522.0,-507.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2000.0,ref,prairie_island,minnesota,covid,255616527.562,440329.654762,255786446.254,255914596.722,254978621.019,255081997.221,255913171.736,4.0,193890204863.0,0.5,31,0.0356479497071,3.43224971717e-12,0.315724815725,0.00562747117612
522.0,-250.0,-6000.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2000.0,ref,prairie_island,minnesota,covid,524680146.203,263949.145481,524621090.994,525018608.91,524459793.914,524463063.534,524979906.164,4.0,69669151400.2,0.5,32,0.0356479497071,3.43224971717e-12,0.5,0.00891198742678
